Rank,Team,LastMatch,Points,Gender
13,South Africa,"Jul 12, 2026",2541.82,Men
18,Egypt,"Mar 07, 2026",2307.03,Men
34,Nigeria,"Oct 18, 2025",1702.5,Men
35,Ghana,"Oct 17, 2025",1682.92,Men
49,Kenya,"Oct 18, 2025",1446.21,Men
70,Namibia,"Aug 21, 2024",1361.08,Men
85,Zambia,"Oct 17, 2025",1255.83,Men
89,Uganda,"Nov 05, 2023",1236.94,Men
90,Zimbabwe,"Aug 21, 2024",1236.73,Men
96,Malawi,"Sep 03, 2022",753.92,Men
101,Eswatini,"Aug 21, 2024",383.33,Men
104,Morocco,"Jun 21, 2026",93.01,Men
18,South Africa,"Aug 03, 2026",2011.86,Women
32,Kenya,"Oct 18, 2025",1573.85,Women
33,Ghana,"Oct 18, 2025",1570.9,Women
39,Nigeria,"Oct 18, 2025",1311.22,Women
50,Namibia,"Jul 23, 2026",1192.28,Women
61,Zimbabwe,"Aug 21, 2024",1137.77,Women
66,Egypt,"Oct 15, 2025",1111.75,Women
76,Zambia,"Aug 21, 2024",960.64,Women
78,Uganda,"Jan 23, 2022",870.43,Women
79,Malawi,"Sep 03, 2022",731.63,Women
84,Eswatini,"Aug 21, 2024",447.02,Women
87,Morocco,"Jun 21, 2026",145.66,Women
