Team,Player,Goals,URL
Warriors,Festus Onyango,12,https://www.kenyahockeyunion.org/joomsport_team/butali-warriors/
Sikh Union Nairobi,Mathias Gularire,10,https://www.kenyahockeyunion.org/joomsport_team/sikh-union-nairobi/
Warriors,Calvins Kanu Omondi,7,https://www.kenyahockeyunion.org/joomsport_team/butali-warriors/
Wazalendo,Cliffe Omari,7,https://www.kenyahockeyunion.org/joomsport_team/wazalendo/
USIU – A,Danstone Wabwire,7,https://www.kenyahockeyunion.org/joomsport_team/usiu-a/
Kenya Police,Titus Kimutai,7,https://www.kenyahockeyunion.org/joomsport_team/kenya-police/
Wazalendo,Griffins Okombe,6,https://www.kenyahockeyunion.org/joomsport_team/wazalendo/
Kenya Police,Robert Masibo,6,https://www.kenyahockeyunion.org/joomsport_team/kenya-police/
Blazers Hockey Club,Carol Guchu,6,https://www.kenyahockeyunion.org/joomsport_team/blazers-hockey-club/
Parklands Sports Club,Dan Onyango,5,https://www.kenyahockeyunion.org/joomsport_team/parklands-sports-club/
Wazalendo,Job Wandera,5,https://www.kenyahockeyunion.org/joomsport_team/wazalendo/
USIU – A Ladies,Lynn Mwangi,5,https://www.kenyahockeyunion.org/joomsport_team/usiu-a-women/
Western Jaguars,Emmanuel Awino,5,https://www.kenyahockeyunion.org/joomsport_team/western-jaguars/
Sikh Union Nairobi,Cliff Omari,5,https://www.kenyahockeyunion.org/joomsport_team/sikh-union-nairobi/
Warriors,Festus Onyango,5,https://www.kenyahockeyunion.org/joomsport_team/butali-warriors/
Wazalendo,Sutcliffe Usagi,4,https://www.kenyahockeyunion.org/joomsport_team/wazalendo/
Kisumu Youngsters,Malack Masese,4,https://www.kenyahockeyunion.org/joomsport_team/kisumu-youngsters/
USIU – A,Robinson Omutekete,4,https://www.kenyahockeyunion.org/joomsport_team/usiu-a/
USIU – A,Danstone Barasa,4,https://www.kenyahockeyunion.org/joomsport_team/usiu-a/
Strathmore University Ladies,Grace Bwire,4,https://www.kenyahockeyunion.org/joomsport_team/strathmore-university-women/
Daystar University Men,Glenn Adolwa,4,https://www.kenyahockeyunion.org/joomsport_team/daystar-university-men/
Sikh Union Nairobi,Kabir Bhamra,4,https://www.kenyahockeyunion.org/joomsport_team/sikh-union-nairobi/
Parklands Sports Club – Legacy,Cyprian Oyiengo,4,https://www.kenyahockeyunion.org/joomsport_team/parklands-sports-club-legacy/
Parklands Sports Club – Legacy,Brian Bhukumi,4,https://www.kenyahockeyunion.org/joomsport_team/parklands-sports-club-legacy/
Lakers Hockey Club,Alice Owiti,3,https://www.kenyahockeyunion.org/joomsport_team/lakers-hockey-club/
