Competition,Team,GoalsScored,Matches,GoalsScoredPerGame,GoalsConceded,GoalsConcededPerGame
NLM-CZ,GHF Rift Pirates Men,9,1,9.0,1,1.0
NLM-CZ,Thika Rovers,8,1,8.0,0,0.0
NLM-CZ,Dukes of Gloucester,6,3,2.0,17,5.666666666666667
NLM-CZ,Nyari Hockey Club,0,1,0.0,5,5.0
NLM-EZ,TUK Men,4,2,2.0,4,2.0
NLM-EZ,Ulinzi Patriots,14,8,1.75,8,1.0
NLM-EZ,Mombasa West,8,5,1.6,6,1.2
NLM-EZ,Black Tigers,13,9,1.4444444444444444,12,1.3333333333333333
NLM-EZ,Mombasa Sports Club,7,5,1.4,6,1.2
NLM-EZ,Parklands Sports Club – Legacy,11,8,1.375,10,1.25
NLM-EZ,Gorillas,10,8,1.25,9,1.125
NLM-EZ,UoN Cubs,6,5,1.2,5,1.0
NLM-EZ,Daystar University Men,6,6,1.0,12,2.0
NLM-EZ,Snippers Hockey Club (Makueni),2,6,0.3333333333333333,9,1.5
NLM-SZ,Kisii Falcons,17,3,5.666666666666667,1,0.3333333333333333
NLM-SZ,Bay Club,11,3,3.6666666666666665,3,1.0
NLM-SZ,Gorillas Hockey CLub – Migori,3,3,1.0,13,4.333333333333333
NLM-SZ,Oyugis Hockey Club,1,3,0.3333333333333333,15,5.0
NLM-WZ,Kitale Hockey Club,15,5,3.0,3,0.6
NLM-WZ,Fire Flickers,5,4,1.25,5,1.25
NLM-WZ,GHF Blue Pirates II,5,4,1.25,9,2.25
NLM-WZ,Lakers Hockey Club Men,4,4,1.0,3,0.75
NLM-WZ,Nandi Hawks,4,4,1.0,11,2.75
NLM-WZ,Western Jaguars Dev,0,1,0.0,2,2.0
PLM,Warriors,22,9,2.4444444444444446,13,1.4444444444444444
PLM,Sikh Union Nairobi,20,9,2.2222222222222223,15,1.6666666666666667
PLM,Western Jaguars,20,9,2.2222222222222223,12,1.3333333333333333
PLM,Daikyo Heroes,17,9,1.8888888888888888,19,2.111111111111111
PLM,Wazalendo,17,9,1.8888888888888888,15,1.6666666666666667
PLM,Kenya Police,14,9,1.5555555555555556,15,1.6666666666666667
PLM,Parklands Sports Club,13,9,1.4444444444444444,16,1.7777777777777777
PLM,USIU – A,12,9,1.3333333333333333,15,1.6666666666666667
PLM,Kisumu Youngsters,11,9,1.2222222222222223,12,1.3333333333333333
PLM,Greensharks,4,9,0.4444444444444444,18,2.0
PLW,Blazers Hockey Club,14,7,2.0,3,0.42857142857142855
PLW,Lakers Hockey Club,11,6,1.8333333333333333,4,0.6666666666666666
PLW,USIU – A Ladies,8,8,1.0,4,0.5
PLW,Strathmore University Ladies,6,7,0.8571428571428571,8,1.1428571428571428
PLW,UON Ladies,4,6,0.6666666666666666,6,1.0
PLW,Kenyatta University Ladies,1,2,0.5,3,1.5
PLW,Kisumu Queens,3,6,0.5,3,0.5
PLW,Amira Sailors Hockey Club,3,7,0.42857142857142855,5,0.7142857142857143
PLW,Sliders Hockey Club,2,8,0.25,14,1.75
PLW,JKUAT Ladies,0,1,0.0,2,2.0
SLM,KCA University,25,8,3.125,9,1.125
SLM,Strathmore University,16,6,2.6666666666666665,6,1.0
SLM,Mvita XI,12,5,2.4,7,1.4
SLM,Impala,17,8,2.125,19,2.375
SLM,Parkroad Badgers,13,7,1.8571428571428572,17,2.4285714285714284
SLM,Parkroad Tigers,9,6,1.5,17,2.8333333333333335
SLM,UON Men,7,6,1.1666666666666667,10,1.6666666666666667
SLM,Nakuru Hockey Club,8,7,1.1428571428571428,14,2.0
SLM,GHF Blue Pirates,4,4,1.0,3,0.75
SLM,Wazalendo Masters,9,9,1.0,18,2.0
SLW,Twinkle Hockey Club,13,5,2.6,3,0.6
SLW,Wazalendo Pearls,10,6,1.6666666666666667,5,0.8333333333333334
SLW,GHF Rift Pirates Ladies,8,6,1.3333333333333333,7,1.1666666666666667
SLW,Lakers Hockey Club – B,7,6,1.1666666666666667,5,0.8333333333333334
SLW,Swans Hockey Club,4,4,1.0,4,1.0
SLW,Mombasa Sports Club Ladies,3,4,0.75,5,1.25
SLW,Gorillas Hockey Club – Ladies,2,3,0.6666666666666666,6,2.0
SLW,Daystar University Ladies,3,5,0.6,9,1.8
SLW,Black Tigresses,0,1,0.0,6,6.0
