,Competition,Team,GF
1,NLM-CZ,GHF Rift Pirates Men,9
3,NLM-CZ,Thika Rovers,8
0,NLM-CZ,Dukes of Gloucester,6
2,NLM-CZ,Nyari Hockey Club,0
12,NLM-EZ,Ulinzi Patriots,14
4,NLM-EZ,Black Tigers,13
9,NLM-EZ,Parklands Sports Club – Legacy,11
6,NLM-EZ,Gorillas,10
8,NLM-EZ,Mombasa West,8
7,NLM-EZ,Mombasa Sports Club,7
5,NLM-EZ,Daystar University Men,6
13,NLM-EZ,UoN Cubs,6
11,NLM-EZ,TUK Men,4
10,NLM-EZ,Snippers Hockey Club (Makueni),2
16,NLM-SZ,Kisii Falcons,17
14,NLM-SZ,Bay Club,11
15,NLM-SZ,Gorillas Hockey CLub – Migori,3
17,NLM-SZ,Oyugis Hockey Club,1
20,NLM-WZ,Kitale Hockey Club,15
18,NLM-WZ,Fire Flickers,5
19,NLM-WZ,GHF Blue Pirates II,5
21,NLM-WZ,Lakers Hockey Club Men,4
22,NLM-WZ,Nandi Hawks,4
23,NLM-WZ,Western Jaguars Dev,0
31,PLM,Warriors,22
29,PLM,Sikh Union Nairobi,20
33,PLM,Western Jaguars,20
24,PLM,Daikyo Heroes,17
32,PLM,Wazalendo,17
26,PLM,Kenya Police,14
28,PLM,Parklands Sports Club,13
30,PLM,USIU – A,12
27,PLM,Kisumu Youngsters,11
25,PLM,Greensharks,4
35,PLW,Blazers Hockey Club,14
39,PLW,Lakers Hockey Club,11
43,PLW,USIU – A Ladies,8
41,PLW,Strathmore University Ladies,6
42,PLW,UON Ladies,4
34,PLW,Amira Sailors Hockey Club,3
38,PLW,Kisumu Queens,2
40,PLW,Sliders Hockey Club,2
37,PLW,Kenyatta University Ladies,1
36,PLW,JKUAT Ladies,0
46,SLM,KCA University,25
45,SLM,Impala,17
51,SLM,Strathmore University,16
49,SLM,Parkroad Badgers,13
47,SLM,Mvita XI,12
50,SLM,Parkroad Tigers,9
53,SLM,Wazalendo Masters,9
48,SLM,Nakuru Hockey Club,8
52,SLM,UON Men,7
44,SLM,GHF Blue Pirates,4
61,SLW,Twinkle Hockey Club,13
62,SLW,Wazalendo Pearls,10
56,SLW,GHF Rift Pirates Ladies,8
58,SLW,Lakers Hockey Club – B,7
60,SLW,Swans Hockey Club,4
55,SLW,Daystar University Ladies,3
59,SLW,Mombasa Sports Club Ladies,3
57,SLW,Gorillas Hockey Club – Ladies,2
54,SLW,Black Tigresses,0
