Competition,Team,GF,GA,GD
NLM-CZ,GHF Rift Pirates Men,9,1,8
NLM-CZ,Thika Rovers,8,0,8
NLM-CZ,Dukes of Gloucester,6,17,-11
NLM-CZ,Nyari Hockey Club,0,5,-5
NLM-EZ,Ulinzi Patriots,14,8,6
NLM-EZ,Gorillas,10,9,1
NLM-EZ,Black Tigers,13,12,1
NLM-EZ,Parklands Sports Club – Legacy,11,10,1
NLM-EZ,UoN Cubs,6,5,1
NLM-EZ,Mombasa West,8,6,2
NLM-EZ,Mombasa Sports Club,7,6,1
NLM-EZ,TUK Men,4,4,0
NLM-EZ,Daystar University Men,6,12,-6
NLM-EZ,Snippers Hockey Club (Makueni),2,9,-7
NLM-SZ,Kisii Falcons,17,1,16
NLM-SZ,Bay Club,11,3,8
NLM-SZ,Gorillas Hockey CLub – Migori,3,13,-10
NLM-SZ,Oyugis Hockey Club,1,15,-14
NLM-WZ,Kitale Hockey Club,15,3,12
NLM-WZ,Lakers Hockey Club Men,4,3,1
NLM-WZ,Fire Flickers,5,5,0
NLM-WZ,Nandi Hawks,4,11,-7
NLM-WZ,GHF Blue Pirates II,5,9,-4
NLM-WZ,Western Jaguars Dev,0,2,-2
PLM,Warriors,22,13,9
PLM,Western Jaguars,20,12,8
PLM,Sikh Union Nairobi,20,15,5
PLM,Daikyo Heroes,17,19,-2
PLM,Wazalendo,17,15,2
PLM,Parklands Sports Club,13,16,-3
PLM,Kenya Police,14,15,-1
PLM,Kisumu Youngsters,11,12,-1
PLM,USIU – A,12,15,-3
PLM,Greensharks,4,18,-14
PLW,Blazers Hockey Club,14,3,11
PLW,USIU – A Ladies,8,4,4
PLW,Lakers Hockey Club,11,4,7
PLW,Amira Sailors Hockey Club,3,5,-2
PLW,Strathmore University Ladies,6,8,-2
PLW,UON Ladies,4,6,-2
PLW,Sliders Hockey Club,2,13,-11
PLW,Kisumu Queens,2,3,-1
PLW,Kenyatta University Ladies,1,3,-2
PLW,JKUAT Ladies,0,2,-2
SLM,KCA University,25,9,16
SLM,Strathmore University,16,6,10
SLM,Mvita XI,12,7,5
SLM,Impala,17,19,-2
SLM,Parkroad Tigers,9,17,-8
SLM,GHF Blue Pirates,4,3,1
SLM,UON Men,7,10,-3
SLM,Parkroad Badgers,13,17,-4
SLM,Wazalendo Masters,9,18,-9
SLM,Nakuru Hockey Club,8,14,-6
SLW,Twinkle Hockey Club,13,3,10
SLW,Wazalendo Pearls,10,5,5
SLW,Lakers Hockey Club – B,7,5,2
SLW,GHF Rift Pirates Ladies,8,7,1
SLW,Swans Hockey Club,4,4,0
SLW,Daystar University Ladies,3,9,-6
SLW,Mombasa Sports Club Ladies,3,5,-2
SLW,Gorillas Hockey Club – Ladies,2,6,-4
SLW,Black Tigresses,0,6,-6
