Competition,Date,HomeTeam,HomeGoals,AwayGoals,AwayTeam,Margin
NLM-SZ,07-06-2026,Oyugis Hockey Club,0,10,Kisii Falcons,10
NLM-SZ,21-06-2026,Gorillas Hockey CLub – Migori,0,8,Bay Club,8
NLM-CZ,07-06-2026,Thika Rovers,8,0,Dukes of Gloucester,8
NLM-CZ,21-06-2026,GHF Rift Pirates Men,9,1,Dukes of Gloucester,8
NLM-WZ,12-07-2026,Kitale Hockey Club,7,0,Nandi Hawks,7
PLW,21-06-2026,Sliders Hockey Club,0,6,Lakers Hockey Club,6
SLM,20-06-2026,Parkroad Tigers,1,7,KCA University,6
SLW,06-06-2026,Black Tigresses,0,6,Twinkle Hockey Club,6
NLM-CZ,06-06-2026,Dukes of Gloucester,5,0,Nyari Hockey Club,5
SLM,14-06-2026,Parkroad Tigers,0,4,Strathmore University,4
