Competition,Player,Team,Event,Count
PLM,Allan Iningu,Warriors,Green Card,1
PLM,Aredha Mandela,Parklands Sports Club,Green Card,1
PLM,Arjun Gupta,Sikh Union Nairobi,Green Card,2
PLM,Asher Ochieng,Kisumu Youngsters,Green Card,1
PLM,Benon Papa,Greensharks,Green Card,1
PLM,Benson Mawich,Greensharks,Green Card,1
PLM,Bonny Ndombi,Daikyo Heroes,Green Card,1
PLM,Bravel Lumiti,Kisumu Youngsters,Green Card,1
PLM,Brian Oyato,Parklands Sports Club,Green Card,1
PLM,Calvins Kanu Omondi,Warriors,Green Card,3
PLM,Charles Ashiundu,Western Jaguars,Green Card,1
PLM,Charles Otieno,Western Jaguars,Green Card,1
PLM,Chris Wokila,Greensharks,Green Card,1
PLM,Daniel Matara,Parklands Sports Club,Green Card,1
PLM,Daniel Omondi,Western Jaguars,Green Card,1
PLM,David Omindo,Kisumu Youngsters,Green Card,1
PLM,Duncan Kachisa,Kisumu Youngsters,Green Card,2
PLM,Duncan Opanda,Kisumu Youngsters,Green Card,1
PLM,Edson Ndombi,Warriors,Green Card,1
PLM,Elvis Young Adala,Greensharks,Green Card,2
PLM,Esbon Ombui,Daikyo Heroes,Green Card,1
PLM,Fofana Mohammed,Sikh Union Nairobi,Green Card,1
PLM,Fortuna Madaga,Kenya Police,Green Card,1
PLM,Francis Kariuki,Warriors,Green Card,1
PLM,Frankline Wakhongo,Warriors,Green Card,1
PLM,George Mutira,Warriors,Green Card,2
PLM,Gideon Koskei,Kisumu Youngsters,Green Card,1
PLM,Griffin Bosire,Wazalendo,Green Card,1
PLM,Ian Mwaliki,USIU – A,Green Card,1
PLM,Ian Oyale,Greensharks,Green Card,1
PLM,Isaac Nandukele,Wazalendo,Green Card,2
PLM,Job Wandera,Wazalendo,Green Card,1
PLM,JohnMark Odera,Warriors,Red Card,1
PLM,Joseph Kasua,Daikyo Heroes,Green Card,1
PLM,Kennedy Juma,Greensharks,Green Card,1
PLM,Kennedy Sakong,Kenya Police,Green Card,1
PLM,Kim Webi,Sikh Union Nairobi,Green Card,1
PLM,Malack Masese,Kisumu Youngsters,Green Card,2
PLM,Martin Omondi,Parklands Sports Club,Green Card,1
PLM,Mathew Onialo,Kisumu Youngsters,Green Card,1
PLM,Mathias Gularire,Sikh Union Nairobi,Green Card,2
PLM,Michael Mboya,Wazalendo,Green Card,3
PLM,Moses Ademba,Warriors,Green Card,1
PLM,Moses Isigi Ooga,Kisumu Youngsters,Green Card,1
PLM,Moses Omamu,Parklands Sports Club,Green Card,2
PLM,Obare Joseph Otora,Sikh Union Nairobi,Green Card,1
PLM,Peter Apanacho,Daikyo Heroes,Green Card,1
PLM,Robert Masibo,Kenya Police,Green Card,2
PLM,Robinson Omutekete,USIU – A,Green Card,1
PLM,Samson Sananka Ratia,USIU – A,Green Card,1
PLM,Shadrack Shikuku,Kenya Police,Green Card,1
PLM,Teddy Schefer,Parklands Sports Club,Green Card,1
PLM,Titus Kimutai,Kenya Police,Green Card,1
PLM,Vincent Odindo,Kenya Police,Green Card,1
PLM,William Kirwa,Parklands Sports Club,Green Card,1
PLM,Willis Malesi,Western Jaguars,Green Card,2
PLM,Wycliffe Wanyonyi,Parklands Sports Club,Green Card,2
PLM,Xavier Buluma,Greensharks,Green Card,1
PLW,Beryl Achieng,Kisumu Queens,Green Card,1
PLW,Chamchui Esther,Sliders Hockey Club,Green Card,1
PLW,Faith Amondi,Lakers Hockey Club,Green Card,1
PLW,Harriet Omindi,USIU – A Ladies,Green Card,1
PLW,Irene Senoi,USIU – A Ladies,Green Card,1
PLW,Joan Anjao,Blazers Hockey Club,Green Card,2
PLW,Noela Kimathi,UON Ladies,Green Card,1
PLW,Racheal Khamala,Strathmore University Ladies,Green Card,1
PLW,Valary Cheruto,JKUAT Ladies,Green Card,1
PLW,Vivian Juma,Lakers Hockey Club,Green Card,1
