,Competition,Team,CleanSheets,Matches,CleanSheetRate
0,NLM-CZ,Dukes of Gloucester,1,3,0.33
1,NLM-CZ,GHF Rift Pirates Men,0,1,0.0
2,NLM-CZ,Nyari Hockey Club,0,1,0.0
3,NLM-CZ,Thika Rovers,1,1,1.0
4,NLM-EZ,Black Tigers,2,9,0.22
5,NLM-EZ,Daystar University Men,0,6,0.0
6,NLM-EZ,Gorillas,2,8,0.25
7,NLM-EZ,Mombasa Sports Club,0,5,0.0
8,NLM-EZ,Mombasa West,1,5,0.2
9,NLM-EZ,Parklands Sports Club – Legacy,2,8,0.25
10,NLM-EZ,Snippers Hockey Club (Makueni),0,6,0.0
11,NLM-EZ,TUK Men,0,2,0.0
12,NLM-EZ,Ulinzi Patriots,2,8,0.25
13,NLM-EZ,UoN Cubs,2,5,0.4
14,NLM-SZ,Bay Club,2,3,0.67
15,NLM-SZ,Gorillas Hockey CLub – Migori,0,3,0.0
16,NLM-SZ,Kisii Falcons,2,3,0.67
17,NLM-SZ,Oyugis Hockey Club,0,3,0.0
18,NLM-WZ,Fire Flickers,0,4,0.0
19,NLM-WZ,GHF Blue Pirates II,0,4,0.0
20,NLM-WZ,Kitale Hockey Club,3,5,0.6
21,NLM-WZ,Lakers Hockey Club Men,1,4,0.25
22,NLM-WZ,Nandi Hawks,1,4,0.25
23,NLM-WZ,Western Jaguars Dev,0,1,0.0
24,PLM,Daikyo Heroes,1,11,0.09
25,PLM,Greensharks,0,11,0.0
26,PLM,Kenya Police,2,10,0.2
27,PLM,Kisumu Youngsters,3,11,0.27
28,PLM,Parklands Sports Club,3,10,0.3
29,PLM,Sikh Union Nairobi,1,10,0.1
30,PLM,USIU – A,2,9,0.22
31,PLM,Warriors,1,10,0.1
32,PLM,Wazalendo,2,11,0.18
33,PLM,Western Jaguars,3,11,0.27
34,PLW,Amira Sailors Hockey Club,5,7,0.71
35,PLW,Blazers Hockey Club,5,7,0.71
36,PLW,JKUAT Ladies,0,1,0.0
37,PLW,Kenyatta University Ladies,0,2,0.0
38,PLW,Kisumu Queens,4,6,0.67
39,PLW,Lakers Hockey Club,2,6,0.33
40,PLW,Sliders Hockey Club,2,9,0.22
41,PLW,Strathmore University Ladies,4,8,0.5
42,PLW,UON Ladies,1,6,0.17
43,PLW,USIU – A Ladies,5,8,0.62
44,SLM,GHF Blue Pirates,2,4,0.5
45,SLM,Impala,0,8,0.0
46,SLM,KCA University,3,8,0.38
47,SLM,Mvita XI,2,5,0.4
48,SLM,Nakuru Hockey Club,0,7,0.0
49,SLM,Parkroad Badgers,0,7,0.0
50,SLM,Parkroad Tigers,1,6,0.17
51,SLM,Strathmore University,2,6,0.33
52,SLM,UON Men,1,6,0.17
53,SLM,Wazalendo Masters,0,9,0.0
54,SLW,Black Tigresses,0,1,0.0
55,SLW,Daystar University Ladies,0,5,0.0
56,SLW,GHF Rift Pirates Ladies,1,6,0.17
57,SLW,Gorillas Hockey Club – Ladies,0,3,0.0
58,SLW,Lakers Hockey Club – B,4,6,0.67
59,SLW,Mombasa Sports Club Ladies,1,4,0.25
60,SLW,Swans Hockey Club,0,4,0.0
61,SLW,Twinkle Hockey Club,4,5,0.8
62,SLW,Wazalendo Pearls,1,6,0.17
