Competition,Team,CleanSheets,FailedToScore
NLM-CZ,GHF Rift Pirates Men,0,0
NLM-CZ,Thika Rovers,1,0
NLM-CZ,Dukes of Gloucester,1,1
NLM-CZ,Nyari Hockey Club,0,1
NLM-EZ,Ulinzi Patriots,2,1
NLM-EZ,Gorillas,2,1
NLM-EZ,Black Tigers,2,1
NLM-EZ,Parklands Sports Club – Legacy,2,0
NLM-EZ,UoN Cubs,2,1
NLM-EZ,Mombasa West,1,1
NLM-EZ,Mombasa Sports Club,0,0
NLM-EZ,TUK Men,0,0
NLM-EZ,Daystar University Men,0,2
NLM-EZ,Snippers Hockey Club (Makueni),0,4
NLM-SZ,Kisii Falcons,2,0
NLM-SZ,Bay Club,2,0
NLM-SZ,Gorillas Hockey CLub – Migori,0,2
NLM-SZ,Oyugis Hockey Club,0,2
NLM-WZ,Kitale Hockey Club,3,0
NLM-WZ,Lakers Hockey Club Men,1,1
NLM-WZ,Fire Flickers,0,1
NLM-WZ,Nandi Hawks,1,1
NLM-WZ,GHF Blue Pirates II,0,1
NLM-WZ,Western Jaguars Dev,0,1
PLM,Western Jaguars,3,2
PLM,Warriors,1,1
PLM,Sikh Union Nairobi,1,0
PLM,Wazalendo,2,0
PLM,Parklands Sports Club,3,0
PLM,Daikyo Heroes,1,3
PLM,Kisumu Youngsters,3,2
PLM,Kenya Police,2,1
PLM,USIU – A,2,2
PLM,Greensharks,0,7
PLW,Blazers Hockey Club,5,1
PLW,USIU – A Ladies,5,3
PLW,Lakers Hockey Club,2,2
PLW,Strathmore University Ladies,4,2
PLW,Amira Sailors Hockey Club,5,4
PLW,Kisumu Queens,4,4
PLW,UON Ladies,1,3
PLW,Sliders Hockey Club,2,7
PLW,Kenyatta University Ladies,0,1
PLW,JKUAT Ladies,0,1
SLM,KCA University,3,0
SLM,Strathmore University,2,0
SLM,Mvita XI,2,0
SLM,Impala,0,1
SLM,Parkroad Tigers,1,1
SLM,GHF Blue Pirates,2,1
SLM,UON Men,1,1
SLM,Parkroad Badgers,0,0
SLM,Wazalendo Masters,0,5
SLM,Nakuru Hockey Club,0,2
SLW,Twinkle Hockey Club,4,0
SLW,Wazalendo Pearls,1,1
SLW,Lakers Hockey Club – B,4,1
SLW,GHF Rift Pirates Ladies,1,1
SLW,Swans Hockey Club,0,1
SLW,Daystar University Ladies,0,4
SLW,Mombasa Sports Club Ladies,1,1
SLW,Gorillas Hockey Club – Ladies,0,1
SLW,Black Tigresses,0,1
