Competition,Team,Player,ClutchGoals
PLM,Kenya Police,Kennedy Sibweche,2
PLM,Sikh Union Nairobi,Mathias Gularire,2
PLM,Western Jaguars,Sheldone Kimtai,2
PLM,Daikyo Heroes,Austin Otieno,1
PLM,Daikyo Heroes,Esbon Ombui,1
PLM,Daikyo Heroes,Khizar Akhtar,1
PLM,Kenya Police,Willis Okeyo,1
PLM,Kisumu Youngsters,Malack Masese,1
PLM,Kisumu Youngsters,Moses Isigi Ooga,1
PLM,Parklands Sports Club,Valentine Keya,1
PLM,Parklands Sports Club,William Kirwa,1
PLM,USIU – A,Brian Ogeche,1
PLM,Warriors,Calvins Kanu Omondi,1
PLM,Warriors,Frankline Wakhongo,1
PLM,Wazalendo,Mathew Momanyi,1
PLM,Wazalendo,Michael Mboya,1
PLM,Western Jaguars,Alex Taiswa,1
PLM,Western Jaguars,Godfrey Fedha,1
PLW,Blazers Hockey Club,Audrey Omaido,1
PLW,Blazers Hockey Club,Vivian Onyango,1
PLW,Strathmore University Ladies,Grace Bwire,1
PLW,Strathmore University Ladies,Nichole Joy,1
PLW,UON Ladies,Clementine Sims,1
