Position,Competition,Team,Played,Wins,Draws,Losses,GF,GA,GD,Points,GoalsPerMatch,GoalsAgainstPerMatch,AverageGD,PPG,ConcededPerMatch,GDPerMatch,AttackStrength,DefenceStrength,OverallStrength,PointsPerMatch,WinPercentage,DrawPercentage,LossPercentage,RankingScore,OffensiveEfficiency,DefensiveEfficiency,EfficiencyDifference,ScoringRate,ConcedingRate,NetPerformance,PPM,EfficiencyRating,AttackRank,DefenceRank,GDRank,PointsRank,CompositeRating,CompositeRank
1,NLM-CZ,GHF Rift Pirates Men,1,1,0,0,9,1,8,3,9.0,1.0,8.0,3.0,1.0,8.0,1.89,2.92,2.4,3.0,100.0,0.0,0.0,1.88,9.0,1.0,8.0,9.0,1.0,8.0,3.0,5.5,15,2,7,18,10.31,3
2,NLM-CZ,Thika Rovers,1,1,0,0,8,0,8,3,8.0,0.0,8.0,3.0,0.0,8.0,1.68,8.08,4.88,3.0,100.0,0.0,0.0,0.79,8.0,0.0,8.0,8.0,0.0,8.0,3.0,5.5,16,1,7,18,15.26,1
3,NLM-CZ,Dukes of Gloucester,3,1,0,2,6,17,-11,3,2.0,5.666666666666667,-3.67,1.0,5.67,-3.67,0.42,0.51,0.46,1.0,33.3,0.0,66.7,0.92,2.0,5.67,-3.67,2.0,5.67,-3.67,1.0,-1.34,18,18,26,18,-0.41,57
4,NLM-CZ,Nyari Hockey Club,1,0,0,1,0,5,-5,0,0.0,5.0,-5.0,0.0,5.0,-5.0,0.0,0.58,0.29,0.0,0.0,0.0,100.0,0.28,0.0,5.0,-5.0,0.0,5.0,-5.0,0.0,-2.5,24,6,20,21,-1.92,60
1,NLM-EZ,Ulinzi Patriots,8,5,2,1,14,8,6,17,1.75,1.0,0.75,2.12,1.0,0.75,1.31,1.36,1.34,2.12,62.5,25.0,12.5,1.58,1.75,1.0,0.75,1.75,1.0,0.75,2.12,1.44,10,9,9,4,4.11,16
2,NLM-EZ,Gorillas,8,4,2,2,10,9,1,14,1.25,1.125,0.12,1.75,1.12,0.12,0.94,1.21,1.08,1.75,50.0,25.0,25.0,1.32,1.25,1.12,0.13,1.25,1.12,0.13,1.75,0.94,14,10,14,7,3.09,26
3,NLM-EZ,Black Tigers,9,4,1,4,13,12,1,13,1.44,1.3333333333333333,0.11,1.44,1.33,0.11,1.08,1.02,1.05,1.44,44.4,11.1,44.4,1.24,1.44,1.33,0.11,1.44,1.33,0.11,1.44,0.78,11,13,14,8,2.88,30
4,NLM-EZ,Parklands Sports Club – Legacy,8,3,3,2,11,10,1,12,1.38,1.25,0.12,1.5,1.25,0.12,1.03,1.09,1.06,1.5,37.5,37.5,25.0,1.24,1.38,1.25,0.13,1.38,1.25,0.13,1.5,0.82,13,11,14,9,2.94,28
5,NLM-EZ,UoN Cubs,5,3,0,2,6,5,1,9,1.2,1.0,0.2,1.8,1.0,0.2,0.9,1.36,1.13,1.8,60.0,0.0,40.0,1.3,1.2,1.0,0.2,1.2,1.0,0.2,1.8,1.0,18,6,14,12,3.26,24
6,NLM-EZ,Mombasa West,5,2,2,1,8,6,2,8,1.6,1.2,0.4,1.6,1.2,0.4,1.2,1.13,1.16,1.6,40.0,40.0,20.0,1.33,1.6,1.2,0.4,1.6,1.2,0.4,1.6,1.0,16,7,13,13,3.33,23
7,NLM-EZ,Mombasa Sports Club,5,1,4,0,7,6,1,7,1.4,1.2,0.2,1.4,1.2,0.2,1.05,1.13,1.09,1.4,20.0,80.0,0.0,1.19,1.4,1.2,0.2,1.4,1.2,0.2,1.4,0.8,17,7,14,14,2.98,27
8,NLM-EZ,TUK Men,2,1,0,1,4,4,0,3,2.0,2.0,0.0,1.5,2.0,0.0,1.5,0.68,1.09,1.5,50.0,0.0,50.0,1.46,2.0,2.0,0.0,2.0,2.0,0.0,1.5,0.75,20,5,15,18,2.93,29
9,NLM-EZ,Daystar University Men,6,1,0,5,6,12,-6,3,1.0,2.0,-1.0,0.5,2.0,-1.0,0.75,0.68,0.72,0.5,16.7,0.0,83.3,0.74,1.0,2.0,-1.0,1.0,2.0,-1.0,0.5,-0.25,18,13,21,18,1.18,48
10,NLM-EZ,Snippers Hockey Club (Makueni),6,0,0,6,2,9,-7,0,0.33,1.5,-1.17,0.0,1.5,-1.17,0.25,0.91,0.58,0.0,0.0,0.0,100.0,0.29,0.33,1.5,-1.17,0.33,1.5,-1.17,0.0,-0.58,22,10,22,21,0.58,52
1,NLM-SZ,Kisii Falcons,3,3,0,0,17,1,16,9,5.67,0.3333333333333333,5.33,3.0,0.33,5.33,2.13,8.08,5.11,3.0,100.0,0.0,0.0,0.92,5.67,0.33,5.34,5.67,0.33,5.34,3.0,4.17,7,2,1,12,14.38,2
2,NLM-SZ,Bay Club,3,2,0,1,11,3,8,6,3.67,1.0,2.67,2.0,1.0,2.67,1.38,2.66,2.02,2.0,66.7,0.0,33.3,1.28,3.67,1.0,2.67,3.67,1.0,2.67,2.0,2.34,13,4,7,15,6.38,7
3,NLM-SZ,Gorillas Hockey CLub – Migori,3,1,0,2,3,13,-10,3,1.0,4.333333333333333,-3.33,1.0,4.33,-3.33,0.37,0.62,0.5,1.0,33.3,0.0,66.7,0.89,1.0,4.33,-3.33,1.0,4.33,-3.33,1.0,-1.16,21,14,25,18,-0.17,55
4,NLM-SZ,Oyugis Hockey Club,3,0,0,3,1,15,-14,0,0.33,5.0,-4.67,0.0,5.0,-4.67,0.12,0.53,0.32,0.0,0.0,0.0,100.0,0.33,0.33,5.0,-4.67,0.33,5.0,-4.67,0.0,-2.34,23,16,27,21,-1.69,59
1,NLM-WZ,Kitale Hockey Club,5,5,0,0,15,3,12,15,3.0,0.6,2.4,3.0,0.6,2.4,2.4,2.67,2.54,3.0,100.0,0.0,0.0,2.09,3.0,0.6,2.4,3.0,0.6,2.4,3.0,2.7,9,4,3,6,7.77,4
2,NLM-WZ,Lakers Hockey Club Men,4,2,1,1,4,3,1,7,1.0,0.75,0.25,1.75,0.75,0.25,0.8,2.13,1.46,1.75,50.0,25.0,25.0,1.09,1.0,0.75,0.25,1.0,0.75,0.25,1.75,1.0,20,4,14,14,3.93,18
3,NLM-WZ,Fire Flickers,4,1,1,2,5,5,0,4,1.25,1.25,0.0,1.0,1.25,0.0,1.0,1.28,1.14,1.0,25.0,25.0,50.0,0.94,1.25,1.25,0.0,1.25,1.25,0.0,1.0,0.5,19,6,15,17,2.78,31
4,NLM-WZ,Nandi Hawks,4,1,1,2,4,11,-7,4,1.0,2.75,-1.75,1.0,2.75,-1.75,0.8,0.58,0.69,1.0,25.0,25.0,50.0,1.02,1.0,2.75,-1.75,1.0,2.75,-1.75,1.0,-0.38,20,12,22,17,1.0,50
5,NLM-WZ,GHF Blue Pirates II,4,0,1,3,5,9,-4,1,1.25,2.25,-1.0,0.25,2.25,-1.0,1.0,0.71,0.86,0.25,0.0,25.0,75.0,0.68,1.25,2.25,-1.0,1.25,2.25,-1.0,0.25,-0.38,19,10,19,20,1.33,44
6,NLM-WZ,Western Jaguars Dev,1,0,0,1,0,2,-2,0,0.0,2.0,-2.0,0.0,2.0,-2.0,0.0,0.8,0.4,0.0,0.0,0.0,100.0,0.24,0.0,2.0,-2.0,0.0,2.0,-2.0,0.0,-1.0,24,3,17,21,-0.2,56
