,Competition,Team,GA
3,NLM-CZ,Thika Rovers,0
1,NLM-CZ,GHF Rift Pirates Men,1
2,NLM-CZ,Nyari Hockey Club,5
0,NLM-CZ,Dukes of Gloucester,17
11,NLM-EZ,TUK Men,4
13,NLM-EZ,UoN Cubs,5
7,NLM-EZ,Mombasa Sports Club,6
8,NLM-EZ,Mombasa West,6
12,NLM-EZ,Ulinzi Patriots,8
6,NLM-EZ,Gorillas,9
10,NLM-EZ,Snippers Hockey Club (Makueni),9
9,NLM-EZ,Parklands Sports Club – Legacy,10
4,NLM-EZ,Black Tigers,12
5,NLM-EZ,Daystar University Men,12
16,NLM-SZ,Kisii Falcons,1
14,NLM-SZ,Bay Club,3
15,NLM-SZ,Gorillas Hockey CLub – Migori,13
17,NLM-SZ,Oyugis Hockey Club,15
23,NLM-WZ,Western Jaguars Dev,2
20,NLM-WZ,Kitale Hockey Club,3
21,NLM-WZ,Lakers Hockey Club Men,3
18,NLM-WZ,Fire Flickers,5
19,NLM-WZ,GHF Blue Pirates II,9
22,NLM-WZ,Nandi Hawks,11
27,PLM,Kisumu Youngsters,12
33,PLM,Western Jaguars,12
31,PLM,Warriors,13
26,PLM,Kenya Police,15
29,PLM,Sikh Union Nairobi,15
30,PLM,USIU – A,15
32,PLM,Wazalendo,15
28,PLM,Parklands Sports Club,16
25,PLM,Greensharks,18
24,PLM,Daikyo Heroes,19
36,PLW,JKUAT Ladies,2
35,PLW,Blazers Hockey Club,3
37,PLW,Kenyatta University Ladies,3
38,PLW,Kisumu Queens,3
39,PLW,Lakers Hockey Club,4
43,PLW,USIU – A Ladies,4
34,PLW,Amira Sailors Hockey Club,5
42,PLW,UON Ladies,6
41,PLW,Strathmore University Ladies,8
40,PLW,Sliders Hockey Club,14
44,SLM,GHF Blue Pirates,3
51,SLM,Strathmore University,6
47,SLM,Mvita XI,7
46,SLM,KCA University,9
52,SLM,UON Men,10
48,SLM,Nakuru Hockey Club,14
49,SLM,Parkroad Badgers,17
50,SLM,Parkroad Tigers,17
53,SLM,Wazalendo Masters,18
45,SLM,Impala,19
61,SLW,Twinkle Hockey Club,3
60,SLW,Swans Hockey Club,4
58,SLW,Lakers Hockey Club – B,5
59,SLW,Mombasa Sports Club Ladies,5
62,SLW,Wazalendo Pearls,5
54,SLW,Black Tigresses,6
57,SLW,Gorillas Hockey Club – Ladies,6
56,SLW,GHF Rift Pirates Ladies,7
55,SLW,Daystar University Ladies,9
