Competition,Team,GoalsConceded,Matches,GoalsPerGame
NLM-CZ,Thika Rovers,0,1,0.0
NLM-CZ,GHF Rift Pirates Men,1,1,1.0
NLM-CZ,Nyari Hockey Club,5,1,5.0
NLM-CZ,Dukes of Gloucester,17,3,5.666666666666667
NLM-EZ,Ulinzi Patriots,8,8,1.0
NLM-EZ,UoN Cubs,5,5,1.0
NLM-EZ,Gorillas,9,8,1.125
NLM-EZ,Mombasa Sports Club,6,5,1.2
NLM-EZ,Mombasa West,6,5,1.2
NLM-EZ,Parklands Sports Club – Legacy,10,8,1.25
NLM-EZ,Black Tigers,12,9,1.3333333333333333
NLM-EZ,Snippers Hockey Club (Makueni),9,6,1.5
NLM-EZ,Daystar University Men,12,6,2.0
NLM-EZ,TUK Men,4,2,2.0
NLM-SZ,Kisii Falcons,1,3,0.3333333333333333
NLM-SZ,Bay Club,3,3,1.0
NLM-SZ,Gorillas Hockey CLub – Migori,13,3,4.333333333333333
NLM-SZ,Oyugis Hockey Club,15,3,5.0
NLM-WZ,Kitale Hockey Club,3,5,0.6
NLM-WZ,Lakers Hockey Club Men,3,4,0.75
NLM-WZ,Fire Flickers,5,4,1.25
NLM-WZ,Western Jaguars Dev,2,1,2.0
NLM-WZ,GHF Blue Pirates II,9,4,2.25
NLM-WZ,Nandi Hawks,11,4,2.75
PLM,Kisumu Youngsters,12,9,1.3333333333333333
PLM,Western Jaguars,12,9,1.3333333333333333
PLM,Warriors,13,9,1.4444444444444444
PLM,Kenya Police,15,9,1.6666666666666667
PLM,Sikh Union Nairobi,15,9,1.6666666666666667
PLM,USIU – A,15,9,1.6666666666666667
PLM,Wazalendo,15,9,1.6666666666666667
PLM,Parklands Sports Club,16,9,1.7777777777777777
PLM,Greensharks,18,9,2.0
PLM,Daikyo Heroes,19,9,2.111111111111111
PLW,Blazers Hockey Club,3,7,0.42857142857142855
PLW,USIU – A Ladies,4,8,0.5
PLW,Kisumu Queens,3,5,0.6
PLW,Lakers Hockey Club,4,6,0.6666666666666666
PLW,Amira Sailors Hockey Club,5,7,0.7142857142857143
PLW,UON Ladies,6,6,1.0
PLW,Strathmore University Ladies,8,7,1.1428571428571428
PLW,Kenyatta University Ladies,3,2,1.5
PLW,Sliders Hockey Club,13,7,1.8571428571428572
PLW,JKUAT Ladies,2,1,2.0
SLM,GHF Blue Pirates,3,4,0.75
SLM,Strathmore University,6,6,1.0
SLM,KCA University,9,8,1.125
SLM,Mvita XI,7,5,1.4
SLM,UON Men,10,6,1.6666666666666667
SLM,Nakuru Hockey Club,14,7,2.0
SLM,Wazalendo Masters,18,9,2.0
SLM,Impala,19,8,2.375
SLM,Parkroad Badgers,17,7,2.4285714285714284
SLM,Parkroad Tigers,17,6,2.8333333333333335
SLW,Twinkle Hockey Club,3,5,0.6
SLW,Lakers Hockey Club – B,5,6,0.8333333333333334
SLW,Wazalendo Pearls,5,6,0.8333333333333334
SLW,Swans Hockey Club,4,4,1.0
SLW,GHF Rift Pirates Ladies,7,6,1.1666666666666667
SLW,Mombasa Sports Club Ladies,5,4,1.25
SLW,Daystar University Ladies,9,5,1.8
SLW,Gorillas Hockey Club – Ladies,6,3,2.0
SLW,Black Tigresses,6,1,6.0
