DomesticName,DomesticClub,DomesticCompetition,InternationalName,InternationalCompetition
Vivian Onyango,Blazers Hockey Club,PLW,ONYANGO Vivian,AFCON-W-2022
Faith Amondi,Lakers Hockey Club,PLW,AMONDI Faith,JAC-W-2024
Grace Bwire,Strathmore University Ladies,PLW,BWIRE Grace,AFCON-W-2022
Grace Bwire,Strathmore University Ladies,PLW,BWIRE Grace,AFCON-W-2025
Naom Kemunto,USIU – A Ladies,PLW,KEMUNTO Naom,AFCON-W-2022
Naom Kemunto,USIU – A Ladies,PLW,KEMUNTO Naom,AFCON-W-2025
Robert Masibo,Kenya Police,PLM,MASIBO Robert,AFCON-M-2017
Festus Onyango,Warriors,PLM,ONYANGO Festus,AFCON-M-2017
Festus Onyango,Warriors,PLM,ONYANGO Festus,AFCON-M-2022
Edson Ndombi,Warriors,PLM,NDOMBI Edson,AFCON-M-2022
Edson Ndombi,Warriors,PLM,NDOMBI Edson,AFCON-M-2025
Allan Iningu,Warriors,PLM,ININGU Allan,AFCON-M-2022
Moses Ademba,Warriors,PLM,ADEMBA Moses,AFCON-M-2025
Bethuel Masambu,Western Jaguars,PLM,MASAMBU Bethuel,AFCON-M-2025
Ivan Ludiali,Western Jaguars,PLM,LUDIALI Ivan,AFCON-M-2025
