Competition,Team,Date,Elo
NLM-CZ,Dukes of Gloucester,2026-06-06,1519.0395280511177
NLM-CZ,Nyari Hockey Club,2026-06-06,1480.9604719488823
NLM-CZ,Thika Rovers,2026-06-07,1524.9751262690384
NLM-CZ,Dukes of Gloucester,2026-06-07,1494.0644017820794
NLM-CZ,GHF Rift Pirates Men,2026-06-21,1522.8492527151993
NLM-CZ,Dukes of Gloucester,2026-06-21,1471.21514906688
NLM-EZ,Black Tigers,2026-06-06,1507.3654948749956
NLM-EZ,UoN Cubs,2026-06-06,1492.6345051250044
NLM-EZ,TUK Men,2026-06-06,1490.9904742335796
NLM-EZ,Gorillas,2026-06-06,1509.0095257664204
NLM-EZ,Gorillas,2026-06-07,1494.4562519658018
NLM-EZ,Ulinzi Patriots,2026-06-07,1514.5532738006186
NLM-EZ,Mombasa West,2026-06-07,1490.9904742335796
NLM-EZ,Mombasa Sports Club,2026-06-07,1509.0095257664204
NLM-EZ,TUK Men,2026-06-07,1498.7966899018852
NLM-EZ,Black Tigers,2026-06-07,1499.55927920669
NLM-EZ,Daystar University Men,2026-06-13,1491.2743897533596
NLM-EZ,Ulinzi Patriots,2026-06-13,1523.278884047259
NLM-EZ,Parklands Sports Club – Legacy,2026-06-13,1485.4963237664235
NLM-EZ,UoN Cubs,2026-06-13,1507.1381813585808
NLM-EZ,Snippers Hockey Club (Makueni),2026-06-13,1490.9819726783528
NLM-EZ,Black Tigers,2026-06-13,1508.5773065283372
NLM-EZ,Ulinzi Patriots,2026-06-14,1513.5650807253985
NLM-EZ,Parklands Sports Club – Legacy,2026-06-14,1495.210127088284
NLM-EZ,UoN Cubs,2026-06-14,1514.0862323572146
NLM-EZ,Daystar University Men,2026-06-14,1484.3263387547258
NLM-EZ,Gorillas,2026-06-20,1501.729476664378
NLM-EZ,Snippers Hockey Club (Makueni),2026-06-20,1483.7087479797767
NLM-EZ,Ulinzi Patriots,2026-06-20,1525.2611131124825
NLM-EZ,UoN Cubs,2026-06-20,1502.3901999701307
NLM-EZ,Gorillas,2026-06-21,1500.3022367157616
NLM-EZ,Parklands Sports Club – Legacy,2026-06-21,1496.6373670369003
NLM-EZ,UoN Cubs,2026-06-21,1509.2651835631398
NLM-EZ,Snippers Hockey Club (Makueni),2026-06-21,1476.8337643867676
NLM-EZ,Daystar University Men,2026-06-27,1475.5566028830983
NLM-EZ,Parklands Sports Club – Legacy,2026-06-27,1505.4071029085278
NLM-EZ,Gorillas,2026-06-27,1499.3958482666615
NLM-EZ,Mombasa Sports Club,2026-06-27,1509.9159142155206
NLM-EZ,Ulinzi Patriots,2026-06-27,1522.8997957682257
NLM-EZ,Mombasa West,2026-06-27,1493.3517915778364
NLM-EZ,Gorillas,2026-06-28,1490.2702647767128
NLM-EZ,Mombasa West,2026-06-28,1502.477375067785
NLM-EZ,Parklands Sports Club – Legacy,2026-06-28,1515.9014878528387
NLM-EZ,Snippers Hockey Club (Makueni),2026-06-28,1466.3393794424567
NLM-EZ,Ulinzi Patriots,2026-06-28,1521.2529485858458
NLM-EZ,Mombasa Sports Club,2026-06-28,1511.5627613979004
NLM-EZ,Daystar University Men,2026-07-04,1466.8341539563294
NLM-EZ,Gorillas,2026-07-04,1498.9927137034817
NLM-EZ,Mombasa Sports Club,2026-07-04,1510.50649919783
NLM-EZ,Parklands Sports Club – Legacy,2026-07-04,1516.9577500529092
NLM-EZ,Mombasa West,2026-07-04,1514.4098893740002
NLM-EZ,Black Tigers,2026-07-04,1496.644792222122
NLM-EZ,Snippers Hockey Club (Makueni),2026-07-04,1458.5681738471387
NLM-EZ,Ulinzi Patriots,2026-07-04,1529.0241541811638
NLM-EZ,Mombasa Sports Club,2026-07-05,1508.8299144043726
NLM-EZ,Black Tigers,2026-07-05,1498.3213770155794
NLM-EZ,Mombasa West,2026-07-05,1513.2922804760067
NLM-EZ,Parklands Sports Club – Legacy,2026-07-05,1518.0753589509027
NLM-EZ,Black Tigers,2026-07-11,1506.2196455973508
NLM-EZ,Parklands Sports Club – Legacy,2026-07-11,1510.1770903691313
NLM-EZ,Snippers Hockey Club (Makueni),2026-07-11,1449.7191747425527
NLM-EZ,Daystar University Men,2026-07-11,1475.6831530609154
NLM-EZ,Ulinzi Patriots,2026-07-12,1535.7928373630605
NLM-EZ,Black Tigers,2026-07-12,1499.4509624154541
NLM-EZ,Black Tigers,2026-07-18,1512.9388727847816
NLM-EZ,Daystar University Men,2026-07-18,1462.195242691588
NLM-EZ,Black Tigers,2026-07-19,1503.663368093291
NLM-EZ,Gorillas,2026-07-19,1508.2682183949723
NLM-SZ,Bay Club,2026-06-06,1485.7202395109425
NLM-SZ,Kisii Falcons,2026-06-06,1514.2797604890575
NLM-SZ,Oyugis Hockey Club,2026-06-07,1469.795703279555
NLM-SZ,Kisii Falcons,2026-06-07,1544.4840572095025
NLM-SZ,Kisii Falcons,2026-06-13,1558.9324451014875
NLM-SZ,Gorillas Hockey CLub – Migori,2026-06-13,1485.551612108015
NLM-SZ,Oyugis Hockey Club,2026-06-14,1456.0035343507996
NLM-SZ,Gorillas Hockey CLub – Migori,2026-06-14,1499.3437810367705
NLM-SZ,Oyugis Hockey Club,2026-06-20,1442.6517933469863
NLM-SZ,Bay Club,2026-06-20,1499.0719805147558
NLM-SZ,Gorillas Hockey CLub – Migori,2026-06-21,1470.7676376968273
NLM-SZ,Bay Club,2026-06-21,1527.648123854699
NLM-WZ,Fire Flickers,2026-06-06,1498.7952155219152
NLM-WZ,Lakers Hockey Club Men,2026-06-06,1501.2047844780848
NLM-WZ,GHF Blue Pirates II,2026-06-14,1490.9904742335796
NLM-WZ,Kitale Hockey Club,2026-06-14,1509.0095257664204
NLM-WZ,Nandi Hawks,2026-06-14,1507.3334464241573
NLM-WZ,Fire Flickers,2026-06-14,1491.461769097758
NLM-WZ,Lakers Hockey Club Men,2026-06-20,1508.300341442953
NLM-WZ,GHF Blue Pirates II,2026-06-20,1483.8949172687114
NLM-WZ,Fire Flickers,2026-06-21,1502.8182311669289
NLM-WZ,GHF Blue Pirates II,2026-06-21,1472.5384551995405
NLM-WZ,GHF Blue Pirates II,2026-06-27,1472.5313744481105
NLM-WZ,Nandi Hawks,2026-06-27,1507.3405271755873
NLM-WZ,Nandi Hawks,2026-07-05,1498.349536966871
NLM-WZ,Lakers Hockey Club Men,2026-07-05,1517.2913316516692
NLM-WZ,Kitale Hockey Club,2026-07-12,1530.2611439208342
NLM-WZ,Nandi Hawks,2026-07-12,1477.0979188124572
NLM-WZ,Fire Flickers,2026-07-18,1494.3486667054399
NLM-WZ,Kitale Hockey Club,2026-07-18,1538.7307083823232
NLM-WZ,Lakers Hockey Club Men,2026-07-19,1508.7020265284707
NLM-WZ,Kitale Hockey Club,2026-07-19,1547.3200135055217
NLM-WZ,Western Jaguars Dev,2026-07-19,1487.3547496918427
NLM-WZ,Kitale Hockey Club,2026-07-19,1559.965263813679
PLM,Greensharks,2026-05-23,1485.7202395109425
PLM,Parklands Sports Club,2026-05-23,1514.2797604890575
PLM,Kenya Police,2026-05-23,1498.7952155219152
PLM,USIU – A,2026-05-23,1501.2047844780848
PLM,Warriors,2026-05-23,1498.7952155219152
PLM,Wazalendo,2026-05-23,1501.2047844780848
PLM,Western Jaguars,2026-05-23,1507.3654948749956
PLM,Kisumu Youngsters,2026-05-23,1492.6345051250044
PLM,Sikh Union Nairobi,2026-05-24,1506.9892757584546
PLM,Greensharks,2026-05-24,1478.730963752488
PLM,USIU – A,2026-05-24,1492.1952587116643
PLM,Wazalendo,2026-05-24,1510.2143102445052
PLM,Warriors,2026-05-24,1497.5904310438304
PLM,Kenya Police,2026-05-24,1500.0
PLM,Greensharks,2026-05-30,1469.9925537859915
PLM,Kisumu Youngsters,2026-05-30,1501.3729150915008
PLM,Parklands Sports Club,2026-05-30,1499.568476866551
PLM,Daikyo Heroes,2026-05-30,1514.7112836225065
PLM,USIU – A,2026-05-30,1483.474393868928
PLM,Sikh Union Nairobi,2026-05-30,1515.710140601191
PLM,Wazalendo,2026-05-30,1517.5041122185344
PLM,Western Jaguars,2026-05-30,1500.0756929009665
PLM,Greensharks,2026-05-31,1453.1592347931007
PLM,Western Jaguars,2026-05-31,1516.9090118938573
PLM,Parklands Sports Club,2026-05-31,1498.3784482682497
PLM,Kenya Police,2026-05-31,1501.1900285983013
PLM,Sikh Union Nairobi,2026-05-31,1530.3879814745185
PLM,Daikyo Heroes,2026-05-31,1500.033442749179
PLM,Warriors,2026-05-31,1504.5839737364824
PLM,USIU – A,2026-05-31,1476.480851176276
PLM,Wazalendo,2026-05-31,1528.5054988236002
PLM,Kisumu Youngsters,2026-05-31,1490.371528486435
PLM,Kenya Police,2026-06-06,1492.7556157193937
PLM,Sikh Union Nairobi,2026-06-06,1538.822394353426
PLM,Kisumu Youngsters,2026-06-06,1481.517468397559
PLM,Parklands Sports Club,2026-06-06,1507.2325083571257
PLM,Western Jaguars,2026-06-06,1526.9307905458886
PLM,USIU – A,2026-06-06,1466.4590725242447
PLM,Daikyo Heroes,2026-06-07,1509.8027825919908
PLM,Greensharks,2026-06-07,1443.3898949502889
PLM,Kisumu Youngsters,2026-06-07,1492.5630695675784
PLM,USIU – A,2026-06-07,1455.4134713542253
PLM,Western Jaguars,2026-06-07,1517.547529959184
PLM,Parklands Sports Club,2026-06-07,1516.6157689438303
PLM,Kenya Police,2026-06-13,1492.4031423470806
PLM,Western Jaguars,2026-06-13,1517.9000033314971
PLM,Kisumu Youngsters,2026-06-13,1483.890496453457
PLM,Daikyo Heroes,2026-06-13,1518.4753557061122
PLM,Parklands Sports Club,2026-06-13,1498.137007149919
PLM,Warriors,2026-06-13,1523.0627355303936
PLM,Wazalendo,2026-06-13,1527.654405996067
PLM,Sikh Union Nairobi,2026-06-13,1539.6734871809592
PLM,Kenya Police,2026-06-14,1490.9080772988248
PLM,Kisumu Youngsters,2026-06-14,1485.3855615017128
PLM,Sikh Union Nairobi,2026-06-14,1530.347917486664
PLM,Warriors,2026-06-14,1532.3883052246888
PLM,USIU – A,2026-06-14,1463.886366257193
PLM,Parklands Sports Club,2026-06-14,1489.6641122469514
PLM,Western Jaguars,2026-06-14,1529.598324596621
PLM,Daikyo Heroes,2026-06-14,1506.7770344409882
PLM,Daikyo Heroes,2026-06-20,1517.7892219275955
PLM,Kenya Police,2026-06-20,1479.8958898122175
PLM,Kisumu Youngsters,2026-06-20,1485.7295548159345
PLM,Sikh Union Nairobi,2026-06-20,1530.0039241724423
PLM,Western Jaguars,2026-06-20,1528.489006225962
PLM,Warriors,2026-06-20,1533.497623595348
PLM,Daikyo Heroes,2026-06-21,1525.4191257064715
PLM,Wazalendo,2026-06-21,1520.024502217191
PLM,Kisumu Youngsters,2026-06-21,1494.303098832982
PLM,Warriors,2026-06-21,1524.9240795783005
PLM,Western Jaguars,2026-06-21,1540.2270324052758
PLM,Sikh Union Nairobi,2026-06-21,1518.2658979931284
PLM,Kenya Police,2026-06-27,1486.3168396373196
PLM,Greensharks,2026-06-27,1436.9689451251868
PLM,Sikh Union Nairobi,2026-06-27,1528.75913632965
PLM,Parklands Sports Club,2026-06-27,1479.17087391043
PLM,Kenya Police,2026-06-28,1494.5988017595475
PLM,Wazalendo,2026-06-28,1511.742540094963
PLM,Warriors,2026-06-28,1530.124619347118
PLM,Greensharks,2026-06-28,1431.7684053563694
PLM,Greensharks,2026-07-04,1424.6665484274085
PLM,Wazalendo,2026-07-04,1518.8443970239239
PLM,USIU – A,2026-07-04,1472.7314322572229
PLM,Daikyo Heroes,2026-07-04,1516.5740597064416
PLM,Greensharks,2026-07-05,1412.0536138076081
PLM,USIU – A,2026-07-05,1485.3443668770233
PLM,Warriors,2026-07-05,1546.3973617437068
PLM,Daikyo Heroes,2026-07-05,1500.3013173098527
PLM,Wazalendo,2026-07-05,1509.096798591529
PLM,Parklands Sports Club,2026-07-05,1488.9184723428248
PLW,Blazers Hockey Club,2026-05-23,1511.674033176122
PLW,Kenyatta University Ladies,2026-05-23,1488.325966823878
PLW,Strathmore University Ladies,2026-05-23,1498.7952155219152
PLW,USIU – A Ladies,2026-05-23,1501.2047844780848
PLW,UON Ladies,2026-05-23,1490.9904742335796
PLW,Amira Sailors Hockey Club,2026-05-23,1509.0095257664204
PLW,Amira Sailors Hockey Club,2026-05-24,1491.093523919489
PLW,Blazers Hockey Club,2026-05-24,1529.5900350230536
PLW,Kenyatta University Ladies,2026-05-24,1487.5215247687142
PLW,Sliders Hockey Club,2026-05-24,1500.8044420551637
PLW,Lakers Hockey Club,2026-05-24,1498.7952155219152
PLW,Kisumu Queens,2026-05-24,1501.2047844780848
PLW,Strathmore University Ladies,2026-05-24,1489.6360451733026
PLW,UON Ladies,2026-05-24,1500.1496445821922
PLW,USIU – A Ladies,2026-05-24,1512.8280220614217
PLW,JKUAT Ladies,2026-05-24,1488.376762416663
PLW,Amira Sailors Hockey Club,2026-06-01,1490.2216092532105
PLW,Sliders Hockey Club,2026-06-01,1501.676356721442
PLW,Strathmore University Ladies,2026-06-01,1476.669860180729
PLW,Blazers Hockey Club,2026-06-01,1542.556220015627
PLW,USIU – A Ladies,2026-06-01,1511.191529130628
PLW,UON Ladies,2026-06-01,1501.786137512986
PLW,Blazers Hockey Club,2026-06-06,1555.179840720482
PLW,Sliders Hockey Club,2026-06-06,1489.0527360165872
PLW,Kisumu Queens,2026-06-06,1500.3423467714535
PLW,USIU – A Ladies,2026-06-06,1512.0539668372592
PLW,Lakers Hockey Club,2026-06-06,1496.839765142372
PLW,Strathmore University Ladies,2026-06-06,1478.6253105602723
PLW,Kisumu Queens,2026-06-07,1498.4006273704404
PLW,Strathmore University Ladies,2026-06-07,1480.5670299612855
PLW,Lakers Hockey Club,2026-06-07,1488.1271863186753
PLW,USIU – A Ladies,2026-06-07,1520.766545660956
PLW,UON Ladies,2026-06-07,1502.4208406471496
PLW,Blazers Hockey Club,2026-06-07,1554.5451375863183
PLW,Sliders Hockey Club,2026-06-20,1475.764547555467
PLW,USIU – A Ladies,2026-06-20,1534.054734122076
PLW,Strathmore University Ladies,2026-06-20,1479.6931797161753
PLW,Amira Sailors Hockey Club,2026-06-20,1491.0954594983207
PLW,UON Ladies,2026-06-20,1493.1387925547233
PLW,Lakers Hockey Club,2026-06-20,1497.4092344111016
PLW,Sliders Hockey Club,2026-06-21,1451.6627777467347
PLW,Lakers Hockey Club,2026-06-21,1521.511004219834
PLW,USIU – A Ladies,2026-06-21,1533.5538815506486
PLW,Blazers Hockey Club,2026-06-21,1555.0459901577458
PLW,Kisumu Queens,2026-06-27,1496.9466373985085
PLW,Amira Sailors Hockey Club,2026-06-27,1492.5494494702525
PLW,Strathmore University Ladies,2026-06-27,1486.3282137205144
PLW,Sliders Hockey Club,2026-06-27,1445.0277437423956
PLW,Lakers Hockey Club,2026-06-28,1528.1223545779726
PLW,Amira Sailors Hockey Club,2026-06-28,1485.9380991121138
PLW,Sliders Hockey Club,2026-06-28,1453.6081102038943
PLW,UON Ladies,2026-06-28,1484.5584260932246
PLW,Blazers Hockey Club,2026-07-04,1560.93745811914
PLW,Kisumu Queens,2026-07-04,1491.0551694371143
PLW,USIU – A Ladies,2026-07-04,1523.666024600017
PLW,Amira Sailors Hockey Club,2026-07-04,1495.8259560627455
PLW,Sliders Hockey Club,2026-07-05,1445.3581032609516
PLW,Kisumu Queens,2026-07-05,1499.305176380057
SLM,Parkroad Badgers,2026-06-06,1490.9904742335796
SLM,Parkroad Tigers,2026-06-06,1509.0095257664204
SLM,UON Men,2026-06-06,1490.9904742335796
SLM,KCA University,2026-06-06,1509.0095257664204
SLM,Parkroad Badgers,2026-06-07,1477.2692110524715
SLM,KCA University,2026-06-07,1522.7307889475285
SLM,UON Men,2026-06-07,1498.8414336379349
SLM,Parkroad Tigers,2026-06-07,1501.1585663620651
SLM,Impala,2026-06-13,1498.7952155219152
SLM,Wazalendo Masters,2026-06-13,1501.2047844780848
SLM,Strathmore University,2026-06-13,1498.7556168133842
SLM,UON Men,2026-06-13,1500.0858168245506
SLM,Impala,2026-06-14,1506.1951017178867
SLM,UON Men,2026-06-14,1492.6859306285792
SLM,Parkroad Tigers,2026-06-14,1480.1316366782844
SLM,Strathmore University,2026-06-14,1519.782546497165
SLM,Wazalendo Masters,2026-06-14,1484.029618252392
SLM,KCA University,2026-06-14,1539.9059551732212
SLM,Mvita XI,2026-06-20,1511.008009563362
SLM,Wazalendo Masters,2026-06-20,1473.02160868903
SLM,Parkroad Badgers,2026-06-20,1489.916666341257
SLM,Nakuru Hockey Club,2026-06-20,1487.3525447112145
SLM,Parkroad Tigers,2026-06-20,1458.6844821076509
SLM,KCA University,2026-06-20,1561.3531097438547
SLM,Mvita XI,2026-06-21,1509.6389077801025
SLM,Impala,2026-06-21,1507.5642035011463
SLM,Parkroad Tigers,2026-06-21,1466.8272394853964
SLM,Nakuru Hockey Club,2026-06-21,1479.209787333469
SLM,UON Men,2026-06-21,1474.5602408189334
SLM,Parkroad Badgers,2026-06-21,1508.0423561509028
SLM,KCA University,2026-06-27,1551.3939689784631
SLM,Mvita XI,2026-06-27,1519.598048545494
SLM,Strathmore University,2026-06-27,1529.5562937310624
SLM,Wazalendo Masters,2026-06-27,1463.2478614551326
SLM,Nakuru Hockey Club,2026-07-04,1470.6075835254176
SLM,GHF Blue Pirates,2026-07-04,1508.6022038080514
SLM,Strathmore University,2026-07-04,1527.6053242218059
SLM,Impala,2026-07-04,1509.5151730104028
SLM,Wazalendo Masters,2026-07-04,1454.4585156702435
SLM,UON Men,2026-07-04,1483.3495866038224
SLM,KCA University,2026-07-05,1565.991966904836
SLM,Impala,2026-07-05,1494.9171750840299
SLM,Parkroad Badgers,2026-07-05,1490.7892329506687
SLM,Strathmore University,2026-07-05,1544.85844742204
SLM,Wazalendo Masters,2026-07-05,1442.1083034940089
SLM,GHF Blue Pirates,2026-07-05,1520.952415984286
SLM,Nakuru Hockey Club,2026-07-11,1468.438494040741
SLM,Wazalendo Masters,2026-07-11,1444.2773929786854
SLM,Nakuru Hockey Club,2026-07-12,1468.1442371108499
SLM,Impala,2026-07-12,1495.211432013921
SLM,GHF Blue Pirates,2026-07-18,1506.6312772653173
SLM,Mvita XI,2026-07-18,1533.9191872644628
SLM,Impala,2026-07-18,1502.459561757811
SLM,Parkroad Badgers,2026-07-18,1483.5411032067789
SLM,KCA University,2026-07-18,1573.889641326415
SLM,Nakuru Hockey Club,2026-07-18,1460.246562689271
SLM,Parkroad Tigers,2026-07-18,1473.6024667401434
SLM,Wazalendo Masters,2026-07-18,1437.5021657239383
SLM,Impala,2026-07-19,1501.3975761388974
SLM,GHF Blue Pirates,2026-07-19,1507.6932628842308
SLM,KCA University,2026-07-19,1564.3341748207877
SLM,Strathmore University,2026-07-19,1554.4139139276672
SLM,Mvita XI,2026-07-19,1530.2835646378896
SLM,Nakuru Hockey Club,2026-07-19,1463.8821853158443
SLM,Parkroad Badgers,2026-07-19,1467.9130079848048
SLM,Wazalendo Masters,2026-07-19,1453.1302609459124
SLW,Black Tigresses,2026-06-06,1474.7070634942347
SLW,Twinkle Hockey Club,2026-06-06,1525.2929365057653
SLW,Swans Hockey Club,2026-06-06,1498.7952155219152
SLW,Mombasa Sports Club Ladies,2026-06-06,1501.2047844780848
SLW,Wazalendo Pearls,2026-06-07,1491.4874626431774
SLW,Twinkle Hockey Club,2026-06-07,1533.8054738625879
SLW,Wazalendo Pearls,2026-06-13,1499.0809093210237
SLW,GHF Rift Pirates Ladies,2026-06-13,1492.4065533221537
SLW,Daystar University Ladies,2026-06-14,1485.4894383195865
SLW,GHF Rift Pirates Ladies,2026-06-14,1506.9171150025672
SLW,Lakers Hockey Club – B,2026-06-20,1499.9587426914052
SLW,Twinkle Hockey Club,2026-06-20,1533.8467311711827
SLW,Swans Hockey Club,2026-06-20,1497.6001998988027
SLW,Wazalendo Pearls,2026-06-20,1500.2759249441362
SLW,GHF Rift Pirates Ladies,2026-06-21,1498.4372819616171
