Competition,Team,Elo,EloRank,StrengthOfSchedule
NLM-CZ,Thika Rovers,1525.0,1,1471.2
NLM-CZ,GHF Rift Pirates Men,1522.8,2,1471.2
NLM-CZ,Nyari Hockey Club,1481.0,3,1471.2
NLM-CZ,Dukes of Gloucester,1471.2,4,1509.6
NLM-EZ,Ulinzi Patriots,1535.8,1,1495.7
NLM-EZ,Mombasa West,1513.3,2,1513.3
NLM-EZ,Parklands Sports Club – Legacy,1510.2,3,1498.9
NLM-EZ,UoN Cubs,1509.3,4,1492.3
NLM-EZ,Mombasa Sports Club,1508.8,5,1514.2
NLM-EZ,Gorillas,1508.3,6,1497.8
NLM-EZ,Black Tigers,1503.7,7,1499.6
NLM-EZ,TUK Men,1498.8,8,1506.0
NLM-EZ,Daystar University Men,1462.2,9,1502.8
NLM-EZ,Snippers Hockey Club (Makueni),1449.7,10,1504.9
NLM-SZ,Kisii Falcons,1558.9,1,1480.4
NLM-SZ,Bay Club,1527.6,2,1490.8
NLM-SZ,Gorillas Hockey CLub – Migori,1470.8,3,1509.7
NLM-SZ,Oyugis Hockey Club,1442.7,4,1519.1
NLM-WZ,Kitale Hockey Club,1560.0,1,1488.0
NLM-WZ,Lakers Hockey Club Men,1508.7,2,1501.0
NLM-WZ,Fire Flickers,1494.3,3,1504.6
NLM-WZ,Western Jaguars Dev,1487.4,4,1560.0
NLM-WZ,Nandi Hawks,1477.1,5,1508.9
NLM-WZ,GHF Blue Pirates II,1472.5,6,1510.0
PLM,Western Jaguars,1559.3,1,1486.0
PLM,Warriors,1545.8,2,1494.9
PLM,Sikh Union Nairobi,1529.0,3,1496.2
PLM,Wazalendo,1507.4,4,1503.9
PLM,Parklands Sports Club,1498.1,5,1499.3
PLM,Kenya Police,1495.2,6,1505.1
PLM,Kisumu Youngsters,1490.9,7,1492.2
PLM,Daikyo Heroes,1490.9,8,1503.3
PLM,USIU – A,1485.3,9,1501.6
PLM,Greensharks,1398.0,10,1513.8
PLW,Blazers Hockey Club,1560.9,1,1488.9
PLW,Lakers Hockey Club,1528.1,2,1489.2
PLW,USIU – A Ladies,1523.7,3,1498.6
PLW,Strathmore University Ladies,1507.4,4,1492.6
PLW,Kisumu Queens,1499.3,5,1506.7
PLW,Amira Sailors Hockey Club,1495.8,6,1504.0
PLW,JKUAT Ladies,1488.4,7,1523.7
PLW,Kenyatta University Ladies,1487.5,8,1492.6
PLW,UON Ladies,1484.6,9,1506.7
PLW,Sliders Hockey Club,1424.3,10,1510.5
SLM,KCA University,1564.3,1,1491.0
SLM,Strathmore University,1554.4,2,1490.6
SLM,Mvita XI,1530.3,3,1498.1
SLM,GHF Blue Pirates,1507.7,4,1487.2
SLM,Impala,1501.4,5,1503.1
SLM,UON Men,1483.3,6,1502.5
SLM,Parkroad Tigers,1473.6,7,1497.8
SLM,Parkroad Badgers,1467.9,8,1499.2
SLM,Nakuru Hockey Club,1463.9,9,1499.8
SLM,Wazalendo Masters,1453.1,10,1505.2
SLW,Twinkle Hockey Club,1551.3,1,1498.2
SLW,Wazalendo Pearls,1532.7,2,1496.4
SLW,Lakers Hockey Club – B,1514.4,3,1496.4
SLW,GHF Rift Pirates Ladies,1504.8,4,1507.8
SLW,Swans Hockey Club,1496.8,5,1509.9
SLW,Mombasa Sports Club Ladies,1487.4,6,1512.2
SLW,Black Tigresses,1474.7,7,1551.3
SLW,Gorillas Hockey Club – Ladies,1473.5,8,1503.8
SLW,Daystar University Ladies,1464.3,9,1515.4
