,Competition,Team,FailedToScore,Matches,Rate
0,NLM-CZ,Dukes of Gloucester,1,3,0.33
2,NLM-CZ,Nyari Hockey Club,1,1,1.0
1,NLM-CZ,GHF Rift Pirates Men,0,1,0.0
3,NLM-CZ,Thika Rovers,0,1,0.0
10,NLM-EZ,Snippers Hockey Club (Makueni),4,6,0.67
5,NLM-EZ,Daystar University Men,2,6,0.33
4,NLM-EZ,Black Tigers,1,9,0.11
6,NLM-EZ,Gorillas,1,8,0.12
8,NLM-EZ,Mombasa West,1,5,0.2
12,NLM-EZ,Ulinzi Patriots,1,8,0.12
13,NLM-EZ,UoN Cubs,1,5,0.2
7,NLM-EZ,Mombasa Sports Club,0,5,0.0
9,NLM-EZ,Parklands Sports Club – Legacy,0,8,0.0
11,NLM-EZ,TUK Men,0,2,0.0
15,NLM-SZ,Gorillas Hockey CLub – Migori,2,3,0.67
17,NLM-SZ,Oyugis Hockey Club,2,3,0.67
14,NLM-SZ,Bay Club,0,3,0.0
16,NLM-SZ,Kisii Falcons,0,3,0.0
18,NLM-WZ,Fire Flickers,1,4,0.25
19,NLM-WZ,GHF Blue Pirates II,1,4,0.25
21,NLM-WZ,Lakers Hockey Club Men,1,4,0.25
22,NLM-WZ,Nandi Hawks,1,4,0.25
23,NLM-WZ,Western Jaguars Dev,1,1,1.0
20,NLM-WZ,Kitale Hockey Club,0,5,0.0
25,PLM,Greensharks,6,9,0.67
24,PLM,Daikyo Heroes,2,9,0.22
30,PLM,USIU – A,2,9,0.22
33,PLM,Western Jaguars,2,9,0.22
26,PLM,Kenya Police,1,9,0.11
27,PLM,Kisumu Youngsters,1,9,0.11
31,PLM,Warriors,1,9,0.11
28,PLM,Parklands Sports Club,0,9,0.0
29,PLM,Sikh Union Nairobi,0,9,0.0
32,PLM,Wazalendo,0,9,0.0
40,PLW,Sliders Hockey Club,5,7,0.71
34,PLW,Amira Sailors Hockey Club,4,7,0.57
38,PLW,Kisumu Queens,4,5,0.8
42,PLW,UON Ladies,3,6,0.5
43,PLW,USIU – A Ladies,3,8,0.38
39,PLW,Lakers Hockey Club,2,6,0.33
41,PLW,Strathmore University Ladies,2,7,0.29
35,PLW,Blazers Hockey Club,1,7,0.14
36,PLW,JKUAT Ladies,1,1,1.0
37,PLW,Kenyatta University Ladies,1,2,0.5
53,SLM,Wazalendo Masters,5,9,0.56
48,SLM,Nakuru Hockey Club,2,7,0.29
44,SLM,GHF Blue Pirates,1,4,0.25
45,SLM,Impala,1,8,0.12
50,SLM,Parkroad Tigers,1,6,0.17
52,SLM,UON Men,1,6,0.17
46,SLM,KCA University,0,8,0.0
47,SLM,Mvita XI,0,5,0.0
49,SLM,Parkroad Badgers,0,7,0.0
51,SLM,Strathmore University,0,6,0.0
55,SLW,Daystar University Ladies,4,5,0.8
54,SLW,Black Tigresses,1,1,1.0
56,SLW,GHF Rift Pirates Ladies,1,6,0.17
57,SLW,Gorillas Hockey Club – Ladies,1,3,0.33
58,SLW,Lakers Hockey Club – B,1,6,0.17
59,SLW,Mombasa Sports Club Ladies,1,4,0.25
60,SLW,Swans Hockey Club,1,4,0.25
62,SLW,Wazalendo Pearls,1,6,0.17
61,SLW,Twinkle Hockey Club,0,5,0.0
