Competition,Team,Form
NLM-CZ,GHF Rift Pirates Men,W
NLM-CZ,Thika Rovers,W
NLM-CZ,Dukes of Gloucester,WLL
NLM-CZ,Nyari Hockey Club,L
NLM-EZ,Ulinzi Patriots,WDDWW
NLM-EZ,Gorillas,DDLWW
NLM-EZ,Black Tigers,DWLWL
NLM-EZ,Parklands Sports Club – Legacy,WWDDL
NLM-EZ,UoN Cubs,LWWLW
NLM-EZ,Mombasa West,LDWWD
NLM-EZ,Mombasa Sports Club,WDDDD
NLM-EZ,TUK Men,LW
NLM-EZ,Daystar University Men,LLLWL
NLM-EZ,Snippers Hockey Club (Makueni),LLLLL
NLM-SZ,Kisii Falcons,WWW
NLM-SZ,Bay Club,LWW
NLM-SZ,Gorillas Hockey CLub – Migori,LWL
NLM-SZ,Oyugis Hockey Club,LLL
NLM-WZ,Kitale Hockey Club,WWWWW
NLM-WZ,Lakers Hockey Club Men,DWWL
NLM-WZ,Fire Flickers,DLWL
NLM-WZ,Nandi Hawks,WDLL
NLM-WZ,GHF Blue Pirates II,LLLD
NLM-WZ,Western Jaguars Dev,L
PLM,Warriors,WDLWW
PLM,Western Jaguars,LDWDW
PLM,Sikh Union Nairobi,DLDLW
PLM,Daikyo Heroes,LWWLL
PLM,Wazalendo,DLLWL
PLM,Parklands Sports Club,WLLLW
PLM,Kenya Police,DDLWW
PLM,Kisumu Youngsters,WLDDW
PLM,USIU – A,LLWWW
PLM,Greensharks,LLLLL
PLW,Blazers Hockey Club,WWDDW
PLW,USIU – A Ladies,DWWDL
PLW,Lakers Hockey Club,DLWWW
PLW,Amira Sailors Hockey Club,DDDLW
PLW,Kisumu Queens,DDDLW
PLW,Strathmore University Ladies,LDDDW
PLW,UON Ladies,WDDLL
PLW,Sliders Hockey Club,LLLWL
PLW,Kenyatta University Ladies,LD
PLW,JKUAT Ladies,L
SLM,KCA University,WLWWL
SLM,Strathmore University,WWDWW
SLM,Mvita XI,WDWWD
SLM,Impala,DLDWD
SLM,Parkroad Tigers,LLLWW
SLM,GHF Blue Pirates,WWLD
SLM,UON Men,WDLLW
SLM,Parkroad Badgers,WWLLL
SLM,Wazalendo Masters,LLDLW
SLM,Nakuru Hockey Club,LDDLD
SLW,Twinkle Hockey Club,WWDWW
SLW,Wazalendo Pearls,WDWWW
SLW,Lakers Hockey Club – B,LWWWD
SLW,GHF Rift Pirates Ladies,WLWWL
SLW,Swans Hockey Club,DDLW
SLW,Daystar University Ladies,LLLWL
SLW,Mombasa Sports Club Ladies,DLLD
SLW,Gorillas Hockey Club – Ladies,LLL
SLW,Black Tigresses,L
