Competition,Team,Goals,Played,GoalsPerMatch,GoalStd,Consistency
NLM-CZ,Dukes of Gloucester,6.0,3,2.0,2.160246899469287,Inconsistent
NLM-CZ,GHF Rift Pirates Men,9.0,1,9.0,0.0,Highly Consistent
NLM-CZ,Nyari Hockey Club,0.0,1,0.0,0.0,Highly Consistent
NLM-CZ,Thika Rovers,8.0,1,8.0,0.0,Highly Consistent
NLM-EZ,Black Tigers,13.0,9,1.44,1.0657403385139377,Moderately Consistent
NLM-EZ,Daystar University Men,6.0,6,1.0,0.816496580927726,Moderately Consistent
NLM-EZ,Gorillas,10.0,8,1.25,0.82915619758885,Moderately Consistent
NLM-EZ,Mombasa Sports Club,7.0,5,1.4,0.4898979485566356,Highly Consistent
NLM-EZ,Mombasa West,8.0,5,1.6,1.019803902718557,Moderately Consistent
NLM-EZ,Parklands Sports Club – Legacy,11.0,8,1.38,0.4841229182759271,Highly Consistent
NLM-EZ,Snippers Hockey Club (Makueni),2.0,6,0.33,0.4714045207910317,Highly Consistent
NLM-EZ,TUK Men,4.0,2,2.0,1.0,Moderately Consistent
NLM-EZ,Ulinzi Patriots,14.0,8,1.75,0.82915619758885,Moderately Consistent
NLM-EZ,UoN Cubs,6.0,5,1.2,0.9797958971132712,Moderately Consistent
NLM-SZ,Bay Club,11.0,3,3.67,3.091206165165235,Inconsistent
NLM-SZ,Gorillas Hockey CLub – Migori,3.0,3,1.0,1.4142135623730951,Inconsistent
NLM-SZ,Kisii Falcons,17.0,3,5.67,3.0912061651652345,Inconsistent
NLM-SZ,Oyugis Hockey Club,1.0,3,0.33,0.4714045207910317,Highly Consistent
NLM-WZ,Fire Flickers,5.0,4,1.25,1.0897247358851685,Moderately Consistent
NLM-WZ,GHF Blue Pirates II,5.0,4,1.25,0.82915619758885,Moderately Consistent
NLM-WZ,Kitale Hockey Club,15.0,5,3.0,2.0976176963403033,Inconsistent
NLM-WZ,Lakers Hockey Club Men,4.0,4,1.0,0.7071067811865476,Moderately Consistent
NLM-WZ,Nandi Hawks,4.0,4,1.0,0.7071067811865476,Moderately Consistent
NLM-WZ,Western Jaguars Dev,0.0,1,0.0,0.0,Highly Consistent
PLM,Daikyo Heroes,18.0,11,1.64,1.2984415324623364,Inconsistent
PLM,Greensharks,5.0,11,0.45,0.6555547773570889,Moderately Consistent
PLM,Kenya Police,16.0,10,1.6,0.8,Moderately Consistent
PLM,Kisumu Youngsters,13.0,11,1.18,0.8331955809010618,Moderately Consistent
PLM,Parklands Sports Club,14.0,10,1.4,0.48989794855663565,Highly Consistent
PLM,Sikh Union Nairobi,21.0,10,2.1,1.57797338380595,Inconsistent
PLM,USIU – A,12.0,9,1.33,0.816496580927726,Moderately Consistent
PLM,Warriors,24.0,10,2.4,1.2,Moderately Consistent
PLM,Wazalendo,19.0,11,1.73,0.8624393618641034,Moderately Consistent
PLM,Western Jaguars,26.0,11,2.36,1.2264306875665492,Inconsistent
PLW,Amira Sailors Hockey Club,3.0,7,0.43,0.49487165930539345,Highly Consistent
PLW,Blazers Hockey Club,14.0,7,2.0,1.0690449676496976,Moderately Consistent
PLW,JKUAT Ladies,0.0,1,0.0,0.0,Highly Consistent
PLW,Kenyatta University Ladies,1.0,2,0.5,0.5,Highly Consistent
PLW,Kisumu Queens,3.0,6,0.5,0.7637626158259734,Moderately Consistent
PLW,Lakers Hockey Club,11.0,6,1.83,2.034425935955617,Inconsistent
PLW,Sliders Hockey Club,2.0,9,0.22,0.41573970964154905,Highly Consistent
PLW,Strathmore University Ladies,11.0,8,1.38,1.4947825928876748,Inconsistent
PLW,UON Ladies,4.0,6,0.67,0.7453559924999299,Moderately Consistent
PLW,USIU – A Ladies,8.0,8,1.0,0.8660254037844386,Moderately Consistent
SLM,GHF Blue Pirates,4.0,4,1.0,0.7071067811865476,Moderately Consistent
SLM,Impala,17.0,8,2.12,1.165922381636102,Moderately Consistent
SLM,KCA University,25.0,8,3.12,1.964529205687714,Inconsistent
SLM,Mvita XI,12.0,5,2.4,0.8000000000000002,Moderately Consistent
SLM,Nakuru Hockey Club,8.0,7,1.14,0.8329931278350429,Moderately Consistent
SLM,Parkroad Badgers,13.0,7,1.86,1.124858267715973,Moderately Consistent
SLM,Parkroad Tigers,9.0,6,1.5,0.9574271077563381,Moderately Consistent
SLM,Strathmore University,16.0,6,2.67,1.1055415967851334,Moderately Consistent
SLM,UON Men,7.0,6,1.17,0.8975274678557507,Moderately Consistent
SLM,Wazalendo Masters,9.0,9,1.0,1.247219128924647,Inconsistent
SLW,Black Tigresses,0.0,1,0.0,0.0,Highly Consistent
SLW,Daystar University Ladies,3.0,5,0.6,1.2000000000000002,Inconsistent
SLW,GHF Rift Pirates Ladies,8.0,6,1.33,0.74535599249993,Moderately Consistent
SLW,Gorillas Hockey Club – Ladies,2.0,3,0.67,0.4714045207910317,Highly Consistent
SLW,Lakers Hockey Club – B,7.0,6,1.17,0.8975274678557507,Moderately Consistent
SLW,Mombasa Sports Club Ladies,3.0,4,0.75,0.4330127018922193,Highly Consistent
SLW,Swans Hockey Club,4.0,4,1.0,0.7071067811865476,Moderately Consistent
SLW,Twinkle Hockey Club,13.0,5,2.6,1.8547236990991407,Inconsistent
SLW,Wazalendo Pearls,10.0,6,1.67,0.9428090415820634,Moderately Consistent
