Competition,Player,Goals
PLM,Mathias Gularire,6
PLM,Job Wandera,4
PLM,Malack Masese,4
PLM,Robert Masibo,4
PLM,Calvins Kanu Omondi,3
PLM,Cliff Omari,3
PLM,Eudgas Lirhu,3
PLM,Sheldone Kimtai,3
PLM,Bonny Ndombi,2
PLM,Danstone Wabwire,2
PLM,Emmanuel Wiswa,2
PLM,Esbon Ombui,2
PLM,Farhan Khan,2
PLM,Festus Onyango,2
PLM,Godfrey Fedha,2
PLM,Kabir Bhamra,2
PLM,Lawrence Makhatsa,2
PLM,Mathew Momanyi,2
PLM,Michael Mboya,2
PLM,William Kirwa,2
PLM,Alex Taiswa,1
PLM,Austin Mutua,1
PLM,Bethuel Masambu,1
PLM,Borris Lukurito,1
PLM,Brian Saina,1
PLM,Charles Otieno,1
PLM,Daniel Solomon Obunyasi,1
PLM,Duncan Kachisa,1
PLM,Edson Ndombi,1
PLM,Erick Kidwaro,1
PLM,Fofana Mohammed,1
PLM,Francis Kariuki,1
PLM,Frankline Wakhongo,1
PLM,George Mutira,1
PLM,Isaac Nandukele,1
PLM,Ivan Ludiali,1
PLM,Joseph Kasua,1
PLM,Kennedy Sibweche,1
PLM,Kennedy Wanyonyi,1
PLM,Ketane Okoth,1
PLM,Khizar Akhtar,1
PLM,Kit Garner,1
PLM,Lawrence Okongo,1
PLM,Moses Omamu,1
PLM,Paul Omariba,1
PLM,Robinson Omutekete,1
PLM,Valentine Keya,1
PLM,Wayne Kipkorir Chongwony,1
PLM,Willis Okeyo,1
PLW,Audrey Omaido,2
PLW,Caroline Guchu,2
PLW,Grace Bwire,2
PLW,Joan Ajao,2
PLW,Lynn Mwangi,2
PLW,Amanda Ijai,1
PLW,Clementine Sims,1
PLW,Grace Makoha,1
PLW,Jochebed Cherono,1
PLW,Margaret Mawombe,1
PLW,Maurine Owiti,1
PLW,Mitchell Akoth,1
PLW,Nichole Joy,1
PLW,Noela Kimathi,1
PLW,Vivian Onyango,1
PLW,Yvette Kanyadong,1
