Competition,TeamA,TeamB,Played,TeamA_Wins,Draws,TeamB_Wins
PLW,Amira Sailors Hockey Club,Blazers Hockey Club,1,0,0,1
PLW,Amira Sailors Hockey Club,Kisumu Queens,1,0,1,0
PLW,Amira Sailors Hockey Club,Lakers Hockey Club,1,0,0,1
PLW,Amira Sailors Hockey Club,Sliders Hockey Club,1,0,1,0
PLW,Amira Sailors Hockey Club,Strathmore University Ladies,1,0,1,0
PLW,Amira Sailors Hockey Club,UON Ladies,1,1,0,0
PLW,Amira Sailors Hockey Club,USIU – A Ladies,1,1,0,0
PLW,Blazers Hockey Club,Kenyatta University Ladies,1,1,0,0
PLW,Blazers Hockey Club,Kisumu Queens,1,1,0,0
PLW,Blazers Hockey Club,Sliders Hockey Club,1,1,0,0
PLW,Blazers Hockey Club,Strathmore University Ladies,1,1,0,0
PLW,Blazers Hockey Club,UON Ladies,1,0,1,0
PLW,Blazers Hockey Club,USIU – A Ladies,1,0,1,0
PLW,JKUAT Ladies,USIU – A Ladies,1,0,0,1
PLW,Kenyatta University Ladies,Sliders Hockey Club,1,0,1,0
PLW,Kisumu Queens,Lakers Hockey Club,1,0,1,0
PLW,Kisumu Queens,Sliders Hockey Club,1,1,0,0
PLW,Kisumu Queens,Strathmore University Ladies,1,0,1,0
PLW,Kisumu Queens,USIU – A Ladies,1,0,1,0
PLW,Lakers Hockey Club,Sliders Hockey Club,1,1,0,0
PLW,Lakers Hockey Club,Strathmore University Ladies,1,0,1,0
PLW,Lakers Hockey Club,UON Ladies,1,1,0,0
PLW,Lakers Hockey Club,USIU – A Ladies,1,0,0,1
PLW,Sliders Hockey Club,Strathmore University Ladies,2,0,0,2
PLW,Sliders Hockey Club,UON Ladies,1,1,0,0
PLW,Sliders Hockey Club,USIU – A Ladies,1,0,0,1
PLW,Strathmore University Ladies,UON Ladies,1,0,0,1
PLW,Strathmore University Ladies,USIU – A Ladies,1,0,1,0
PLW,UON Ladies,USIU – A Ladies,1,0,1,0
PLM,Daikyo Heroes,Greensharks,1,1,0,0
PLM,Daikyo Heroes,Kenya Police,1,1,0,0
PLM,Daikyo Heroes,Kisumu Youngsters,1,1,0,0
PLM,Daikyo Heroes,Parklands Sports Club,2,1,0,1
PLM,Daikyo Heroes,Sikh Union Nairobi,2,0,1,1
PLM,Daikyo Heroes,USIU – A,1,0,0,1
PLM,Daikyo Heroes,Warriors,1,0,0,1
PLM,Daikyo Heroes,Wazalendo,1,1,0,0
PLM,Daikyo Heroes,Western Jaguars,1,0,0,1
PLM,Greensharks,Kenya Police,1,0,0,1
PLM,Greensharks,Kisumu Youngsters,2,0,0,2
PLM,Greensharks,Parklands Sports Club,1,0,0,1
