Competition,Team,Venue,Played,Wins,Draws,Losses,GF,GA,Points
NLM-CZ,Dukes of Gloucester,Away,2,0,0,2,1,17,0
NLM-CZ,Dukes of Gloucester,Home,1,1,0,0,5,0,3
NLM-CZ,GHF Rift Pirates Men,Home,1,1,0,0,9,1,3
NLM-CZ,Nyari Hockey Club,Away,1,0,0,1,0,5,0
NLM-CZ,Thika Rovers,Home,1,1,0,0,8,0,3
NLM-EZ,Black Tigers,Away,5,1,1,3,6,9,4
NLM-EZ,Black Tigers,Home,4,3,0,1,7,3,9
NLM-EZ,Daystar University Men,Away,3,1,0,2,3,6,3
NLM-EZ,Daystar University Men,Home,3,0,0,3,3,6,0
NLM-EZ,Gorillas,Away,3,3,0,0,6,3,9
NLM-EZ,Gorillas,Home,5,1,2,2,4,6,5
NLM-EZ,Mombasa Sports Club,Away,3,1,2,0,5,4,5
NLM-EZ,Mombasa Sports Club,Home,2,0,2,0,2,2,2
NLM-EZ,Mombasa West,Away,2,1,1,0,2,1,4
NLM-EZ,Mombasa West,Home,3,1,1,1,6,5,4
NLM-EZ,Parklands Sports Club – Legacy,Away,6,2,3,1,8,7,9
NLM-EZ,Parklands Sports Club – Legacy,Home,2,1,0,1,3,3,3
NLM-EZ,Snippers Hockey Club (Makueni),Away,3,0,0,3,0,4,0
NLM-EZ,Snippers Hockey Club (Makueni),Home,3,0,0,3,2,5,0
NLM-EZ,TUK Men,Home,2,1,0,1,4,4,3
NLM-EZ,Ulinzi Patriots,Away,3,3,0,0,6,2,9
NLM-EZ,Ulinzi Patriots,Home,5,2,2,1,8,6,8
NLM-EZ,UoN Cubs,Away,3,1,0,2,4,5,3
NLM-EZ,UoN Cubs,Home,2,2,0,0,2,0,6
NLM-SZ,Bay Club,Away,2,2,0,0,10,0,6
NLM-SZ,Bay Club,Home,1,0,0,1,1,3,0
NLM-SZ,Gorillas Hockey CLub – Migori,Away,2,1,0,1,3,5,3
NLM-SZ,Gorillas Hockey CLub – Migori,Home,1,0,0,1,0,8,0
NLM-SZ,Kisii Falcons,Away,2,2,0,0,13,1,6
NLM-SZ,Kisii Falcons,Home,1,1,0,0,4,0,3
NLM-SZ,Oyugis Hockey Club,Home,3,0,0,3,1,15,0
NLM-WZ,Fire Flickers,Away,1,0,0,1,0,1,0
NLM-WZ,Fire Flickers,Home,3,1,1,1,5,4,4
NLM-WZ,GHF Blue Pirates II,Away,2,0,0,2,1,4,0
NLM-WZ,GHF Blue Pirates II,Home,2,0,1,1,4,5,1
NLM-WZ,Kitale Hockey Club,Away,4,4,0,0,8,3,12
NLM-WZ,Kitale Hockey Club,Home,1,1,0,0,7,0,3
NLM-WZ,Lakers Hockey Club Men,Away,2,1,1,0,3,2,4
NLM-WZ,Lakers Hockey Club Men,Home,2,1,0,1,1,1,3
NLM-WZ,Nandi Hawks,Away,2,0,1,1,2,9,1
NLM-WZ,Nandi Hawks,Home,2,1,0,1,2,2,3
NLM-WZ,Western Jaguars Dev,Home,1,0,0,1,0,2,0
PLM,Daikyo Heroes,Away,6,2,0,4,8,15,6
PLM,Daikyo Heroes,Home,5,3,1,1,10,6,10
PLM,Greensharks,Away,6,0,0,6,4,13,0
PLM,Greensharks,Home,5,0,0,5,1,10,0
PLM,Kenya Police,Away,3,0,2,1,4,6,2
PLM,Kenya Police,Home,7,2,4,1,12,11,10
PLM,Kisumu Youngsters,Away,4,1,1,2,6,8,4
PLM,Kisumu Youngsters,Home,7,3,1,3,7,6,10
PLM,Parklands Sports Club,Away,7,5,0,2,10,7,15
PLM,Parklands Sports Club,Home,3,0,1,2,4,9,1
PLM,Sikh Union Nairobi,Away,6,2,3,1,10,10,9
PLM,Sikh Union Nairobi,Home,4,3,0,1,11,6,9
PLM,USIU – A,Away,5,1,1,3,7,10,4
PLM,USIU – A,Home,4,2,0,2,5,5,6
PLM,Warriors,Away,5,2,2,1,11,8,8
PLM,Warriors,Home,5,3,2,0,13,7,11
PLM,Wazalendo,Away,7,3,1,3,11,12,10
PLM,Wazalendo,Home,4,2,1,1,8,6,7
PLM,Western Jaguars,Away,3,1,1,1,5,3,4
PLM,Western Jaguars,Home,8,6,1,1,21,10,19
PLW,Amira Sailors Hockey Club,Away,5,2,2,1,3,2,8
PLW,Amira Sailors Hockey Club,Home,2,0,1,1,0,3,1
PLW,Blazers Hockey Club,Away,4,2,2,0,8,3,8
PLW,Blazers Hockey Club,Home,3,3,0,0,6,0,9
PLW,JKUAT Ladies,Away,1,0,0,1,0,2,0
