Competition,Team,Played_Home,Wins_Home,Draws_Home,Losses_Home,GF_Home,GA_Home,Played_Away,Wins_Away,Draws_Away,Losses_Away,GF_Away,GA_Away,Played_Total,Wins_Total,Draws_Total,Losses_Total,GF_Total,GA_Total
NLM-CZ,Dukes of Gloucester,1,1,0,0,5,0,2,0,0,2,1,17,3,1,0,2,6,17
NLM-CZ,GHF Rift Pirates Men,1,1,0,0,9,1,0,0,0,0,0,0,1,1,0,0,9,1
NLM-CZ,Thika Rovers,1,1,0,0,8,0,0,0,0,0,0,0,1,1,0,0,8,0
NLM-CZ,Nyari Hockey Club,0,0,0,0,0,0,1,0,0,1,0,5,1,0,0,1,0,5
NLM-EZ,Ulinzi Patriots,5,2,2,1,8,6,3,3,0,0,6,2,8,5,2,1,14,8
NLM-EZ,Black Tigers,4,3,0,1,7,3,5,1,1,3,6,9,9,4,1,4,13,12
NLM-EZ,Gorillas,5,1,2,2,4,6,3,3,0,0,6,3,8,4,2,2,10,9
NLM-EZ,Parklands Sports Club – Legacy,2,1,0,1,3,3,6,2,3,1,8,7,8,3,3,2,11,10
NLM-EZ,UoN Cubs,2,2,0,0,2,0,3,1,0,2,4,5,5,3,0,2,6,5
NLM-EZ,Mombasa West,3,1,1,1,6,5,2,1,1,0,2,1,5,2,2,1,8,6
NLM-EZ,Daystar University Men,3,0,0,3,3,6,3,1,0,2,3,6,6,1,0,5,6,12
NLM-EZ,Mombasa Sports Club,2,0,2,0,2,2,3,1,2,0,5,4,5,1,4,0,7,6
NLM-EZ,TUK Men,2,1,0,1,4,4,0,0,0,0,0,0,2,1,0,1,4,4
NLM-EZ,Snippers Hockey Club (Makueni),3,0,0,3,2,5,3,0,0,3,0,4,6,0,0,6,2,9
NLM-SZ,Kisii Falcons,1,1,0,0,4,0,2,2,0,0,13,1,3,3,0,0,17,1
NLM-SZ,Bay Club,1,0,0,1,1,3,2,2,0,0,10,0,3,2,0,1,11,3
NLM-SZ,Gorillas Hockey CLub – Migori,1,0,0,1,0,8,2,1,0,1,3,5,3,1,0,2,3,13
NLM-SZ,Oyugis Hockey Club,3,0,0,3,1,15,0,0,0,0,0,0,3,0,0,3,1,15
NLM-WZ,Kitale Hockey Club,1,1,0,0,7,0,4,4,0,0,8,3,5,5,0,0,15,3
NLM-WZ,Lakers Hockey Club Men,2,1,0,1,1,1,2,1,1,0,3,2,4,2,1,1,4,3
NLM-WZ,Fire Flickers,3,1,1,1,5,4,1,0,0,1,0,1,4,1,1,2,5,5
NLM-WZ,Nandi Hawks,2,1,0,1,2,2,2,0,1,1,2,9,4,1,1,2,4,11
NLM-WZ,GHF Blue Pirates II,2,0,1,1,4,5,2,0,0,2,1,4,4,0,1,3,5,9
NLM-WZ,Western Jaguars Dev,1,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,2
PLM,Daikyo Heroes,3,3,0,0,9,4,6,2,0,4,8,15,9,5,0,4,17,19
PLM,Sikh Union Nairobi,4,3,0,1,11,6,5,2,2,1,9,9,9,5,2,2,20,15
PLM,Warriors,5,3,2,0,13,7,4,2,1,1,9,6,9,5,3,1,22,13
PLM,Western Jaguars,6,4,1,1,15,9,3,1,1,1,5,3,9,5,2,2,20,12
PLM,Parklands Sports Club,3,0,1,2,4,9,6,4,0,2,9,7,9,4,1,4,13,16
PLM,Wazalendo,4,2,1,1,8,6,5,2,1,2,9,9,9,4,2,3,17,15
PLM,Kisumu Youngsters,5,2,1,2,5,4,4,1,1,2,6,8,9,3,2,4,11,12
PLM,USIU – A,4,2,0,2,5,5,5,1,1,3,7,10,9,3,1,5,12,15
PLM,Kenya Police,6,2,3,1,10,9,3,0,2,1,4,6,9,2,5,2,14,15
