Competition,Team,HomePlayed,HomeGF,HomeGA,AwayPlayed,AwayGF,AwayGA,HomeGFPerMatch,AwayGFPerMatch,HomeAdvantageIndex
NLM-CZ,Dukes of Gloucester,1.0,5.0,0.0,2.0,1.0,17.0,5.0,0.5,4.5
NLM-CZ,GHF Rift Pirates Men,1.0,9.0,1.0,0.0,0.0,0.0,9.0,,9.0
NLM-CZ,Nyari Hockey Club,0.0,0.0,0.0,1.0,0.0,5.0,,0.0,0.0
NLM-CZ,Thika Rovers,1.0,8.0,0.0,0.0,0.0,0.0,8.0,,8.0
NLM-EZ,Black Tigers,4.0,7.0,3.0,5.0,6.0,9.0,1.75,1.2,0.55
NLM-EZ,Daystar University Men,3.0,3.0,6.0,3.0,3.0,6.0,1.0,1.0,0.0
NLM-EZ,Gorillas,5.0,4.0,6.0,3.0,6.0,3.0,0.8,2.0,-1.2
NLM-EZ,Mombasa Sports Club,2.0,2.0,2.0,3.0,5.0,4.0,1.0,1.67,-0.67
NLM-EZ,Mombasa West,3.0,6.0,5.0,2.0,2.0,1.0,2.0,1.0,1.0
NLM-EZ,Parklands Sports Club – Legacy,2.0,3.0,3.0,6.0,8.0,7.0,1.5,1.33,0.17
NLM-EZ,Snippers Hockey Club (Makueni),3.0,2.0,5.0,3.0,0.0,4.0,0.67,0.0,0.67
NLM-EZ,TUK Men,2.0,4.0,4.0,0.0,0.0,0.0,2.0,,2.0
NLM-EZ,Ulinzi Patriots,5.0,8.0,6.0,3.0,6.0,2.0,1.6,2.0,-0.4
NLM-EZ,UoN Cubs,2.0,2.0,0.0,3.0,4.0,5.0,1.0,1.33,-0.33
NLM-SZ,Bay Club,1.0,1.0,3.0,2.0,10.0,0.0,1.0,5.0,-4.0
NLM-SZ,Gorillas Hockey CLub – Migori,1.0,0.0,8.0,2.0,3.0,5.0,0.0,1.5,-1.5
NLM-SZ,Kisii Falcons,1.0,4.0,0.0,2.0,13.0,1.0,4.0,6.5,-2.5
NLM-SZ,Oyugis Hockey Club,3.0,1.0,15.0,0.0,0.0,0.0,0.33,,0.33
NLM-WZ,Fire Flickers,3.0,5.0,4.0,1.0,0.0,1.0,1.67,0.0,1.67
NLM-WZ,GHF Blue Pirates II,2.0,4.0,5.0,2.0,1.0,4.0,2.0,0.5,1.5
NLM-WZ,Kitale Hockey Club,1.0,7.0,0.0,4.0,8.0,3.0,7.0,2.0,5.0
NLM-WZ,Lakers Hockey Club Men,2.0,1.0,1.0,2.0,3.0,2.0,0.5,1.5,-1.0
NLM-WZ,Nandi Hawks,2.0,2.0,2.0,2.0,2.0,9.0,1.0,1.0,0.0
NLM-WZ,Western Jaguars Dev,1.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0
PLM,Daikyo Heroes,5.0,10.0,6.0,6.0,8.0,15.0,2.0,1.33,0.67
PLM,Greensharks,5.0,1.0,10.0,6.0,4.0,13.0,0.2,0.67,-0.47
PLM,Kenya Police,7.0,12.0,11.0,3.0,4.0,6.0,1.71,1.33,0.38
PLM,Kisumu Youngsters,7.0,7.0,6.0,4.0,6.0,8.0,1.0,1.5,-0.5
PLM,Parklands Sports Club,3.0,4.0,9.0,7.0,10.0,7.0,1.33,1.43,-0.1
PLM,Sikh Union Nairobi,4.0,11.0,6.0,6.0,10.0,10.0,2.75,1.67,1.08
