Position,Competition,Team,Played,Wins,Draws,Losses,GF,GA,GD,Points,GoalsPerMatch,GoalsAgainstPerMatch,AverageGD,PPG,ConcededPerMatch,GDPerMatch,AttackStrength,DefenceStrength,OverallStrength,PointsPerMatch,WinPercentage,DrawPercentage,LossPercentage
1,NLM-CZ,GHF Rift Pirates Men,1,1,0,0,9,1,8,3,9.0,1.0,8.0,3.0,1.0,8.0,1.89,2.92,2.4,3.0,100.0,0.0,0.0
2,NLM-CZ,Thika Rovers,1,1,0,0,8,0,8,3,8.0,0.0,8.0,3.0,0.0,8.0,1.68,8.08,4.88,3.0,100.0,0.0,0.0
3,NLM-CZ,Dukes of Gloucester,3,1,0,2,6,17,-11,3,2.0,5.666666666666667,-3.67,1.0,5.67,-3.67,0.42,0.51,0.46,1.0,33.3,0.0,66.7
4,NLM-CZ,Nyari Hockey Club,1,0,0,1,0,5,-5,0,0.0,5.0,-5.0,0.0,5.0,-5.0,0.0,0.58,0.29,0.0,0.0,0.0,100.0
1,NLM-EZ,Ulinzi Patriots,8,5,2,1,14,8,6,17,1.75,1.0,0.75,2.12,1.0,0.75,1.31,1.36,1.34,2.12,62.5,25.0,12.5
2,NLM-EZ,Gorillas,8,4,2,2,10,9,1,14,1.25,1.125,0.12,1.75,1.12,0.12,0.94,1.21,1.08,1.75,50.0,25.0,25.0
3,NLM-EZ,Black Tigers,9,4,1,4,13,12,1,13,1.44,1.3333333333333333,0.11,1.44,1.33,0.11,1.08,1.02,1.05,1.44,44.4,11.1,44.4
4,NLM-EZ,Parklands Sports Club – Legacy,8,3,3,2,11,10,1,12,1.38,1.25,0.12,1.5,1.25,0.12,1.03,1.09,1.06,1.5,37.5,37.5,25.0
5,NLM-EZ,UoN Cubs,5,3,0,2,6,5,1,9,1.2,1.0,0.2,1.8,1.0,0.2,0.9,1.36,1.13,1.8,60.0,0.0,40.0
6,NLM-EZ,Mombasa West,5,2,2,1,8,6,2,8,1.6,1.2,0.4,1.6,1.2,0.4,1.2,1.13,1.16,1.6,40.0,40.0,20.0
