Competition_x,Season,MatchNo,Date,Time,HomeTeam,AwayTeam,HomeGoals,AwayGoals,URL,TotalGoals,Competition_y,HomeStrength,Competition,AwayStrength,StrengthDifference,GoalDifference,Outcome
PLW,2026,14.0,24-05-2026,14:00,Amira Sailors Hockey Club,Blazers Hockey Club,0,3,https://www.kenyahockeyunion.org/joomsport_match/premier-league-women-plw-2026-amira-sailors-hockey-club-vs-blazers-hockey-club/,3,PLW,0.98,PLW,2.38,-1.4,-3,Away Win
PLW,2026,,01-06-2026,15:00,Amira Sailors Hockey Club,Sliders Hockey Club,0,0,https://www.kenyahockeyunion.org/joomsport_match/premier-league-women-plw-2026-amira-sailors-hockey-club-vs-sliders-hockey-club/,0,PLW,0.98,PLW,0.38,0.6,0,Draw
PLW,2026,1.0,23-05-2026,12:00,Blazers Hockey Club,Kenyatta University Ladies,2,0,https://www.kenyahockeyunion.org/joomsport_match/premier-league-women-plw-2026-blazers-hockey-club-vs-kenyatta-university-ladies/,2,PLW,2.38,PLW,0.64,1.74,2,Home Win
PLW,2026,,04-07-2026,15:00,Blazers Hockey Club,Kisumu Queens,1,0,https://www.kenyahockeyunion.org/joomsport_match/premier-league-women-plw-2026-blazers-hockey-club-vs-kisumu-queens/,1,PLW,2.38,PLW,1.34,1.04,1,Home Win
PLW,2026,40.0,06-06-2026,15:00,Blazers Hockey Club,Sliders Hockey Club,3,0,https://www.kenyahockeyunion.org/joomsport_match/premier-league-women-plw-2026-blazers-hockey-club-vs-sliders-hockey-club/,3,PLW,2.38,PLW,0.38,2.0,3,Home Win
PLW,2026,10.0,24-05-2026,12:00,Kenyatta University Ladies,Sliders Hockey Club,1,1,https://www.kenyahockeyunion.org/joomsport_match/premier-league-women-plw-2026-kenyatta-university-ladies-vs-sliders-hockey-club/,2,PLW,0.64,PLW,0.38,0.26,0,Draw
PLW,2026,,27-06-2026,13:00,Kisumu Queens,Amira Sailors Hockey Club,0,0,https://www.kenyahockeyunion.org/joomsport_match/premier-league-women-plw-2026-kisumu-queens-vs-amira-sailors-hockey-club/,0,PLW,1.34,PLW,0.98,0.36,0,Draw
PLW,2026,42.0,07-06-2026,09:00,Kisumu Queens,Strathmore University Ladies,2,2,https://www.kenyahockeyunion.org/joomsport_match/premier-league-women-plw-2026-kisumu-queens-vs-strathmore-university-ladies/,4,PLW,1.34,PLW,1.33,0.01,0,Draw
PLW,2026,34.0,06-06-2026,12:00,Kisumu Queens,USIU – A Ladies,0,0,https://www.kenyahockeyunion.org/joomsport_match/premier-league-women-plw-2026-kisumu-queens-vs-usiu-a-ladies/,0,PLW,1.34,PLW,1.62,-0.28,0,Draw
PLW,2026,,28-06-2026,09:00,Lakers Hockey Club,Amira Sailors Hockey Club,2,1,https://www.kenyahockeyunion.org/joomsport_match/premier-league-women-plw-2026-lakers-hockey-club-vs-amira-sailors-hockey-club/,3,PLW,1.86,PLW,0.98,0.88,1,Home Win
