Team,Competition,Trend,Category
Gorillas,NLM-EZ,Gorillas has scored in every one of their last 6 matches.,Free-Scoring
Parklands Sports Club – Legacy,NLM-EZ,Parklands Sports Club – Legacy has scored in every one of their last 8 matches.,Free-Scoring
Mombasa Sports Club,NLM-EZ,Mombasa Sports Club has scored in every one of their last 5 matches.,Free-Scoring
Kitale Hockey Club,NLM-WZ,Kitale Hockey Club has scored in every one of their last 5 matches.,Free-Scoring
Sikh Union Nairobi,PLM,Sikh Union Nairobi has scored in every one of their last 9 matches.,Free-Scoring
Daikyo Heroes,PLM,Daikyo Heroes has failed to score in 2 consecutive matches.,Goal Drought
Wazalendo,PLM,Wazalendo has scored in every one of their last 9 matches.,Free-Scoring
Parklands Sports Club,PLM,Parklands Sports Club has scored in every one of their last 9 matches.,Free-Scoring
Kisumu Queens,PLW,Kisumu Queens has failed to score in 2 consecutive matches.,Goal Drought
KCA University,SLM,KCA University has scored in every one of their last 8 matches.,Free-Scoring
Strathmore University,SLM,Strathmore University has scored in every one of their last 6 matches.,Free-Scoring
Mvita XI,SLM,Mvita XI has scored in every one of their last 5 matches.,Free-Scoring
UON Men,SLM,UON Men has scored in every one of their last 5 matches.,Free-Scoring
Parkroad Badgers,SLM,Parkroad Badgers has scored in every one of their last 7 matches.,Free-Scoring
Twinkle Hockey Club,SLW,Twinkle Hockey Club has scored in every one of their last 5 matches.,Free-Scoring
Wazalendo Pearls,SLW,Wazalendo Pearls has scored in every one of their last 5 matches.,Free-Scoring
Parklands Sports Club – Legacy,NLM-EZ,Parklands Sports Club – Legacy is unbeaten in 6 consecutive matches this season.,Extended Unbeaten Run
Warriors,PLM,Warriors is unbeaten in 6 consecutive matches this season.,Extended Unbeaten Run
Blazers Hockey Club,PLW,Blazers Hockey Club is unbeaten in 7 consecutive matches this season.,Extended Unbeaten Run
USIU – A Ladies,PLW,USIU – A Ladies is unbeaten in 7 consecutive matches this season.,Extended Unbeaten Run
Strathmore University,SLM,Strathmore University is unbeaten in 6 consecutive matches this season.,Extended Unbeaten Run
