Position,Competition,Team,Played,Wins,Draws,Losses,GF,GA,GD,Points,GoalsPerMatch,GoalsAgainstPerMatch,AverageGD,PPG,ConcededPerMatch,GDPerMatch,AttackStrength,DefenceStrength,OverallStrength,PointsPerMatch,WinPercentage,DrawPercentage,LossPercentage,RankingScore,OffensiveEfficiency,DefensiveEfficiency,EfficiencyDifference,ScoringRate,ConcedingRate,NetPerformance,PPM,EfficiencyRating,AttackRank,DefenceRank,GDRank,PointsRank,CompositeRating,CompositeRank,PlayingStyle,DominanceIndex,DominanceCategory,ExpectedScore,PerformanceQuadrant,TacticalIdentity,PPM_Relative,NetPerformance_Relative,EfficiencyRating_Relative,Cluster,PerformanceCluster
1,NLM-CZ,GHF Rift Pirates Men,1,1,0,0,9,1,8,3,9.0,1.0,8.0,3.0,1.0,8.0,1.89,2.92,2.4,3.0,100.0,0.0,0.0,1.88,9.0,1.0,8.0,9.0,1.0,8.0,3.0,5.5,12,2,6,15,10.31,3,Balanced Contender,86.37,Elite,77.42,Elite,Balanced - Defence Leaning,1.25,6.17,3.71,1,Competitive Challengers
2,NLM-CZ,Thika Rovers,1,1,0,0,8,0,8,3,8.0,0.0,8.0,3.0,0.0,8.0,1.68,8.08,4.88,3.0,100.0,0.0,0.0,0.79,8.0,0.0,8.0,8.0,0.0,8.0,3.0,5.5,13,1,6,15,15.26,1,Balanced Contender,97.78,Elite,91.87,Elite,Balanced - Defence Leaning,1.25,6.17,3.71,2,Elite Contenders
3,NLM-CZ,Dukes of Gloucester,3,1,0,2,6,17,-11,3,2.0,5.666666666666667,-3.67,1.0,5.67,-3.67,0.42,0.51,0.46,1.0,33.3,0.0,66.7,0.92,2.0,5.67,-3.67,2.0,5.67,-3.67,1.0,-1.34,15,18,24,15,-0.41,58,Developing Team,16.06,Developing,13.97,Developing,Rebuilding Phase,-0.75,-5.5,-3.12,0,Developing Teams
4,NLM-CZ,Nyari Hockey Club,1,0,0,1,0,5,-5,0,0.0,5.0,-5.0,0.0,5.0,-5.0,0.0,0.58,0.29,0.0,0.0,0.0,100.0,0.28,0.0,5.0,-5.0,0.0,5.0,-5.0,0.0,-2.5,21,6,18,18,-1.92,61,Developing Team,0.18,Developing,4.19,Developing,Rebuilding Phase,-1.75,-6.83,-4.29,0,Developing Teams
1,NLM-EZ,Ulinzi Patriots,8,5,2,1,14,8,6,17,1.75,1.0,0.75,2.12,1.0,0.75,1.31,1.36,1.34,2.12,62.5,25.0,12.5,1.58,1.75,1.0,0.75,1.75,1.0,0.75,2.12,1.44,7,9,8,2,4.11,16,Attack-Oriented,96.96,Elite,41.7,Elite,High Offensive Risk,0.76,0.78,0.77,0,Elite Contenders
2,NLM-EZ,Gorillas,8,4,2,2,10,9,1,14,1.25,1.125,0.12,1.75,1.12,0.12,0.94,1.21,1.08,1.75,50.0,25.0,25.0,1.32,1.25,1.12,0.13,1.25,1.12,0.13,1.75,0.94,11,10,12,4,3.09,25,Efficient Competitor,71.73,Strong,34.92,Overachieving,Rebuilding Phase,0.39,0.16,0.28,0,Elite Contenders
3,NLM-EZ,Black Tigers,9,4,1,4,13,12,1,13,1.44,1.3333333333333333,0.11,1.44,1.33,0.11,1.08,1.02,1.05,1.44,44.4,11.1,44.4,1.24,1.44,1.33,0.11,1.44,1.33,0.11,1.44,0.78,8,13,12,5,2.88,30,Attack-Oriented,63.66,Strong,35.21,Elite,High Offensive Risk,0.08,0.13,0.11,0,Elite Contenders
4,NLM-EZ,Parklands Sports Club – Legacy,8,3,3,2,11,10,1,12,1.38,1.25,0.12,1.5,1.25,0.12,1.03,1.09,1.06,1.5,37.5,37.5,25.0,1.24,1.38,1.25,0.13,1.38,1.25,0.13,1.5,0.82,10,11,12,6,2.94,28,Attack-Oriented,66.09,Strong,35.09,Overachieving,High Offensive Risk,0.14,0.16,0.15,0,Elite Contenders
5,NLM-EZ,UoN Cubs,5,3,0,2,6,5,1,9,1.2,1.0,0.2,1.8,1.0,0.2,0.9,1.36,1.13,1.8,60.0,0.0,40.0,1.3,1.2,1.0,0.2,1.2,1.0,0.2,1.8,1.0,15,6,12,9,3.26,23,Efficient Competitor,77.3,Elite,35.31,Elite,Rebuilding Phase,0.44,0.22,0.33,0,Elite Contenders
6,NLM-EZ,Mombasa West,5,2,2,1,8,6,2,8,1.6,1.2,0.4,1.6,1.2,0.4,1.2,1.13,1.16,1.6,40.0,40.0,20.0,1.33,1.6,1.2,0.4,1.6,1.2,0.4,1.6,1.0,13,7,11,10,3.33,22,Attack-Oriented,75.53,Elite,37.94,Elite,High Offensive Risk,0.24,0.42,0.33,0,Elite Contenders
