Player,Green Card,Red Card,Yellow card,TotalCards
Griffin Bosire,1,0,2,3
Daniel Matara,1,0,2,3
Calvins Kanu Omondi,3,0,0,3
Moses Omamu,2,0,1,3
Michael Mboya,3,0,0,3
Willis Wanjala,0,0,3,3
Willis Malesi,2,0,1,3
Beryl Achieng,1,0,1,2
Benson Mawich,1,0,1,2
Asher Ochieng,1,0,1,2
Arjun Uupta,1,0,1,2
Mathias Gularire,1,0,1,2
Malack Masese,1,0,1,2
Teddy Schefer,1,0,1,2
Wycliffe Wanyonyi,1,0,1,2
Duncan Kachisa,2,0,0,2
Benon Papa,1,0,1,2
Bonny Ndombi,1,0,1,2
Cyprian Mukhokho,0,0,2,2
Joan Ajao,2,0,0,2
Elvis Young Adala,2,0,0,2
Harriet Omindi,1,0,1,2
Daniel Solomon Obunyasi,0,0,2,2
Allan Iningu,1,0,0,1
Basil Ongocho,0,0,1,1
Allan Munene,0,0,1,1
Aredha Mandela,1,0,0,1
Arnold Abedie,0,0,1,1
Emmanuel Wiswa,0,0,1,1
Duncan Opanda,1,0,0,1
Esperanza Gitu,0,0,1,1
George Mutira,1,0,0,1
Frankline Wakhongo,1,0,0,1
Gideon Koskei,1,0,0,1
Faith Amondi,1,0,0,1
Esbon Ombui,1,0,0,1
Chamchui Esther,1,0,0,1
Brian Anzeze,0,0,1,1
Daniel Omondi,1,0,0,1
David Omindo,1,0,0,1
Charles Otieno,1,0,0,1
Brian Oyato,1,0,0,1
Bravel Lumiti,1,0,0,1
Job Wandera,1,0,0,1
Ivan Ludiali,0,0,1,1
Isaac Nandukele,1,0,0,1
Irene Senoi,1,0,0,1
Ian Mwaliki,1,0,0,1
Ian Oyale,1,0,0,1
Hillary Odhiambo,0,0,1,1
Henry Otuoma,0,0,1,1
Lawrence Okongo,0,0,1,1
Kim Webi,1,0,0,1
Khizar Akhtar,0,0,1,1
Martin Omondi,1,0,0,1
Kevin Shikanga,0,0,1,1
JohnMark Odera,0,1,0,1
Kennedy Wanyonyi,0,0,1,1
Kennedy Juma,1,0,0,1
Noela Kimathi,1,0,0,1
Naom Kemunto,0,0,1,1
Moses Ooga,1,0,0,1
Moses Ademba,1,0,0,1
Samson Sananka Ratia,1,0,0,1
Obare Joseph Otora,1,0,0,1
Robinson Omutekete,1,0,0,1
Racheal Khamala,1,0,0,1
Sanda Vadati,0,0,1,1
Samuel Silong Kamaru,0,0,1,1
Samuel Namonyo,0,0,1,1
Valary Cheruto,1,0,0,1
William Kirwa,1,0,0,1
Wayne Kipkorir Chongwony,0,0,1,1
Vivian Juma,1,0,0,1
Xavier Buluma,1,0,0,1
