Player,Events
Mathias Gularire,9
Calvins Kanu Omondi,7
Malack Masese,7
Michael Mboya,6
Robert Masibo,6
Job Wandera,5
Bonny Ndombi,4
Isaac Nandukele,4
Joan Anjao,4
Willis Wanjala,4
Moses Omamu,4
Sheldone Kimtai,3
Wycliffe Wanyonyi,3
William Kirwa,3
Arjun Gupta,3
Asher Ochieng,3
Kennedy Sibweche,3
Kennedy Wanyonyi,3
Willis Malesi,3
Duncan Kachisa,3
Daniel Matara,3
Daniel Solomon Obunyasi,3
Edson Ndombi,3
Cliff Omari,3
Esbon Ombui,3
George Mutira,3
Frankline Wakhongo,3
Eudgas Lirhu,3
Elvis Young Adala,3
Emmanuel Wiswa,3
Mathew Momanyi,3
Khizar Akhtar,3
Griffin Bosire,3
Festus Onyango,2
James Muthii Mwangi,2
Moses Isigi Ooga,2
Lawrence Okongo,2
Alex Taiswa,2
Harriet Omindi,2
Audrey Omaido,2
Farhan Khan,2
Cyprian Mukhokho,2
Carol Guchu,2
Godfrey Fedha,2
Ivan Ludiali,2
Joseph Kasua,2
Kabir Bhamra,2
Lawrence Makhatsa,2
Willis Okeyo,2
Wayne Kipkorir Chongwony,2
Vincent Odindo,2
Teddy Schefer,2
Robinson Omutekete,2
Lynn Mwangi,2
Noela Kimathi,2
Peter Apanacho,2
Charles Otieno,2
Benon Papa,2
Benson Mawich,2
Danstone Wabwire,2
Bethuel Masambu,2
Francis Kariuki,2
Fofana Mohammed,2
Beryl Achieng,2
Grace Bwire,2
Arnold Abedie,1
Allan Munene,1
Amanda Ijai,1
Allan Iningu,1
Aredha Mandela,1
Daniel Lopikasha,1
Derrick Juma,1
Irene Senoi,1
Hillary Otieno,1
Ian Mwaliki,1
Ian Oyale,1
Hillary Odhiambo,1
Gideon Koskei,1
Havrir Chataurhae Singh,1
Henry Otuoma,1
Grace Makoha,1
Erick Kidwaro,1
Faith Amondi,1
Duncan Opanda,1
Espirancer Gitu,1
Fortuna Madaga,1
David Omindo,1
Basil Ongocho,1
Brian Saina,1
Brian Oyato,1
Brian Ogeche,1
Brian Anzeze,1
Borris Lukurito,1
Bravel Lumiti,1
Austin Mutua,1
Austin Otieno,1
Chris Wokila,1
Clementine Sims,1
Chamchui Esther,1
Charles Ashiundu,1
Daniel Omondi,1
Kit Garner,1
Kevin Shikanga,1
Kim Webi,1
NIRMAN SINGH MUDHER,1
Moses Ademba,1
Maurine Owiti,1
Mitchelle Akoth,1
Martin Omondi,1
Margaret Mawombe,1
Mathew Onialo,1
Joe Oburu,1
Kennedy Juma,1
JohnMark Odera,1
Jochebed Cherono,1
Kennedy Sakong,1
Ketane Okoth,1
Nichole Joy,1
Newton Mwangaza,1
Naom Kemunto,1
Shadrack Shikuku,1
Sanda Vadati,1
Samuel Silong Kamaru,1
Samuel Namonyo,1
Samson Sananka Ratia,1
Obare Joseph Otora,1
Paul Omariba,1
Racheal Khamala,1
Vivian Onyango,1
Vivian Juma,1
Valentine Keya,1
Valary Cheruto,1
TaranKabir Singh,1
Titus Kimutai,1
Xavier Buluma,1
Yvette Kanyadong,1
