Player,Goals,GoalShare (%)
Mathias Gularire,6,5.77
Robert Masibo,4,3.85
Malack Masese,4,3.85
Job Wandera,4,3.85
Calvins Kanu Omondi,3,2.88
Cliff Omari,3,2.88
Sheldone Kimtai,3,2.88
Eudgas Lirhu,3,2.88
Mathew Momanyi,2,1.92
Esbon Ombui,2,1.92
Grace Bwire,2,1.92
Lynn Mwangi,2,1.92
Kabir Bhamra,2,1.92
Godfrey Fedha,2,1.92
Michael Mboya,2,1.92
Lawrence Makhatsa,2,1.92
Festus Onyango,2,1.92
Farhan Khan,2,1.92
Joan Ajao,2,1.92
Emmanuel Wiswa,2,1.92
Audrey Omaido,2,1.92
William Kirwa,2,1.92
Danstone Wabwire,2,1.92
Bonny Ndombi,2,1.92
Caroline Guchu,2,1.92
Noela Kimathi,1,0.96
Vivian Onyango,1,0.96
Lawrence Okongo,1,0.96
Willis Okeyo,1,0.96
Wayne Kipkorir Chongwony,1,0.96
Margaret Mawombe,1,0.96
Maurine Owiti,1,0.96
Khizar Akhtar,1,0.96
Valentine Keya,1,0.96
Robinson Omutekete,1,0.96
Mitchell Akoth,1,0.96
Moses Omamu,1,0.96
Nichole Joy,1,0.96
Paul Omariba,1,0.96
Kit Garner,1,0.96
Alex Taiswa,1,0.96
Ketane Okoth,1,0.96
Kennedy Wanyonyi,1,0.96
Austin Mutua,1,0.96
Bethuel Masambu,1,0.96
Borris Lukurito,1,0.96
Brian Saina,1,0.96
Charles Otieno,1,0.96
Clementine Sims,1,0.96
Daniel Solomon Obunyasi,1,0.96
Duncan Kachisa,1,0.96
Edson Ndombi,1,0.96
Erick Kidwaro,1,0.96
Fofana Mohammed,1,0.96
Francis Kariuki,1,0.96
Frankline Wakhongo,1,0.96
George Mutira,1,0.96
Grace Makoha,1,0.96
Isaac Nandukele,1,0.96
Ivan Ludiali,1,0.96
Amanda Ijai,1,0.96
Jochebed Cherono,1,0.96
Joseph Kasua,1,0.96
Kennedy Sibweche,1,0.96
Yvette Kanyadong,1,0.96
