Competition,Team,Player,Goals,PPM,DominanceIndex,TeamGoals,GoalContribution,PlayerInfluenceIndex
PLM,Daikyo Heroes,Bonny Ndombi,2,1.67,54.87,9,0.2222222222222222,2.0
PLM,Daikyo Heroes,Esbon Ombui,2,1.67,54.87,9,0.2222222222222222,2.0
PLM,Daikyo Heroes,Farhan Khan,2,1.67,54.87,9,0.2222222222222222,2.0
PLM,Daikyo Heroes,Joseph Kasua,1,1.67,54.87,9,0.1111111111111111,1.17
PLM,Daikyo Heroes,Khizar Akhtar,1,1.67,54.87,9,0.1111111111111111,1.17
PLM,Daikyo Heroes,Lawrence Okongo,1,1.67,54.87,9,0.1111111111111111,1.17
PLM,Greensharks,Daniel Solomon Obunyasi,1,0.0,1.74,1,1.0,3.5
PLM,Kenya Police,Robert Masibo,4,1.22,55.56,7,0.5714285714285714,3.96
PLM,Kenya Police,Brian Saina,1,1.22,55.56,7,0.14285714285714285,1.17
PLM,Kenya Police,Kennedy Sibweche,1,1.22,55.56,7,0.14285714285714285,1.17
PLM,Kenya Police,Willis Okeyo,1,1.22,55.56,7,0.14285714285714285,1.17
PLM,Kisumu Youngsters,Malack Masese,4,1.22,62.96,6,0.6666666666666666,4.24
PLM,Kisumu Youngsters,Duncan Kachisa,1,1.22,62.96,6,0.16666666666666666,1.24
PLM,Kisumu Youngsters,Ketane Okoth,1,1.22,62.96,6,0.16666666666666666,1.24
PLM,Parklands Sports Club,Eudgas Lirhu,3,1.44,52.04,9,0.3333333333333333,2.79
PLM,Parklands Sports Club,William Kirwa,2,1.44,52.04,9,0.2222222222222222,1.95
PLM,Parklands Sports Club,Erick Kidwaro,1,1.44,52.04,9,0.1111111111111111,1.12
PLM,Parklands Sports Club,Kennedy Wanyonyi,1,1.44,52.04,9,0.1111111111111111,1.12
PLM,Parklands Sports Club,Moses Omamu,1,1.44,52.04,9,0.1111111111111111,1.12
PLM,Parklands Sports Club,Valentine Keya,1,1.44,52.04,9,0.1111111111111111,1.12
PLM,Sikh Union Nairobi,Mathias Gularire,6,1.89,79.74,13,0.46153846153846156,4.76
PLM,Sikh Union Nairobi,Cliff Omari,3,1.89,79.74,13,0.23076923076923078,2.57
PLM,Sikh Union Nairobi,Kabir Bhamra,2,1.89,79.74,13,0.15384615384615385,1.84
PLM,Sikh Union Nairobi,Fofana Mohammed,1,1.89,79.74,13,0.07692307692307693,1.11
PLM,Sikh Union Nairobi,Kit Garner,1,1.89,79.74,13,0.07692307692307693,1.11
PLM,USIU – A,Danstone Wabwire,2,1.11,48.86,7,0.2857142857142857,2.08
PLM,USIU – A,Lawrence Makhatsa,2,1.11,48.86,7,0.2857142857142857,2.08
PLM,USIU – A,Borris Lukurito,1,1.11,48.86,7,0.14285714285714285,1.15
PLM,USIU – A,Robinson Omutekete,1,1.11,48.86,7,0.14285714285714285,1.15
PLM,USIU – A,Wayne Kipkorir Chongwony,1,1.11,48.86,7,0.14285714285714285,1.15
PLM,Warriors,Calvins Kanu Omondi,3,2.0,96.09,10,0.3,2.8
PLM,Warriors,Festus Onyango,2,2.0,96.09,10,0.2,2.0
PLM,Warriors,Edson Ndombi,1,2.0,96.09,10,0.1,1.2
PLM,Warriors,Francis Kariuki,1,2.0,96.09,10,0.1,1.2
PLM,Warriors,Frankline Wakhongo,1,2.0,96.09,10,0.1,1.2
PLM,Warriors,George Mutira,1,2.0,96.09,10,0.1,1.2
PLM,Warriors,Paul Omariba,1,2.0,96.09,10,0.1,1.2
PLM,Wazalendo,Job Wandera,4,1.56,67.83,10,0.4,3.51
PLM,Wazalendo,Mathew Momanyi,2,1.56,67.83,10,0.2,1.91
PLM,Wazalendo,Michael Mboya,2,1.56,67.83,10,0.2,1.91
PLM,Wazalendo,Austin Mutua,1,1.56,67.83,10,0.1,1.11
PLM,Wazalendo,Isaac Nandukele,1,1.56,67.83,10,0.1,1.11
PLM,Western Jaguars,Sheldone Kimtai,3,1.89,94.76,11,0.2727272727272727,2.7
PLM,Western Jaguars,Emmanuel Wiswa,2,1.89,94.76,11,0.18181818181818182,1.92
PLM,Western Jaguars,Godfrey Fedha,2,1.89,94.76,11,0.18181818181818182,1.92
PLM,Western Jaguars,Alex Taiswa,1,1.89,94.76,11,0.09090909090909091,1.15
PLM,Western Jaguars,Bethuel Masambu,1,1.89,94.76,11,0.09090909090909091,1.15
PLM,Western Jaguars,Charles Otieno,1,1.89,94.76,11,0.09090909090909091,1.15
PLM,Western Jaguars,Ivan Ludiali,1,1.89,94.76,11,0.09090909090909091,1.15
PLW,Amira Sailors Hockey Club,Yvette Kanyadong,1,1.29,44.51,1,1.0,3.76
PLW,Blazers Hockey Club,Audrey Omaido,2,2.43,100.0,8,0.25,2.24
