Competition,Team,Player,Goals,Played,GoalsPerTeamMatch,ScoutingCategory
PLM,Sikh Union Nairobi,Mathias Gularire,6,10,0.6,Elite — High Volume & Efficient
PLM,Kenya Police,Robert Masibo,4,10,0.4,Elite — High Volume & Efficient
PLM,Kisumu Youngsters,Malack Masese,4,11,0.36,Elite — High Volume & Efficient
PLM,Wazalendo,Job Wandera,4,11,0.36,Elite — High Volume & Efficient
PLM,Parklands Sports Club,Eudgas Lirhu,3,10,0.3,Elite — High Volume & Efficient
PLM,Sikh Union Nairobi,Cliff Omari,3,10,0.3,Elite — High Volume & Efficient
PLM,Warriors,Calvins Kanu Omondi,3,10,0.3,Elite — High Volume & Efficient
PLM,Western Jaguars,Sheldone Kimtai,3,11,0.27,Elite — High Volume & Efficient
PLM,USIU – A,Danstone Wabwire,2,9,0.22,Elite — High Volume & Efficient
PLM,USIU – A,Lawrence Makhatsa,2,9,0.22,Elite — High Volume & Efficient
PLM,Parklands Sports Club,William Kirwa,2,10,0.2,Elite — High Volume & Efficient
PLM,Sikh Union Nairobi,Kabir Bhamra,2,10,0.2,Elite — High Volume & Efficient
PLM,Warriors,Festus Onyango,2,10,0.2,Elite — High Volume & Efficient
PLM,Daikyo Heroes,Bonny Ndombi,2,11,0.18,Elite — High Volume & Efficient
PLM,Daikyo Heroes,Esbon Ombui,2,11,0.18,Elite — High Volume & Efficient
PLM,Daikyo Heroes,Farhan Khan,2,11,0.18,Elite — High Volume & Efficient
PLM,Wazalendo,Mathew Momanyi,2,11,0.18,Elite — High Volume & Efficient
PLM,Wazalendo,Michael Mboya,2,11,0.18,Elite — High Volume & Efficient
PLM,Western Jaguars,Emmanuel Wiswa,2,11,0.18,Elite — High Volume & Efficient
PLM,Western Jaguars,Godfrey Fedha,2,11,0.18,Elite — High Volume & Efficient
PLM,USIU – A,Borris Lukurito,1,9,0.11,Volume Scorer
PLM,USIU – A,Robinson Omutekete,1,9,0.11,Volume Scorer
PLM,USIU – A,Wayne Kipkorir Chongwony,1,9,0.11,Volume Scorer
PLM,Kenya Police,Brian Saina,1,10,0.1,Volume Scorer
PLM,Kenya Police,Kennedy Sibweche,1,10,0.1,Volume Scorer
PLM,Kenya Police,Willis Okeyo,1,10,0.1,Volume Scorer
PLM,Parklands Sports Club,Erick Kidwaro,1,10,0.1,Volume Scorer
PLM,Parklands Sports Club,Kennedy Wanyonyi,1,10,0.1,Volume Scorer
PLM,Parklands Sports Club,Moses Omamu,1,10,0.1,Volume Scorer
PLM,Parklands Sports Club,Valentine Keya,1,10,0.1,Volume Scorer
PLM,Sikh Union Nairobi,Fofana Mohammed,1,10,0.1,Volume Scorer
PLM,Sikh Union Nairobi,Kit Garner,1,10,0.1,Volume Scorer
PLM,Warriors,Edson Ndombi,1,10,0.1,Volume Scorer
PLM,Warriors,Francis Kariuki,1,10,0.1,Volume Scorer
PLM,Warriors,Frankline Wakhongo,1,10,0.1,Volume Scorer
PLM,Warriors,George Mutira,1,10,0.1,Volume Scorer
PLM,Warriors,Paul Omariba,1,10,0.1,Volume Scorer
PLM,Daikyo Heroes,Joseph Kasua,1,11,0.09,Volume Scorer
PLM,Daikyo Heroes,Khizar Akhtar,1,11,0.09,Volume Scorer
PLM,Daikyo Heroes,Lawrence Okongo,1,11,0.09,Volume Scorer
PLM,Greensharks,Daniel Solomon Obunyasi,1,11,0.09,Volume Scorer
PLM,Kisumu Youngsters,Duncan Kachisa,1,11,0.09,Volume Scorer
PLM,Kisumu Youngsters,Ketane Okoth,1,11,0.09,Volume Scorer
PLM,Wazalendo,Austin Mutua,1,11,0.09,Volume Scorer
PLM,Wazalendo,Isaac Nandukele,1,11,0.09,Volume Scorer
PLM,Western Jaguars,Alex Taiswa,1,11,0.09,Volume Scorer
PLM,Western Jaguars,Bethuel Masambu,1,11,0.09,Volume Scorer
PLM,Western Jaguars,Charles Otieno,1,11,0.09,Volume Scorer
PLM,Western Jaguars,Ivan Ludiali,1,11,0.09,Volume Scorer
PLW,Kenyatta University Ladies,Jochebed Cherono,1,2,0.5,Elite — High Volume & Efficient
PLW,Blazers Hockey Club,Audrey Omaido,2,7,0.29,Elite — High Volume & Efficient
PLW,Blazers Hockey Club,Caroline Guchu,2,7,0.29,Elite — High Volume & Efficient
PLW,Blazers Hockey Club,Joan Ajao,2,7,0.29,Elite — High Volume & Efficient
PLW,Strathmore University Ladies,Grace Bwire,2,8,0.25,Elite — High Volume & Efficient
PLW,USIU – A Ladies,Lynn Mwangi,2,8,0.25,Elite — High Volume & Efficient
PLW,Lakers Hockey Club,Maurine Owiti,1,6,0.17,Elite — High Volume & Efficient
PLW,UON Ladies,Clementine Sims,1,6,0.17,Elite — High Volume & Efficient
PLW,UON Ladies,Mitchell Akoth,1,6,0.17,Elite — High Volume & Efficient
PLW,UON Ladies,Noela Kimathi,1,6,0.17,Elite — High Volume & Efficient
PLW,Amira Sailors Hockey Club,Yvette Kanyadong,1,7,0.14,Elite — High Volume & Efficient
PLW,Blazers Hockey Club,Amanda Ijai,1,7,0.14,Elite — High Volume & Efficient
PLW,Blazers Hockey Club,Vivian Onyango,1,7,0.14,Elite — High Volume & Efficient
PLW,Strathmore University Ladies,Nichole Joy,1,8,0.12,Volume Scorer
PLW,USIU – A Ladies,Grace Makoha,1,8,0.12,Volume Scorer
PLW,Sliders Hockey Club,Margaret Mawombe,1,9,0.11,Volume Scorer
