Player,Goal,Green Card,Red Card,Yellow card,TotalEvents
Mathias Gularire,6,1,0,1,8
Calvins Kanu Omondi,3,3,0,0,6
Malack Masese,4,1,0,1,6
Job Wandera,4,1,0,0,5
Michael Mboya,2,3,0,0,5
Joan Ajao,2,2,0,0,4
Robert Masibo,4,0,0,0,4
Moses Omamu,1,2,0,1,4
Bonny Ndombi,2,1,0,1,4
Emmanuel Wiswa,2,0,0,1,3
Willis Wanjala,0,0,0,3,3
Sheldone Kimtai,3,0,0,0,3
Griffin Bosire,0,1,0,2,3
Esbon Ombui,2,1,0,0,3
Eudgas Lirhu,3,0,0,0,3
Duncan Kachisa,1,2,0,0,3
Daniel Matara,0,1,0,2,3
Willis Malesi,0,2,0,1,3
Cliff Omari,3,0,0,0,3
Daniel Solomon Obunyasi,1,0,0,2,3
William Kirwa,2,1,0,0,3
George Mutira,1,1,0,0,2
Festus Onyango,2,0,0,0,2
Caroline Guchu,2,0,0,0,2
Grace Bwire,2,0,0,0,2
Cyprian Mukhokho,0,0,0,2,2
Kennedy Wanyonyi,1,0,0,1,2
Khizar Akhtar,1,0,0,1,2
Robinson Omutekete,1,1,0,0,2
Wycliffe Wanyonyi,0,1,0,1,2
Teddy Schefer,0,1,0,1,2
Wayne Kipkorir Chongwony,1,0,0,1,2
Lawrence Makhatsa,2,0,0,0,2
Lawrence Okongo,1,0,0,1,2
Mathew Momanyi,2,0,0,0,2
Noela Kimathi,1,1,0,0,2
Harriet Omindi,0,1,0,1,2
Isaac Nandukele,1,1,0,0,2
Ivan Ludiali,1,0,0,1,2
Lynn Mwangi,2,0,0,0,2
Charles Otieno,1,1,0,0,2
Godfrey Fedha,2,0,0,0,2
Frankline Wakhongo,1,1,0,0,2
Danstone Wabwire,2,0,0,0,2
Benson Mawich,0,1,0,1,2
Beryl Achieng,0,1,0,1,2
Audrey Omaido,2,0,0,0,2
Elvis Young Adala,0,2,0,0,2
Farhan Khan,2,0,0,0,2
Asher Ochieng,0,1,0,1,2
Arjun Uupta,0,1,0,1,2
Benon Papa,0,1,0,1,2
Kabir Bhamra,2,0,0,0,2
Francis Kariuki,1,0,0,0,1
Gideon Koskei,0,1,0,0,1
Faith Amondi,0,1,0,0,1
Esperanza Gitu,0,0,0,1,1
Erick Kidwaro,1,0,0,0,1
Duncan Opanda,0,1,0,0,1
Edson Ndombi,1,0,0,0,1
Daniel Omondi,0,1,0,0,1
Clementine Sims,1,0,0,0,1
Fofana Mohammed,1,0,0,0,1
Chamchui Esther,0,1,0,0,1
David Omindo,0,1,0,0,1
Bravel Lumiti,0,1,0,0,1
Brian Anzeze,0,0,0,1,1
Brian Oyato,0,1,0,0,1
Basil Ongocho,0,0,0,1,1
Austin Mutua,1,0,0,0,1
Aredha Mandela,0,1,0,0,1
Alex Taiswa,1,0,0,0,1
Amanda Ijai,1,0,0,0,1
Allan Munene,0,0,0,1,1
Allan Iningu,0,1,0,0,1
Arnold Abedie,0,0,0,1,1
Borris Lukurito,1,0,0,0,1
Bethuel Masambu,1,0,0,0,1
Brian Saina,1,0,0,0,1
Henry Otuoma,0,0,0,1,1
Joseph Kasua,1,0,0,0,1
JohnMark Odera,0,0,1,0,1
Jochebed Cherono,1,0,0,0,1
Grace Makoha,1,0,0,0,1
Margaret Mawombe,1,0,0,0,1
Martin Omondi,0,1,0,0,1
Kennedy Sibweche,1,0,0,0,1
Kennedy Juma,0,1,0,0,1
Ketane Okoth,1,0,0,0,1
Kevin Shikanga,0,0,0,1,1
Kim Webi,0,1,0,0,1
Kit Garner,1,0,0,0,1
Irene Senoi,0,1,0,0,1
Ian Oyale,0,1,0,0,1
Ian Mwaliki,0,1,0,0,1
Hillary Odhiambo,0,0,0,1,1
Nichole Joy,1,0,0,0,1
Moses Ademba,0,1,0,0,1
Mitchell Akoth,1,0,0,0,1
Maurine Owiti,1,0,0,0,1
Samuel Namonyo,0,0,0,1,1
Samson Sananka Ratia,0,1,0,0,1
Paul Omariba,1,0,0,0,1
Racheal Khamala,0,1,0,0,1
Obare Joseph Otora,0,1,0,0,1
Moses Ooga,0,1,0,0,1
Naom Kemunto,0,0,0,1,1
Sanda Vadati,0,0,0,1,1
Vivian Onyango,1,0,0,0,1
Vivian Juma,0,1,0,0,1
Valentine Keya,1,0,0,0,1
Valary Cheruto,0,1,0,0,1
Samuel Silong Kamaru,0,0,0,1,1
Willis Okeyo,1,0,0,0,1
Xavier Buluma,0,1,0,0,1
Yvette Kanyadong,1,0,0,0,1
