Competition,Team,Player,Goals,CompMeanGoals,CompStdGoals,ZScore
PLM,Sikh Union Nairobi,Mathias Gularire,6,1.7166666666666666,1.0430019690032386,4.11
PLM,Kenya Police,Robert Masibo,4,1.7166666666666666,1.0430019690032386,2.19
PLM,Kisumu Youngsters,Malack Masese,4,1.7166666666666666,1.0430019690032386,2.19
PLM,Warriors,Calvins Kanu Omondi,4,1.7166666666666666,1.0430019690032386,2.19
PLM,Wazalendo,Job Wandera,4,1.7166666666666666,1.0430019690032386,2.19
PLM,Parklands Sports Club,Eudgas Lirhu,3,1.7166666666666666,1.0430019690032386,1.23
PLM,Sikh Union Nairobi,Cliff Omari,3,1.7166666666666666,1.0430019690032386,1.23
PLM,Wazalendo,Michael Mboya,3,1.7166666666666666,1.0430019690032386,1.23
PLM,Western Jaguars,Sheldone Kimtai,3,1.7166666666666666,1.0430019690032386,1.23
PLM,Daikyo Heroes,Bonny Ndombi,2,1.7166666666666666,1.0430019690032386,0.27
PLM,Daikyo Heroes,Esbon Ombui,2,1.7166666666666666,1.0430019690032386,0.27
PLM,Daikyo Heroes,Farhan Khan,2,1.7166666666666666,1.0430019690032386,0.27
PLM,Daikyo Heroes,Khizar Akhtar,2,1.7166666666666666,1.0430019690032386,0.27
PLM,Kenya Police,Kennedy Sibweche,2,1.7166666666666666,1.0430019690032386,0.27
PLM,Kenya Police,Willis Okeyo,2,1.7166666666666666,1.0430019690032386,0.27
PLM,Parklands Sports Club,Kennedy Wanyonyi,2,1.7166666666666666,1.0430019690032386,0.27
PLM,Parklands Sports Club,William Kirwa,2,1.7166666666666666,1.0430019690032386,0.27
PLM,Sikh Union Nairobi,Kabir Bhamra,2,1.7166666666666666,1.0430019690032386,0.27
PLM,USIU – A,Danstone Wabwire,2,1.7166666666666666,1.0430019690032386,0.27
PLM,USIU – A,Lawrence Makhatsa,2,1.7166666666666666,1.0430019690032386,0.27
PLM,Warriors,Edson Ndombi,2,1.7166666666666666,1.0430019690032386,0.27
PLM,Warriors,Festus Onyango,2,1.7166666666666666,1.0430019690032386,0.27
PLM,Wazalendo,Mathew Momanyi,2,1.7166666666666666,1.0430019690032386,0.27
PLM,Western Jaguars,Alex Taiswa,2,1.7166666666666666,1.0430019690032386,0.27
PLM,Western Jaguars,Bethuel Masambu,2,1.7166666666666666,1.0430019690032386,0.27
PLM,Western Jaguars,Emmanuel Wiswa,2,1.7166666666666666,1.0430019690032386,0.27
PLM,Western Jaguars,Godfrey Fedha,2,1.7166666666666666,1.0430019690032386,0.27
PLM,Daikyo Heroes,Austin Otieno,1,1.7166666666666666,1.0430019690032386,-0.69
PLM,Daikyo Heroes,Joseph Kasua,1,1.7166666666666666,1.0430019690032386,-0.69
PLM,Daikyo Heroes,Lawrence Okongo,1,1.7166666666666666,1.0430019690032386,-0.69
PLM,Greensharks,Daniel Solomon Obunyasi,1,1.7166666666666666,1.0430019690032386,-0.69
PLM,Kenya Police,Brian Saina,1,1.7166666666666666,1.0430019690032386,-0.69
PLM,Kenya Police,Joe Oburu,1,1.7166666666666666,1.0430019690032386,-0.69
PLM,Kenya Police,Vincent Odindo,1,1.7166666666666666,1.0430019690032386,-0.69
PLM,Kisumu Youngsters,Asher Ochieng,1,1.7166666666666666,1.0430019690032386,-0.69
PLM,Kisumu Youngsters,Daniel Lopikasha,1,1.7166666666666666,1.0430019690032386,-0.69
PLM,Kisumu Youngsters,Duncan Kachisa,1,1.7166666666666666,1.0430019690032386,-0.69
PLM,Kisumu Youngsters,Ketane Okoth,1,1.7166666666666666,1.0430019690032386,-0.69
