Team,CurrentPoints,ProjectedFinalPoints_Elo,ProjectedFinalPoints_Pythagorean,RemainingFixtures,Competition
GHF Rift Pirates Men,3,10.6,17.0,5,NLM-CZ
Thika Rovers,3,10.4,18.0,5,NLM-CZ
Dukes of Gloucester,3,6.8,5.0,3,NLM-CZ
Nyari Hockey Club,0,6.4,0.0,5,NLM-CZ
Ulinzi Patriots,17,32.6,36.9,10,NLM-EZ
Gorillas,14,28.8,29.9,10,NLM-EZ
UoN Cubs,9,27.6,30.6,13,NLM-EZ
Mombasa West,8,27.4,30.8,13,NLM-EZ
Parklands Sports Club – Legacy,12,26.5,27.9,10,NLM-EZ
Mombasa Sports Club,7,26.1,28.3,13,NLM-EZ
Black Tigers,13,25.5,27.1,9,NLM-EZ
TUK Men,3,25.0,27.0,16,NLM-EZ
Daystar University Men,3,17.2,13.9,12,NLM-EZ
Snippers Hockey Club (Makueni),0,14.4,5.1,12,NLM-EZ
Kisii Falcons,9,14.3,17.7,3,NLM-SZ
Bay Club,6,10.7,13.4,3,NLM-SZ
Gorillas Hockey CLub – Migori,3,6.6,4.3,3,NLM-SZ
Oyugis Hockey Club,0,3.2,0.3,3,NLM-SZ
Kitale Hockey Club,15,23.5,28.1,5,NLM-WZ
Lakers Hockey Club Men,7,15.7,17.5,6,NLM-WZ
Fire Flickers,4,12.5,13.0,6,NLM-WZ
Western Jaguars Dev,0,12.2,0.0,9,NLM-WZ
Nandi Hawks,4,11.6,8.1,6,NLM-WZ
GHF Blue Pirates II,1,8.7,7.0,6,NLM-WZ
Western Jaguars,23,33.9,37.6,7,PLM
Warriors,19,32.2,34.3,8,PLM
Sikh Union Nairobi,18,30.4,31.9,8,PLM
Wazalendo,17,27.3,27.8,7,PLM
Parklands Sports Club,16,26.7,27.0,8,PLM
Daikyo Heroes,16,25.7,25.5,7,PLM
Kenya Police,12,23.5,23.6,8,PLM
Kisumu Youngsters,14,23.2,24.0,7,PLM
USIU – A,10,22.1,21.7,9,PLM
Greensharks,0,6.6,2.9,7,PLM
Blazers Hockey Club,17,35.2,45.5,11,PLW
Lakers Hockey Club,11,29.1,38.8,12,PLW
USIU – A Ladies,13,28.7,33.9,10,PLW
Kisumu Queens,7,24.5,25.0,12,PLW
Strathmore University Ladies,10,24.3,27.8,10,PLW
Amira Sailors Hockey Club,9,24.3,20.6,11,PLW
JKUAT Ladies,0,23.2,0.0,17,PLW
Kenyatta University Ladies,1,22.4,11.1,16,PLW
UON Ladies,5,20.1,18.7,12,PLW
Sliders Hockey Club,5,14.2,6.7,9,PLW
KCA University,18,34.6,41.2,10,SLM
Strathmore University,14,33.8,41.5,12,SLM
Mvita XI,11,31.0,36.6,13,SLM
GHF Blue Pirates,7,27.2,31.6,14,SLM
Impala,11,25.6,25.0,10,SLM
Parkroad Tigers,9,24.1,20.4,12,SLM
UON Men,7,22.9,21.2,12,SLM
Parkroad Badgers,6,19.5,19.9,11,SLM
Nakuru Hockey Club,3,16.5,14.2,11,SLM
Wazalendo Masters,5,15.4,13.2,9,SLM
Twinkle Hockey Club,13,31.8,41.2,11,SLW
Wazalendo Pearls,13,28.9,33.9,10,SLW
Lakers Hockey Club – B,11,25.8,29.0,10,SLW
GHF Rift Pirates Ladies,9,23.4,25.2,10,SLW
Swans Hockey Club,5,20.9,23.0,12,SLW
Black Tigresses,0,19.0,0.0,15,SLW
Mombasa Sports Club Ladies,2,18.5,14.6,12,SLW
Daystar University Ladies,3,16.8,10.0,11,SLW
Gorillas Hockey Club – Ladies,0,16.7,8.2,13,SLW
