Competition,Team,Opponent,Venue,GF,GA,Win,Draw,Loss,Points,CleanSheet,FailedToScore
PLW,Amira Sailors Hockey Club,Blazers Hockey Club,Home,0,3,0,0,1,0,0,1
PLW,Amira Sailors Hockey Club,Sliders Hockey Club,Home,0,0,0,1,0,1,1,1
PLW,Blazers Hockey Club,Kenyatta University Ladies,Home,2,0,1,0,0,3,1,0
PLW,Blazers Hockey Club,Kisumu Queens,Home,1,0,1,0,0,3,1,0
PLW,Blazers Hockey Club,Sliders Hockey Club,Home,3,0,1,0,0,3,1,0
PLW,Kenyatta University Ladies,Sliders Hockey Club,Home,1,1,0,1,0,1,0,0
PLW,Kisumu Queens,Amira Sailors Hockey Club,Home,0,0,0,1,0,1,1,1
PLW,Kisumu Queens,Strathmore University Ladies,Home,2,2,0,1,0,1,0,0
PLW,Kisumu Queens,USIU – A Ladies,Home,0,0,0,1,0,1,1,1
PLW,Lakers Hockey Club,Amira Sailors Hockey Club,Home,2,1,1,0,0,3,0,0
PLW,Lakers Hockey Club,Kisumu Queens,Home,0,0,0,1,0,1,1,1
PLW,Lakers Hockey Club,Strathmore University Ladies,Home,1,1,0,1,0,1,0,0
PLW,Lakers Hockey Club,USIU – A Ladies,Home,0,1,0,0,1,0,0,1
PLW,Sliders Hockey Club,Lakers Hockey Club,Home,0,6,0,0,1,0,0,1
PLW,Sliders Hockey Club,UON Ladies,Home,1,0,1,0,0,3,1,0
PLW,Sliders Hockey Club,USIU – A Ladies,Home,0,2,0,0,1,0,0,1
PLW,Strathmore University Ladies,Amira Sailors Hockey Club,Home,0,0,0,1,0,1,1,1
PLW,Strathmore University Ladies,Blazers Hockey Club,Home,1,3,0,0,1,0,0,0
PLW,Strathmore University Ladies,Sliders Hockey Club,Home,1,0,1,0,0,3,1,0
PLW,Strathmore University Ladies,UON Ladies,Home,1,2,0,0,1,0,0,0
PLW,Strathmore University Ladies,USIU – A Ladies,Home,0,0,0,1,0,1,1,1
PLW,UON Ladies,Amira Sailors Hockey Club,Home,0,1,0,0,1,0,0,1
PLW,UON Ladies,Blazers Hockey Club,Home,0,0,0,1,0,1,1,1
PLW,UON Ladies,Lakers Hockey Club,Home,1,2,0,0,1,0,0,0
PLW,USIU – A Ladies,Amira Sailors Hockey Club,Home,0,1,0,0,1,0,0,1
PLW,USIU – A Ladies,Blazers Hockey Club,Home,2,2,0,1,0,1,0,0
PLW,USIU – A Ladies,JKUAT Ladies,Home,2,0,1,0,0,3,1,0
PLW,USIU – A Ladies,UON Ladies,Home,1,1,0,1,0,1,0,0
PLM,Daikyo Heroes,Greensharks,Home,3,1,1,0,0,3,0,0
PLM,Daikyo Heroes,Kenya Police,Home,3,1,1,0,0,3,0,0
PLM,Daikyo Heroes,Wazalendo,Home,3,2,1,0,0,3,0,0
PLM,Greensharks,Kisumu Youngsters,Home,0,1,0,0,1,0,0,1
PLM,Greensharks,Parklands Sports Club,Home,0,2,0,0,1,0,0,1
PLM,Greensharks,USIU – A,Home,0,2,0,0,1,0,0,1
PLM,Greensharks,Wazalendo,Home,1,2,0,0,1,0,0,0
PLM,Greensharks,Western Jaguars,Home,0,3,0,0,1,0,0,1
PLM,Kenya Police,Greensharks,Home,1,0,1,0,0,3,1,0
PLM,Kenya Police,Kisumu Youngsters,Home,3,3,0,1,0,1,0,0
PLM,Kenya Police,Sikh Union Nairobi,Home,2,3,0,0,1,0,0,0
PLM,Kenya Police,USIU – A,Home,2,2,0,1,0,1,0,0
PLM,Kenya Police,Wazalendo,Home,2,1,1,0,0,3,0,0
PLM,Kenya Police,Western Jaguars,Home,0,0,0,1,0,1,1,1
PLM,Kisumu Youngsters,Daikyo Heroes,Home,0,1,0,0,1,0,0,1
PLM,Kisumu Youngsters,Parklands Sports Club,Home,1,2,0,0,1,0,0,0
PLM,Kisumu Youngsters,Sikh Union Nairobi,Home,1,1,0,1,0,1,0,0
PLM,Kisumu Youngsters,USIU – A,Home,2,0,1,0,0,3,1,0
PLM,Kisumu Youngsters,Warriors,Home,1,0,1,0,0,3,1,0
