Position,Competition,Team,Played,Wins,Draws,Losses,GF,GA,GD,Points,GoalsPerMatch,GoalsAgainstPerMatch,GoalsPerWin
1,NLM-CZ,GHF Rift Pirates Men,1,1,0,0,9,1,8,3,9.0,1.0,9.0
2,NLM-CZ,Thika Rovers,1,1,0,0,8,0,8,3,8.0,0.0,8.0
3,NLM-CZ,Dukes of Gloucester,3,1,0,2,6,17,-11,3,2.0,5.666666666666667,6.0
4,NLM-CZ,Nyari Hockey Club,1,0,0,1,0,5,-5,0,0.0,5.0,
1,NLM-EZ,Ulinzi Patriots,8,5,2,1,14,8,6,17,1.75,1.0,2.8
2,NLM-EZ,Gorillas,8,4,2,2,10,9,1,14,1.25,1.125,2.5
3,NLM-EZ,Black Tigers,9,4,1,4,13,12,1,13,1.4444444444444444,1.3333333333333333,3.25
4,NLM-EZ,Parklands Sports Club – Legacy,8,3,3,2,11,10,1,12,1.375,1.25,3.67
5,NLM-EZ,UoN Cubs,5,3,0,2,6,5,1,9,1.2,1.0,2.0
6,NLM-EZ,Mombasa West,5,2,2,1,8,6,2,8,1.6,1.2,4.0
7,NLM-EZ,Mombasa Sports Club,5,1,4,0,7,6,1,7,1.4,1.2,7.0
8,NLM-EZ,TUK Men,2,1,0,1,4,4,0,3,2.0,2.0,4.0
9,NLM-EZ,Daystar University Men,6,1,0,5,6,12,-6,3,1.0,2.0,6.0
10,NLM-EZ,Snippers Hockey Club (Makueni),6,0,0,6,2,9,-7,0,0.3333333333333333,1.5,
1,NLM-SZ,Kisii Falcons,3,3,0,0,17,1,16,9,5.666666666666667,0.3333333333333333,5.67
2,NLM-SZ,Bay Club,3,2,0,1,11,3,8,6,3.6666666666666665,1.0,5.5
3,NLM-SZ,Gorillas Hockey CLub – Migori,3,1,0,2,3,13,-10,3,1.0,4.333333333333333,3.0
4,NLM-SZ,Oyugis Hockey Club,3,0,0,3,1,15,-14,0,0.3333333333333333,5.0,
1,NLM-WZ,Kitale Hockey Club,5,5,0,0,15,3,12,15,3.0,0.6,3.0
2,NLM-WZ,Lakers Hockey Club Men,4,2,1,1,4,3,1,7,1.0,0.75,2.0
3,NLM-WZ,Fire Flickers,4,1,1,2,5,5,0,4,1.25,1.25,5.0
4,NLM-WZ,Nandi Hawks,4,1,1,2,4,11,-7,4,1.0,2.75,4.0
5,NLM-WZ,GHF Blue Pirates II,4,0,1,3,5,9,-4,1,1.25,2.25,
6,NLM-WZ,Western Jaguars Dev,1,0,0,1,0,2,-2,0,0.0,2.0,
1,PLM,Warriors,9,5,3,1,22,13,9,18,2.4444444444444446,1.4444444444444444,4.4
2,PLM,Western Jaguars,9,5,2,2,20,12,8,17,2.2222222222222223,1.3333333333333333,4.0
3,PLM,Sikh Union Nairobi,9,5,2,2,20,15,5,17,2.2222222222222223,1.6666666666666667,4.0
4,PLM,Daikyo Heroes,9,5,0,4,17,19,-2,15,1.8888888888888888,2.111111111111111,3.4
5,PLM,Wazalendo,9,4,2,3,17,15,2,14,1.8888888888888888,1.6666666666666667,4.25
6,PLM,Parklands Sports Club,9,4,1,4,13,16,-3,13,1.4444444444444444,1.7777777777777777,3.25
7,PLM,Kenya Police,9,2,5,2,14,15,-1,11,1.5555555555555556,1.6666666666666667,7.0
8,PLM,Kisumu Youngsters,9,3,2,4,11,12,-1,11,1.2222222222222223,1.3333333333333333,3.67
9,PLM,USIU – A,9,3,1,5,12,15,-3,10,1.3333333333333333,1.6666666666666667,4.0
10,PLM,Greensharks,9,0,0,9,4,18,-14,0,0.4444444444444444,2.0,
1,PLW,Blazers Hockey Club,7,5,2,0,14,3,11,17,2.0,0.4285714285714285,2.8
2,PLW,USIU – A Ladies,8,3,4,1,8,4,4,13,1.0,0.5,2.67
3,PLW,Lakers Hockey Club,6,3,2,1,11,4,7,11,1.8333333333333333,0.6666666666666666,3.67
4,PLW,Amira Sailors Hockey Club,7,2,3,2,3,5,-2,9,0.4285714285714285,0.7142857142857143,1.5
5,PLW,Strathmore University Ladies,7,1,4,2,6,8,-2,7,0.8571428571428571,1.1428571428571428,6.0
6,PLW,UON Ladies,6,1,2,3,4,6,-2,5,0.6666666666666666,1.0,4.0
7,PLW,Sliders Hockey Club,7,1,2,4,2,13,-11,5,0.2857142857142857,1.8571428571428568,2.0
8,PLW,Kisumu Queens,5,0,4,1,2,3,-1,4,0.4,0.6,
9,PLW,Kenyatta University Ladies,2,0,1,1,1,3,-2,1,0.5,1.5,
10,PLW,JKUAT Ladies,1,0,0,1,0,2,-2,0,0.0,2.0,
1,SLM,KCA University,8,6,0,2,25,9,16,18,3.125,1.125,4.17
2,SLM,Strathmore University,6,4,2,0,16,6,10,14,2.6666666666666665,1.0,4.0
3,SLM,Mvita XI,5,3,2,0,12,7,5,11,2.4,1.4,4.0
4,SLM,Impala,8,2,5,1,17,19,-2,11,2.125,2.375,8.5
5,SLM,Parkroad Tigers,6,3,0,3,9,17,-8,9,1.5,2.833333333333333,3.0
6,SLM,GHF Blue Pirates,4,2,1,1,4,3,1,7,1.0,0.75,2.0
7,SLM,UON Men,6,2,1,3,7,10,-3,7,1.1666666666666667,1.6666666666666667,3.5
8,SLM,Parkroad Badgers,7,2,0,5,13,17,-4,6,1.8571428571428568,2.4285714285714284,6.5
9,SLM,Wazalendo Masters,9,1,2,6,9,18,-9,5,1.0,2.0,9.0
10,SLM,Nakuru Hockey Club,7,0,3,4,8,14,-6,3,1.1428571428571428,2.0,
1,SLW,Twinkle Hockey Club,5,4,1,0,13,3,10,13,2.6,0.6,3.25
2,SLW,Wazalendo Pearls,6,4,1,1,10,5,5,13,1.6666666666666667,0.8333333333333334,2.5
3,SLW,Lakers Hockey Club – B,6,3,2,1,7,5,2,11,1.1666666666666667,0.8333333333333334,2.33
4,SLW,GHF Rift Pirates Ladies,6,3,0,3,8,7,1,9,1.3333333333333333,1.1666666666666667,2.67
5,SLW,Swans Hockey Club,4,1,2,1,4,4,0,5,1.0,1.0,4.0
6,SLW,Daystar University Ladies,5,1,0,4,3,9,-6,3,0.6,1.8,3.0
7,SLW,Mombasa Sports Club Ladies,4,0,2,2,3,5,-2,2,0.75,1.25,
8,SLW,Gorillas Hockey Club – Ladies,3,0,0,3,2,6,-4,0,0.6666666666666666,2.0,
9,SLW,Black Tigresses,1,0,0,1,0,6,-6,0,0.0,6.0,
