Competition,Team,TotalGoals,UniqueScorers,SetPieceGoals,SetPieceShare,Profile
PLM,Daikyo Heroes,11,7,0,,No Set-Piece Data Available
PLM,Greensharks,1,1,0,,No Set-Piece Data Available
PLM,Kenya Police,11,6,0,,No Set-Piece Data Available
PLM,Kisumu Youngsters,9,6,0,,No Set-Piece Data Available
PLM,Parklands Sports Club,10,6,0,,No Set-Piece Data Available
PLM,Sikh Union Nairobi,15,7,0,,No Set-Piece Data Available
PLM,USIU – A,9,7,0,,No Set-Piece Data Available
PLM,Warriors,12,7,0,,No Set-Piece Data Available
PLM,Wazalendo,11,5,0,,No Set-Piece Data Available
PLM,Western Jaguars,14,8,0,,No Set-Piece Data Available
PLW,Amira Sailors Hockey Club,1,1,0,,No Set-Piece Data Available
PLW,Blazers Hockey Club,8,5,0,,No Set-Piece Data Available
PLW,Kenyatta University Ladies,1,1,0,,No Set-Piece Data Available
PLW,Lakers Hockey Club,1,1,0,,No Set-Piece Data Available
PLW,Sliders Hockey Club,1,1,0,,No Set-Piece Data Available
PLW,Strathmore University Ladies,3,2,0,,No Set-Piece Data Available
PLW,UON Ladies,3,3,0,,No Set-Piece Data Available
PLW,USIU – A Ladies,3,2,0,,No Set-Piece Data Available
