Competition,Team,TopScorerShare,UniqueScorers,TotalGoals,ReliancFlag
PLM,Greensharks,100.0,1,1,High Reliance — Vulnerable
PLM,Kisumu Youngsters,44.4,6,9,High Reliance — Vulnerable
PLM,Sikh Union Nairobi,40.0,7,15,High Reliance — Vulnerable
PLM,Kenya Police,36.4,6,11,Moderate Reliance
PLM,Wazalendo,36.4,5,11,Moderate Reliance
PLM,Warriors,33.3,7,12,Moderate Reliance
PLM,Parklands Sports Club,30.0,6,10,Moderate Reliance
PLM,USIU – A,22.2,7,9,Well Distributed
PLM,Western Jaguars,21.4,8,14,Well Distributed
PLM,Daikyo Heroes,18.2,7,11,Well Distributed
PLW,Amira Sailors Hockey Club,100.0,1,1,High Reliance — Vulnerable
PLW,Kenyatta University Ladies,100.0,1,1,High Reliance — Vulnerable
PLW,Lakers Hockey Club,100.0,1,1,High Reliance — Vulnerable
PLW,Sliders Hockey Club,100.0,1,1,High Reliance — Vulnerable
PLW,Strathmore University Ladies,66.7,2,3,High Reliance — Vulnerable
PLW,USIU – A Ladies,66.7,2,3,High Reliance — Vulnerable
PLW,UON Ladies,33.3,3,3,Moderate Reliance
PLW,Blazers Hockey Club,25.0,5,8,Moderate Reliance
