Competition,Team,LongestWinStreak,LongestUnbeatenStreak,LongestLossStreak,LongestDrawStreak,LongestNoWinStreak,CurrentStreak,CurrentStreakType
NLM-CZ,GHF Rift Pirates Men,1,1,0,0,0,1,W
NLM-CZ,Thika Rovers,1,1,0,0,0,1,W
NLM-CZ,Dukes of Gloucester,1,1,2,0,2,2,L
NLM-CZ,Nyari Hockey Club,0,0,1,0,1,1,L
NLM-EZ,Ulinzi Patriots,2,5,1,2,2,2,W
NLM-EZ,Gorillas,2,3,1,2,3,2,W
NLM-EZ,Black Tigers,1,2,1,1,2,1,L
NLM-EZ,Parklands Sports Club – Legacy,2,6,1,2,3,1,L
NLM-EZ,UoN Cubs,2,2,1,0,1,1,W
NLM-EZ,Mombasa West,2,4,1,1,2,1,D
NLM-EZ,Mombasa Sports Club,1,5,0,4,4,4,D
NLM-EZ,TUK Men,1,1,1,0,1,1,W
NLM-EZ,Daystar University Men,1,1,4,0,4,1,L
NLM-EZ,Snippers Hockey Club (Makueni),0,0,6,0,6,6,L
NLM-SZ,Kisii Falcons,3,3,0,0,0,3,W
NLM-SZ,Bay Club,2,2,1,0,1,2,W
NLM-SZ,Gorillas Hockey CLub – Migori,1,1,1,0,1,1,L
NLM-SZ,Oyugis Hockey Club,0,0,3,0,3,3,L
NLM-WZ,Kitale Hockey Club,5,5,0,0,0,5,W
NLM-WZ,Lakers Hockey Club Men,2,3,1,1,1,1,L
NLM-WZ,Fire Flickers,1,1,1,1,2,1,L
NLM-WZ,Nandi Hawks,1,2,2,1,3,2,L
NLM-WZ,GHF Blue Pirates II,0,1,3,1,4,1,D
NLM-WZ,Western Jaguars Dev,0,0,1,0,1,1,L
PLM,Warriors,3,6,1,2,2,2,W
PLM,Western Jaguars,2,4,1,1,2,1,W
PLM,Sikh Union Nairobi,4,5,1,1,4,1,W
PLM,Daikyo Heroes,2,2,2,0,2,2,L
PLM,Wazalendo,3,5,2,1,3,1,L
PLM,Parklands Sports Club,2,3,3,1,3,1,W
PLM,Kenya Police,2,3,1,3,7,2,W
PLM,Kisumu Youngsters,1,3,2,2,3,1,W
PLM,USIU – A,3,3,5,1,6,3,W
PLM,Greensharks,0,0,9,0,9,9,L
PLW,Blazers Hockey Club,4,7,0,2,2,1,W
PLW,USIU – A Ladies,2,7,1,2,2,1,L
PLW,Lakers Hockey Club,3,3,1,2,3,3,W
PLW,Amira Sailors Hockey Club,1,3,1,3,5,1,W
PLW,Kisumu Queens,1,4,1,4,5,1,W
PLW,Strathmore University Ladies,1,4,2,3,6,1,W
PLW,UON Ladies,1,3,2,2,4,2,L
PLW,Sliders Hockey Club,1,2,4,2,6,1,L
PLW,Kenyatta University Ladies,0,1,1,1,2,1,D
PLW,JKUAT Ladies,0,0,1,0,1,1,L
SLM,KCA University,4,4,1,0,1,1,L
SLM,Strathmore University,2,6,0,1,1,2,W
SLM,Mvita XI,2,5,0,1,1,1,D
SLM,Impala,1,4,1,2,4,1,D
SLM,Parkroad Tigers,2,2,3,0,3,2,W
SLM,GHF Blue Pirates,2,2,1,1,2,1,D
SLM,UON Men,1,2,2,1,3,1,W
SLM,Parkroad Badgers,2,2,3,0,3,3,L
SLM,Wazalendo Masters,1,1,5,1,8,1,W
SLM,Nakuru Hockey Club,0,2,3,2,7,1,D
SLW,Twinkle Hockey Club,2,5,0,1,1,2,W
SLW,Wazalendo Pearls,3,5,1,1,1,3,W
SLW,Lakers Hockey Club – B,3,4,1,1,2,1,D
SLW,GHF Rift Pirates Ladies,2,2,1,0,1,1,L
SLW,Swans Hockey Club,1,2,1,2,3,1,W
SLW,Daystar University Ladies,1,1,3,0,3,1,L
SLW,Mombasa Sports Club Ladies,0,1,2,1,4,1,D
SLW,Gorillas Hockey Club – Ladies,0,0,3,0,3,3,L
SLW,Black Tigresses,0,0,1,0,1,1,L
