Competition,Team,Player,Goals,TeamGoals,ContributionPercent
PLM,Greensharks,Daniel Solomon Obunyasi,1,1,100.0
PLM,Kisumu Youngsters,Malack Masese,4,9,44.4
PLM,Sikh Union Nairobi,Mathias Gularire,6,15,40.0
PLM,Kenya Police,Robert Masibo,4,11,36.4
PLM,Wazalendo,Job Wandera,4,11,36.4
PLM,Warriors,Calvins Kanu Omondi,4,12,33.3
PLM,Parklands Sports Club,Eudgas Lirhu,3,10,30.0
PLM,USIU – A,Danstone Wabwire,2,9,22.2
PLM,USIU – A,Lawrence Makhatsa,2,9,22.2
PLM,Western Jaguars,Sheldone Kimtai,3,14,21.4
PLM,Daikyo Heroes,Bonny Ndombi,2,11,18.2
PLM,Daikyo Heroes,Esbon Ombui,2,11,18.2
PLM,Daikyo Heroes,Farhan Khan,2,11,18.2
PLM,Daikyo Heroes,Khizar Akhtar,2,11,18.2
PLW,Amira Sailors Hockey Club,Yvette Kanyadong,1,1,100.0
PLW,Kenyatta University Ladies,Jochebed Cherono,1,1,100.0
PLW,Lakers Hockey Club,Maurine Owiti,1,1,100.0
PLW,Sliders Hockey Club,Margaret Mawombe,1,1,100.0
PLW,Strathmore University Ladies,Grace Bwire,2,3,66.7
PLW,USIU – A Ladies,Lynn Mwangi,2,3,66.7
PLW,UON Ladies,Clementine Sims,1,3,33.3
PLW,UON Ladies,Mitchelle Akoth,1,3,33.3
PLW,UON Ladies,Noela Kimathi,1,3,33.3
PLW,Blazers Hockey Club,Audrey Omaido,2,8,25.0
PLW,Blazers Hockey Club,Carol Guchu,2,8,25.0
PLW,Blazers Hockey Club,Joan Anjao,2,8,25.0
