Competition,Date,Team,Opponent,GF,GA,Venue,Win,Draw,Loss,Points,Last5Points
NLM-CZ,2026-06-06,Dukes of Gloucester,Nyari Hockey Club,5,0,Home,1,0,0,3,
NLM-CZ,2026-06-07,Dukes of Gloucester,Thika Rovers,0,8,Away,0,0,1,0,
NLM-CZ,2026-06-21,Dukes of Gloucester,GHF Rift Pirates Men,1,9,Away,0,0,1,0,
NLM-CZ,2026-06-21,GHF Rift Pirates Men,Dukes of Gloucester,9,1,Home,1,0,0,3,
NLM-CZ,2026-06-06,Nyari Hockey Club,Dukes of Gloucester,0,5,Away,0,0,1,0,
NLM-CZ,2026-06-07,Thika Rovers,Dukes of Gloucester,8,0,Home,1,0,0,3,
NLM-EZ,2026-06-06,Black Tigers,UoN Cubs,1,0,Home,1,0,0,3,
NLM-EZ,2026-06-07,Black Tigers,TUK Men,2,3,Away,0,0,1,0,
NLM-EZ,2026-06-13,Black Tigers,Snippers Hockey Club (Makueni),1,0,Away,1,0,0,3,
NLM-EZ,2026-07-04,Black Tigers,Mombasa West,1,3,Away,0,0,1,0,
NLM-EZ,2026-07-05,Black Tigers,Mombasa Sports Club,1,1,Away,0,1,0,1,7.0
NLM-EZ,2026-07-11,Black Tigers,Parklands Sports Club – Legacy,2,1,Home,1,0,0,3,7.0
NLM-EZ,2026-07-12,Black Tigers,Ulinzi Patriots,1,2,Away,0,0,1,0,7.0
NLM-EZ,2026-07-18,Black Tigers,Daystar University Men,4,1,Home,1,0,0,3,7.0
NLM-EZ,2026-07-19,Black Tigers,Gorillas,0,1,Home,0,0,1,0,7.0
NLM-EZ,2026-06-13,Daystar University Men,Ulinzi Patriots,1,2,Home,0,0,1,0,
NLM-EZ,2026-06-14,Daystar University Men,UoN Cubs,0,1,Away,0,0,1,0,
NLM-EZ,2026-06-27,Daystar University Men,Parklands Sports Club – Legacy,0,1,Home,0,0,1,0,
NLM-EZ,2026-07-04,Daystar University Men,Gorillas,2,3,Home,0,0,1,0,
NLM-EZ,2026-07-11,Daystar University Men,Snippers Hockey Club (Makueni),2,1,Away,1,0,0,3,3.0
NLM-EZ,2026-07-18,Daystar University Men,Black Tigers,1,4,Away,0,0,1,0,3.0
NLM-EZ,2026-06-06,Gorillas,TUK Men,2,1,Away,1,0,0,3,
NLM-EZ,2026-06-07,Gorillas,Ulinzi Patriots,0,2,Home,0,0,1,0,
NLM-EZ,2026-06-20,Gorillas,Snippers Hockey Club (Makueni),1,0,Home,1,0,0,3,
