Team,Player,Goals
Warriors,Festus Onyango,12
USIU – A,Danstone Wabwire,7
Kenya Police,Titus Kimutai,7
Wazalendo,Cliffe Omari,7
Blazers Hockey Club,Carol Guchu,6
Parklands Sports Club,Dan Onyango,5
USIU – A Ladies,Lynn Mwangi,5
Western Jaguars,Emmanuel Awino,5
Daikyo Heroes,Farhan Khan,4
KCA University,Arnold Marango,4
Daystar University Men,Glenn Adolwa,4
Kisumu Youngsters,Malack Masese,4
Parklands Sports Club – Legacy,Brian Bhukumi,4
Greensharks,Daniel Solomon Obunyasi,3
Mombasa Sports Club Ladies,Esther Mwikali,3
Lakers Hockey Club,Alice Owiti,3
Twinkle Hockey Club,Consolata Majengo,3
Wazalendo Pearls,Rhoda Kuira,3
Amira Sailors Hockey Club,Gilly Okumu,2
Wazalendo Masters,Erick Otieno,2
UON Men,Kennedy Oluoch,2
UON Ladies,Millicent Ayako,2
Strathmore University Ladies,Racheal Khamala,2
Strathmore University,Noel Cheboi Lormotum,2
Kisumu Queens,Angella Akello,2
Lakers Hockey Club Men,Allan Muhuti,2
Sliders Hockey Club,Anita Agunda,2
Sikh Union Nairobi,Haggai Pepela Sikhila,2
GHF Rift Pirates Ladies,Lucy Mungai,2
Kenyatta University Ladies,Espirancer Gitu,2
Kaimosi Uni,Andrew Masiga,1
Black Tigresses,Jeniffer Aloo,1
Daystar University Ladies,Redempter Willy,1
Gorillas,Joseph Mwanzanje,1
Kenyatta University Men,Bradley Kiptoo,1
Multimedia University,Silima Ian,1
Parkroad Tigers,Gordon Oduor,1
Mvita XI,Samuel Nandwa,1
JKUAT Ladies,Tabitha Njeri,1
JKUAT,Wilson Woodrow,1
Kitale Hockey Club,Laban Kibet,1
Mombasa Sports Club,Wilson Wechuli,1
Nakuru Hockey Club,Dolcan Mugaisi,1
Swans Hockey Club,Valentine Akinyi,1
Mombasa West,Emmanuel Thoya,1
UoN Cubs,David Mutinda,1
Parkroad Badgers,Victor Juma,1
Kisii University,Tonny Rogers,0
Gorillas Hockey Club – Ladies,Millicovia N. Ochieng,0
Black Tigers,Bob Odhiambo,0
Lakers Hockey Club – B,Jane Andala,0
