Competition,Team,Player,Goals
PLM,Daikyo Heroes,Bonny Ndombi,2
PLM,Daikyo Heroes,Esbon Ombui,2
PLM,Daikyo Heroes,Farhan Khan,2
PLM,Daikyo Heroes,Joseph Kasua,1
PLM,Daikyo Heroes,Khizar Akhtar,1
PLM,Daikyo Heroes,Lawrence Okongo,1
PLM,Greensharks,Daniel Solomon Obunyasi,1
PLM,Kenya Police,Robert Masibo,4
PLM,Kenya Police,Brian Saina,1
PLM,Kenya Police,Kennedy Sibweche,1
PLM,Kenya Police,Willis Okeyo,1
PLM,Kisumu Youngsters,Malack Masese,4
PLM,Kisumu Youngsters,Duncan Kachisa,1
PLM,Kisumu Youngsters,Ketane Okoth,1
PLM,Parklands Sports Club,Eudgas Lirhu,3
PLM,Parklands Sports Club,William Kirwa,2
PLM,Parklands Sports Club,Erick Kidwaro,1
PLM,Parklands Sports Club,Kennedy Wanyonyi,1
PLM,Parklands Sports Club,Moses Omamu,1
PLM,Parklands Sports Club,Valentine Keya,1
PLM,Sikh Union Nairobi,Mathias Gularire,6
PLM,Sikh Union Nairobi,Cliff Omari,3
PLM,Sikh Union Nairobi,Kabir Bhamra,2
PLM,Sikh Union Nairobi,Fofana Mohammed,1
PLM,Sikh Union Nairobi,Kit Garner,1
PLM,USIU – A,Danstone Wabwire,2
PLM,USIU – A,Lawrence Makhatsa,2
PLM,USIU – A,Borris Lukurito,1
PLM,USIU – A,Robinson Omutekete,1
PLM,USIU – A,Wayne Kipkorir Chongwony,1
PLM,Warriors,Calvins Kanu Omondi,3
PLM,Warriors,Festus Onyango,2
PLM,Warriors,Edson Ndombi,1
PLM,Warriors,Francis Kariuki,1
PLM,Warriors,Frankline Wakhongo,1
PLM,Warriors,George Mutira,1
PLM,Warriors,Paul Omariba,1
PLM,Wazalendo,Job Wandera,4
PLM,Wazalendo,Mathew Momanyi,2
PLM,Wazalendo,Michael Mboya,2
PLM,Wazalendo,Austin Mutua,1
PLM,Wazalendo,Isaac Nandukele,1
PLM,Western Jaguars,Sheldone Kimtai,3
PLM,Western Jaguars,Emmanuel Wiswa,2
PLM,Western Jaguars,Godfrey Fedha,2
PLM,Western Jaguars,Alex Taiswa,1
PLM,Western Jaguars,Bethuel Masambu,1
PLM,Western Jaguars,Charles Otieno,1
PLM,Western Jaguars,Ivan Ludiali,1
PLW,Amira Sailors Hockey Club,Yvette Kanyadong,1
PLW,Blazers Hockey Club,Audrey Omaido,2
PLW,Blazers Hockey Club,Caroline Guchu,2
PLW,Blazers Hockey Club,Joan Ajao,2
PLW,Blazers Hockey Club,Amanda Ijai,1
PLW,Blazers Hockey Club,Vivian Onyango,1
PLW,Kenyatta University Ladies,Jochebed Cherono,1
PLW,Lakers Hockey Club,Maurine Owiti,1
PLW,Sliders Hockey Club,Margaret Mawombe,1
PLW,Strathmore University Ladies,Grace Bwire,2
PLW,Strathmore University Ladies,Nichole Joy,1
PLW,UON Ladies,Clementine Sims,1
PLW,UON Ladies,Mitchell Akoth,1
PLW,UON Ladies,Noela Kimathi,1
PLW,USIU – A Ladies,Lynn Mwangi,2
PLW,USIU – A Ladies,Grace Makoha,1
