Competition,Team,AttackStrength,DefenceStrength,OverallStrength
NLM-CZ,GHF Rift Pirates Men,1.89,2.92,2.4
NLM-CZ,Thika Rovers,1.68,8.08,4.88
NLM-CZ,Dukes of Gloucester,0.42,0.51,0.46
NLM-CZ,Nyari Hockey Club,0.0,0.58,0.29
NLM-EZ,Ulinzi Patriots,1.31,1.36,1.34
NLM-EZ,Gorillas,0.94,1.21,1.08
NLM-EZ,Black Tigers,1.08,1.02,1.05
NLM-EZ,Parklands Sports Club – Legacy,1.03,1.09,1.06
NLM-EZ,UoN Cubs,0.9,1.36,1.13
NLM-EZ,Mombasa West,1.2,1.13,1.16
NLM-EZ,Mombasa Sports Club,1.05,1.13,1.09
NLM-EZ,TUK Men,1.5,0.68,1.09
NLM-EZ,Daystar University Men,0.75,0.68,0.72
NLM-EZ,Snippers Hockey Club (Makueni),0.25,0.91,0.58
NLM-SZ,Kisii Falcons,2.13,8.08,5.11
NLM-SZ,Bay Club,1.38,2.66,2.02
NLM-SZ,Gorillas Hockey CLub – Migori,0.37,0.62,0.5
NLM-SZ,Oyugis Hockey Club,0.12,0.53,0.32
NLM-WZ,Kitale Hockey Club,2.4,2.67,2.54
NLM-WZ,Lakers Hockey Club Men,0.8,2.13,1.46
NLM-WZ,Fire Flickers,1.0,1.28,1.14
NLM-WZ,Nandi Hawks,0.8,0.58,0.69
NLM-WZ,GHF Blue Pirates II,1.0,0.71,0.86
NLM-WZ,Western Jaguars Dev,0.0,0.8,0.4
PLM,Warriors,1.47,1.16,1.32
PLM,Western Jaguars,1.33,1.25,1.29
PLM,Sikh Union Nairobi,1.33,1.0,1.16
PLM,Daikyo Heroes,1.14,0.79,0.96
PLM,Wazalendo,1.14,1.0,1.07
PLM,Parklands Sports Club,0.86,0.94,0.9
PLM,Kenya Police,0.94,1.0,0.97
PLM,Kisumu Youngsters,0.73,1.25,0.99
PLM,USIU – A,0.8,1.0,0.9
PLM,Greensharks,0.26,0.83,0.54
PLW,Blazers Hockey Club,2.51,2.42,2.46
PLW,USIU – A Ladies,1.25,2.08,1.66
PLW,Lakers Hockey Club,2.29,1.55,1.92
PLW,Amira Sailors Hockey Club,0.54,1.47,1.0
PLW,Strathmore University Ladies,1.08,0.91,1.0
PLW,UON Ladies,0.84,1.04,0.94
PLW,Sliders Hockey Club,0.36,0.56,0.46
PLW,Kisumu Queens,0.5,1.74,1.12
PLW,Kenyatta University Ladies,0.63,0.69,0.66
PLW,JKUAT Ladies,0.0,0.52,0.26
SLM,KCA University,1.74,1.57,1.66
SLM,Strathmore University,1.48,1.76,1.62
SLM,Mvita XI,1.33,1.26,1.3
SLM,Impala,1.18,0.74,0.96
SLM,Parkroad Tigers,0.83,0.62,0.72
SLM,GHF Blue Pirates,0.56,2.34,1.45
SLM,UON Men,0.65,1.05,0.85
SLM,Parkroad Badgers,1.03,0.72,0.88
SLM,Wazalendo Masters,0.56,0.88,0.72
SLM,Nakuru Hockey Club,0.63,0.88,0.76
SLW,Twinkle Hockey Club,2.39,2.87,2.63
SLW,Wazalendo Pearls,1.54,2.07,1.8
SLW,Lakers Hockey Club – B,1.08,2.07,1.58
SLW,GHF Rift Pirates Ladies,1.22,1.47,1.34
SLW,Swans Hockey Club,0.92,1.72,1.32
SLW,Daystar University Ladies,0.55,0.96,0.76
SLW,Mombasa Sports Club Ladies,0.69,1.38,1.03
SLW,Gorillas Hockey Club – Ladies,0.62,0.86,0.74
SLW,Black Tigresses,0.0,0.29,0.14
