,Competition,Team,Matches,GoalsFor,GoalsAgainst,Wins,Draws,Losses,GoalDifference
0,NLM-CZ,Dukes of Gloucester,3,6,17,1,0,2,-11
1,NLM-CZ,GHF Rift Pirates Men,1,9,1,1,0,0,8
2,NLM-CZ,Nyari Hockey Club,1,0,5,0,0,1,-5
3,NLM-CZ,Thika Rovers,1,8,0,1,0,0,8
4,NLM-EZ,Black Tigers,9,13,12,4,1,4,1
5,NLM-EZ,Daystar University Men,6,6,12,1,0,5,-6
6,NLM-EZ,Gorillas,8,10,9,4,2,2,1
7,NLM-EZ,Mombasa Sports Club,5,7,6,1,4,0,1
8,NLM-EZ,Mombasa West,5,8,6,2,2,1,2
9,NLM-EZ,Parklands Sports Club – Legacy,8,11,10,3,3,2,1
10,NLM-EZ,Snippers Hockey Club (Makueni),6,2,9,0,0,6,-7
11,NLM-EZ,TUK Men,2,4,4,1,0,1,0
12,NLM-EZ,Ulinzi Patriots,8,14,8,5,2,1,6
13,NLM-EZ,UoN Cubs,5,6,5,3,0,2,1
14,NLM-SZ,Bay Club,3,11,3,2,0,1,8
15,NLM-SZ,Gorillas Hockey CLub – Migori,3,3,13,1,0,2,-10
16,NLM-SZ,Kisii Falcons,3,17,1,3,0,0,16
17,NLM-SZ,Oyugis Hockey Club,3,1,15,0,0,3,-14
18,NLM-WZ,Fire Flickers,4,5,5,1,1,2,0
19,NLM-WZ,GHF Blue Pirates II,4,5,9,0,1,3,-4
20,NLM-WZ,Kitale Hockey Club,5,15,3,5,0,0,12
21,NLM-WZ,Lakers Hockey Club Men,4,4,3,2,1,1,1
22,NLM-WZ,Nandi Hawks,4,4,11,1,1,2,-7
23,NLM-WZ,Western Jaguars Dev,1,0,2,0,0,1,-2
24,PLM,Daikyo Heroes,11,18,21,5,1,5,-3
25,PLM,Greensharks,11,5,23,0,0,11,-18
26,PLM,Kenya Police,10,16,17,2,6,2,-1
27,PLM,Kisumu Youngsters,11,13,14,4,2,5,-1
28,PLM,Parklands Sports Club,10,14,16,5,1,4,-2
29,PLM,Sikh Union Nairobi,10,21,16,5,3,2,5
30,PLM,USIU – A,9,12,15,3,1,5,-3
31,PLM,Warriors,10,24,15,5,4,1,9
32,PLM,Wazalendo,11,19,18,5,2,4,1
33,PLM,Western Jaguars,11,26,13,7,2,2,13
34,PLW,Amira Sailors Hockey Club,7,3,5,2,3,2,-2
35,PLW,Blazers Hockey Club,7,14,3,5,2,0,11
36,PLW,JKUAT Ladies,1,0,2,0,0,1,-2
37,PLW,Kenyatta University Ladies,2,1,3,0,1,1,-2
38,PLW,Kisumu Queens,6,3,3,1,4,1,0
39,PLW,Lakers Hockey Club,6,11,4,3,2,1,7
40,PLW,Sliders Hockey Club,9,2,19,1,2,6,-17
41,PLW,Strathmore University Ladies,8,11,8,2,4,2,3
42,PLW,UON Ladies,6,4,6,1,2,3,-2
43,PLW,USIU – A Ladies,8,8,4,3,4,1,4
44,SLM,GHF Blue Pirates,4,4,3,2,1,1,1
45,SLM,Impala,8,17,19,2,5,1,-2
46,SLM,KCA University,8,25,9,6,0,2,16
47,SLM,Mvita XI,5,12,7,3,2,0,5
48,SLM,Nakuru Hockey Club,7,8,14,0,3,4,-6
49,SLM,Parkroad Badgers,7,13,17,2,0,5,-4
50,SLM,Parkroad Tigers,6,9,17,3,0,3,-8
51,SLM,Strathmore University,6,16,6,4,2,0,10
52,SLM,UON Men,6,7,10,2,1,3,-3
53,SLM,Wazalendo Masters,9,9,18,1,2,6,-9
54,SLW,Black Tigresses,1,0,6,0,0,1,-6
55,SLW,Daystar University Ladies,5,3,9,1,0,4,-6
56,SLW,GHF Rift Pirates Ladies,6,8,7,3,0,3,1
57,SLW,Gorillas Hockey Club – Ladies,3,2,6,0,0,3,-4
58,SLW,Lakers Hockey Club – B,6,7,5,3,2,1,2
59,SLW,Mombasa Sports Club Ladies,4,3,5,0,2,2,-2
60,SLW,Swans Hockey Club,4,4,4,1,2,1,0
61,SLW,Twinkle Hockey Club,5,13,3,4,1,0,10
62,SLW,Wazalendo Pearls,6,10,5,4,1,1,5
