Competition,Team,Player,Goals
PLM,Sikh Union Nairobi,Mathias Gularire,6
PLM,Kenya Police,Robert Masibo,4
PLM,Wazalendo,Job Wandera,4
PLM,Kisumu Youngsters,Malack Masese,4
PLM,Parklands Sports Club,Eudgas Lirhu,3
PLM,Warriors,Calvins Kanu Omondi,3
PLM,Western Jaguars,Sheldone Kimtai,3
PLM,Daikyo Heroes,Esbon Ombui,2
PLW,Blazers Hockey Club,Caroline Guchu,2
PLM,USIU – A,Lawrence Makhatsa,2
PLW,Strathmore University Ladies,Grace Bwire,2
PLW,USIU – A Ladies,Lynn Mwangi,2
PLW,Amira Sailors Hockey Club,Yvette Kanyadong,1
PLW,Kenyatta University Ladies,Jochebed Cherono,1
PLW,Lakers Hockey Club,Maurine Owiti,1
PLW,Sliders Hockey Club,Margaret Mawombe,1
PLW,UON Ladies,Clementine Sims,1
PLM,Greensharks,Daniel Solomon Obunyasi,1
