PoolRank,Team,Played,Won,Drawn,Lost,ScoredFor,ScoredAgainst,GoalDiff,Points,Pool,Gender
1,Netherlands,3,3,0,0,15,2,13,9,A,Women
2,Australia,3,1,1,1,8,8,0,4,A,Women
3,Japan,3,1,0,2,3,11,-8,3,A,Women
4,Chile,3,0,1,2,4,9,-5,1,A,Women
1,Argentina,3,2,1,0,6,3,3,7,B,Women
2,Germany,3,2,0,1,8,4,4,6,B,Women
3,United States,3,1,1,1,5,6,-1,4,B,Women
4,Scotland,3,0,0,3,2,8,-6,0,B,Women
1,Belgium,3,2,1,0,8,4,4,7,C,Women
2,Spain,3,2,1,0,7,3,4,7,C,Women
3,Ireland,3,1,0,2,6,7,-1,3,C,Women
4,New Zealand,3,0,0,3,4,11,-7,0,C,Women
1,China,3,2,1,0,11,5,6,7,D,Women
2,India,3,1,2,0,8,3,5,5,D,Women
3,England,3,1,1,1,6,4,2,4,D,Women
4,South Africa,3,0,0,3,2,15,-13,0,D,Women
