Team,Goals,FieldGoals,PenaltyCorners,PenaltyStrokes,PenaltyStrokesMissed,Gender,FGShare,PCShare,PSShare
Netherlands,12,3,6,5,1,Men,25.0,50.0,41.7
Argentina,11,4,7,3,1,Men,36.4,63.6,27.3
India,10,8,3,6,1,Men,80.0,30.0,60.0
Belgium,8,6,4,4,0,Men,75.0,50.0,50.0
Germany,7,2,5,2,0,Men,28.6,71.4,28.6
Spain,6,3,5,1,0,Men,50.0,83.3,16.7
Australia,6,3,1,4,1,Men,50.0,16.7,66.7
China,11,5,6,4,1,Women,45.5,54.5,36.4
India,8,3,5,3,0,Women,37.5,62.5,37.5
Belgium,8,4,4,4,0,Women,50.0,50.0,50.0
Germany,8,4,4,2,2,Women,50.0,50.0,25.0
Australia,8,8,2,5,1,Women,100.0,25.0,62.5
Spain,7,3,4,3,0,Women,42.9,57.1,42.9
England,6,4,4,2,0,Women,66.7,66.7,33.3
Argentina,6,3,2,3,1,Women,50.0,33.3,50.0
