Edition,City,Gold,Silver,Bronze,Category,KenyaInvolved
ACCC 1988,Cairo (Men),Sharkia Club (Egypt),Bendel Flickers Club (Nigeria),Police Union Club (Egypt),Historical,False
ACCC 1988,Blantyre (Men),Sharkia Club (Egypt),Zamalek Club (Egypt),Union Bank Club (Nigeria),Historical,False
ACCC 1990,Casablanca (Men),Sharkia Club (Egypt),Simba Union Club (Kenya),Golden Sticks (Ghana),Historical,True
ACCC 1991,Bulawayo (Men),Sharkia Club (Egypt),Exchequers Club (Ghana),Queens Club (Zimbabwe),Historical,False
ACCC 1992,Nairobi (Men),Sharkia Club (Egypt),Simba Union Club (Kenya),Trustee Club (Ghana),Historical,True
ACCC 1993,Cairo (Men),Sharkia Club (Egypt),Jeppe Quondam (RSA),Police Union Club (Egypt),Historical,False
ACCC 1994,Blantyre (Men),Sharkia Club (Egypt),Technikon Natal (RSA),Steel & Iron Club (Egypt),Historical,False
ACCC 1995,Accra (Men),Sharkia Club (Egypt),Yobe Desert Rollers (Nigeria),Police Union Club (Egypt),Historical,False
ACCC 1996,Bulawayo (Men),Sharkia Club (Egypt),Steel & Iron Club (Egypt),Supa Sweet Wits (Egypt),Historical,False
ACCC 1996,Bulawayo (Women),Old Hararians (Zimbabwe),Ramblers Club (Namibia),Bulawayo Athletic Club (Zimbabwe),Historical,False
ACCC 1997,Durban (Men),Sharkia Club (Egypt),Berea Rovers (RSA),Kenya Armed Forces (Kenya),Historical,True
ACCC 1997,Durban (Women),Technikon Natal (RSA),Ramblers Club (Namibia),Post & Telecomm (Kenya),Historical,True
ACCC 1998,Windhoek (Men),Kenya Armed Forces (Kenya),Sharkia Club (Egypt),Exchequers Club (Ghana),Historical,True
ACCC 1998,Windhoek (Women),Post & Telecomm (Kenya),Ramblers Club (Namibia),D.T.S. (Namibia),Historical,True
ACCC 1999,Bulawayo (Men),Sharkia Club (Egypt),Bulawayo Athletic Club (Zimbabwe),Kenya Defense Forces (Kenya),Historical,True
ACCC 1999,Bulawayo (Women),Sliders Club (Kenya),Old Hararians (Zimbabwe),Ramblers Club (Namibia),Historical,True
ACCC 2000,Alexandria (Men),Sharkia Club (Egypt),Siadine (Egypt),Kenya Armed Forces (Kenya),Historical,True
ACCC 2000,Alexandria (Women),Post & Telecomm (Kenya),Sharkia Club (Egypt),Sliders Club (Kenya),Historical,True
ACCC 2023,,,,,Historical,False
ACCC 2010,,,,,Recent,False
ACCC 2011,,,,,Recent,False
ACCC 2012,,,,,Recent,False
ACCC 2013,,,,,Recent,False
ACCC 2014,,,,,Recent,False
ACCC 2015,,,,,Recent,False
ACCC 2016,"Nairobi, Kenya",Eastern Company Club of Egypt,Orange Club of Kenya,,Recent,True
ACCC 2017,"Accra, Ghana",El Sharkia of Egypt,GRA of Ghana,,Recent,False
ACCC 2018,"Abuja, Nigeria",El Sharkia of Egypt,Telkom of Kenya,,Recent,True
ACCC 2019,"Ismaila, Egypt",El Sharkia of Egypt,El Sharkia of Egypt,,Recent,False
ACCC 2021,"Accra, Ghana",Tairat of Egypt,GRA of Ghana,,Recent,False
ACCC 2022,Nairobi – Kenya,El Sharkia of Egypt,GRA of Ghana,,Recent,True
ACCC 2023,"Blantyre, Malawi",El Sharkia of Egypt,GRA of Ghana,,Recent,False
ACCC 2024,Ismailia – Egypt,,,,Recent,False
ACCC 36th Men – 27th Women,"Harare, Zimbabwe",Port Fouad Club of Egypt,Lakers Hockey Club of Kenya,,Recent,True
