Competition,Season,MatchNo,Date,HomeTeam,AwayTeam,Minute,Event,Player,Team
PLW,2026,14.0,24-05-2026,Amira Sailors Hockey Club,Blazers Hockey Club,16',Goal,Audrey Omaido,Blazers Hockey Club
PLW,2026,14.0,24-05-2026,Amira Sailors Hockey Club,Blazers Hockey Club,42',Goal,Joan Ajao,Blazers Hockey Club
PLW,2026,14.0,24-05-2026,Amira Sailors Hockey Club,Blazers Hockey Club,44',Goal,Amanda Ijai,Blazers Hockey Club
PLW,2026,1.0,23-05-2026,Blazers Hockey Club,Kenyatta University Ladies,27',Green Card,Joan Ajao,Blazers Hockey Club
PLW,2026,1.0,23-05-2026,Blazers Hockey Club,Kenyatta University Ladies,36',Goal,Joan Ajao,Blazers Hockey Club
PLW,2026,1.0,23-05-2026,Blazers Hockey Club,Kenyatta University Ladies,53',Goal,Vivian Onyango,Blazers Hockey Club
PLW,2026,10.0,24-05-2026,Kenyatta University Ladies,Sliders Hockey Club,25',Goal,Jochebed Cherono,Kenyatta University Ladies
PLW,2026,10.0,24-05-2026,Kenyatta University Ladies,Sliders Hockey Club,30',Goal,Margaret Mawombe,Sliders Hockey Club
PLW,2026,10.0,24-05-2026,Kenyatta University Ladies,Sliders Hockey Club,44',Yellow card,Esperanza Gitu,Kenyatta University Ladies
PLW,2026,10.0,24-05-2026,Kenyatta University Ladies,Sliders Hockey Club,35',Green Card,Chamchui Esther,Sliders Hockey Club
PLW,2026,12.0,24-05-2026,Lakers Hockey Club,Kisumu Queens,12',Green Card,Beryl Achieng,Kisumu Queens
PLW,2026,12.0,24-05-2026,Lakers Hockey Club,Kisumu Queens,29',Green Card,Faith Amondi,Lakers Hockey Club
PLW,2026,12.0,24-05-2026,Lakers Hockey Club,Kisumu Queens,37',Green Card,Vivian Juma,Lakers Hockey Club
PLW,2026,33.0,06-06-2026,Lakers Hockey Club,Strathmore University Ladies,29',Goal,Maurine Owiti,Lakers Hockey Club
PLW,2026,33.0,06-06-2026,Lakers Hockey Club,Strathmore University Ladies,29',Green Card,Racheal Khamala,Strathmore University Ladies
