CompetitionKey,HomeTeam,AwayTeam,Date,EventType,GoalType,Team,Player,Minute,CardType
AFCON-M-2017,Ghana,Kenya,2017-10-22,Goal,Field Goal,Ghana,DAMALIE Luke,4,
AFCON-M-2017,Ghana,Kenya,2017-10-22,Goal,Field Goal,Ghana,AKABA Elikem,33,
AFCON-M-2017,Ghana,Kenya,2017-10-22,Goal,Penalty Corner,Ghana,AKUAMOAH-BOATENG Michael,45,
AFCON-M-2017,Ghana,Kenya,2017-10-22,Card,,Ghana,AKABA Emmanuel,27,G
AFCON-M-2017,Ghana,Kenya,2017-10-22,Card,,Kenya,MANGO Kennedy,29,G
AFCON-M-2017,Ghana,Kenya,2017-10-22,Card,,Ghana,OPOKU Ernest,49,G
AFCON-M-2017,Egypt,Kenya,2017-10-23,Goal,Field Goal,Egypt,ELNAGGAR Ahmed,2,
AFCON-M-2017,Egypt,Kenya,2017-10-23,Goal,Field Goal,Egypt,ELHADY Amr,4,
AFCON-M-2017,Egypt,Kenya,2017-10-23,Goal,Field Goal,Egypt,GHOBRAN Houssam,50,
AFCON-M-2017,Egypt,Kenya,2017-10-23,Goal,Field Goal,Kenya,MUTRIA George,52,
AFCON-M-2017,Egypt,Kenya,2017-10-23,Goal,Penalty Corner,Egypt,GAMAL Ahmed,54,
AFCON-M-2017,Egypt,Kenya,2017-10-23,Card,,Egypt,ELNAGGAR Ahmed,10,G
AFCON-M-2017,Egypt,Kenya,2017-10-23,Card,,Kenya,OUNGO Samuel,15,G
AFCON-M-2017,Egypt,Kenya,2017-10-23,Card,,Egypt,RAMADAN Mohamed,49,G
AFCON-M-2017,Kenya,Nigeria,2017-10-25,Goal,Field Goal,Nigeria,JOHN Michael,39,
AFCON-M-2017,Kenya,Nigeria,2017-10-25,Goal,Penalty Corner,Kenya,ONYANGO Festus,43,
AFCON-M-2017,Kenya,Nigeria,2017-10-25,Goal,Penalty Corner,Kenya,WAKHURA Constant,56,
AFCON-M-2017,Kenya,Nigeria,2017-10-25,Card,,Nigeria,FOWOBAJE Oluwatosin,10,G
AFCON-M-2017,Kenya,Nigeria,2017-10-25,Card,,Nigeria,NZETE Endurance,16,G
AFCON-M-2017,Kenya,Nigeria,2017-10-25,Card,,Nigeria,NZETE Endurance,33,G
AFCON-M-2017,Kenya,Nigeria,2017-10-25,Card,,Nigeria,BELLO Muiz,36,G
AFCON-M-2017,Kenya,Nigeria,2017-10-25,Card,,Nigeria,OGUNRUKU Sunday,41,Y  (5')
AFCON-M-2017,Kenya,Nigeria,2017-10-25,Card,,Nigeria,BELLO Muiz,41,Y  (5')
AFCON-M-2017,Kenya,Nigeria,2017-10-25,Card,,Kenya,ESIKURI Francis,55,Y  (5')
AFCON-M-2017,South Africa,Kenya,2017-10-28,Goal,Penalty Corner,South Africa,EUSTICE Jethro,18,
AFCON-M-2017,South Africa,Kenya,2017-10-28,Goal,Field Goal,South Africa,ROSENBERG Reza,19,
AFCON-M-2017,South Africa,Kenya,2017-10-28,Goal,Penalty Corner,Kenya,WAKHURA Constant,19,
AFCON-M-2017,South Africa,Kenya,2017-10-28,Goal,Field Goal,South Africa,HORNE Keenan,34,
AFCON-M-2017,South Africa,Kenya,2017-10-28,Goal,Penalty Corner,South Africa,BELL Daniel,37,
AFCON-M-2017,South Africa,Kenya,2017-10-28,Goal,Penalty Corner,South Africa,ROBINSON Jonathan,46,
AFCON-M-2017,South Africa,Kenya,2017-10-28,Goal,Field Goal,South Africa,HORNE Keenan,48,
AFCON-M-2017,South Africa,Kenya,2017-10-28,Card,,South Africa,HAMMOND Tom,42,G
AFCON-M-2017,South Africa,Kenya,2017-10-28,Card,,Kenya,BIRIR Richard,49,G
AFCON-M-2017,Ghana,Kenya,2017-10-29,Goal,Penalty Stroke,Kenya,WAKHURA Constant,17,
AFCON-M-2017,Ghana,Kenya,2017-10-29,Goal,Penalty Corner,Ghana,TETTEY Francis,20,
AFCON-M-2017,Ghana,Kenya,2017-10-29,Goal,Field Goal,Ghana,AKABA Elikem,20,
AFCON-M-2017,Ghana,Kenya,2017-10-29,Goal,Penalty Corner,Ghana,DAMALIE Luke,23,
AFCON-M-2017,Ghana,Kenya,2017-10-29,Goal,Field Goal,Ghana,AKABA Elikem,30,
AFCON-M-2017,Ghana,Kenya,2017-10-29,Goal,Penalty Corner,Ghana,ANKOMAH Emmanuel,42,
AFCON-M-2017,Ghana,Kenya,2017-10-29,Goal,Penalty Corner,Kenya,ONYANGO Festus,52,
AFCON-M-2017,Ghana,Kenya,2017-10-29,Goal,Penalty Corner,Kenya,MANGO Kennedy,56,
AFCON-M-2017,Ghana,Kenya,2017-10-29,Card,,Kenya,MASIBO Robert,23,G
AFCON-M-2017,Ghana,Kenya,2017-10-29,Card,,Kenya,OUNGO Samuel,35,Y  (5')
AFCON-M-2017,Ghana,Kenya,2017-10-29,Card,,Ghana,AKABA Emmanuel,37,Y  (5')
AFCON-M-2017,Ghana,Kenya,2017-10-29,Card,,Kenya,ESIKURI Francis,42,Y  (5')
AFCON-M-2017,Ghana,Kenya,2017-10-29,Card,,Kenya,WAKHURA Constant,45,G
AFCON-M-2017,Ghana,Kenya,2017-10-29,Card,,Ghana,AKUAMOAH-BOATENG Michael,48,Y  (5')
AFCON-M-2017,Ghana,Kenya,2017-10-29,Card,,Ghana,AKABA Elikem,48,Y  (5')
AFCON-M-2017,Ghana,Kenya,2017-10-29,Card,,Ghana,DAMALIE Luke,53,Y  (5')
AFCON-M-2022,Namibia,Kenya,2022-01-18,Goal,Penalty Corner,Kenya,WAKHURA Constant,14,
AFCON-M-2022,Namibia,Kenya,2022-01-18,Goal,Field Goal,Namibia,TJIKUNIVA Isascar,18,
AFCON-M-2022,Namibia,Kenya,2022-01-18,Goal,Penalty Corner,Kenya,ININGU Allan,51,
AFCON-M-2022,Namibia,Kenya,2022-01-18,Goal,Field Goal,Kenya,AWINO Emmanuel,53,
AFCON-M-2022,Namibia,Kenya,2022-01-18,Goal,Field Goal,Kenya,ONYANGO Festus,57,
AFCON-M-2022,Namibia,Kenya,2022-01-18,Card,,Namibia,HILBERT Nicolai,2,G
AFCON-M-2022,Namibia,Kenya,2022-01-18,Card,,Namibia,LA COCK Dian,13,G
AFCON-M-2022,Namibia,Kenya,2022-01-18,Card,,Kenya,ONYANGO Festus,19,G
AFCON-M-2022,Namibia,Kenya,2022-01-18,Card,,Namibia,VAN der MERWE Josh,24,G
AFCON-M-2022,Namibia,Kenya,2022-01-18,Card,,Namibia,SEMEDO Ivan-Mendes,36,Y  (5')
AFCON-M-2022,Namibia,Kenya,2022-01-18,Card,,Namibia,LA COCK Dian,43,Y  (5')
AFCON-M-2022,Namibia,Kenya,2022-01-18,Card,,Namibia,BARTHRAM Percy,49,Y  (5')
AFCON-M-2022,Kenya,South Africa,2022-01-19,Goal,Field Goal,South Africa,NTULI Nqobile,33,
AFCON-M-2022,Kenya,South Africa,2022-01-19,Goal,Field Goal,South Africa,NTULI Nqobile,37,
AFCON-M-2022,Kenya,South Africa,2022-01-19,Goal,Penalty Corner,Kenya,WAKHURA Constant,40,
AFCON-M-2022,Kenya,South Africa,2022-01-19,Card,,Kenya,OGENCHE Brian,15,G
AFCON-M-2022,Kenya,South Africa,2022-01-19,Card,,Kenya,KIPYEGO Titus,25,G
AFCON-M-2022,Kenya,South Africa,2022-01-19,Card,,Kenya,WANGANGA Richard,27,G
AFCON-M-2022,Kenya,South Africa,2022-01-19,Card,,South Africa,HORNE Keenan,30,G
AFCON-M-2022,Kenya,South Africa,2022-01-19,Card,,South Africa,DLUNGWANA Tyson,30,Y  (5')
AFCON-M-2022,Kenya,South Africa,2022-01-19,Card,,South Africa,NTULI Nqobile,37,G
AFCON-M-2022,Kenya,South Africa,2022-01-19,Card,,Kenya,AWINO Emmanuel,51,G
AFCON-M-2022,Kenya,South Africa,2022-01-19,Card,,Kenya,NDOMBI Edson,51,Y  (10')
AFCON-M-2022,Kenya,South Africa,2022-01-19,Card,,South Africa,SPOONER Nicholas,57,G
AFCON-M-2022,Egypt,Kenya,2022-01-22,Goal,Penalty Corner,Egypt,NASR Mohamed,11,
AFCON-M-2022,Egypt,Kenya,2022-01-22,Goal,Field Goal,Egypt,RAGAB Mostafa,12,
AFCON-M-2022,Egypt,Kenya,2022-01-22,Goal,Field Goal,Egypt,RAGAB Mostafa,27,
AFCON-M-2022,Egypt,Kenya,2022-01-22,Goal,Penalty Corner,Egypt,ADEL Mohamed,37,
AFCON-M-2022,Egypt,Kenya,2022-01-22,Goal,Field Goal,Egypt,ELNAGGAR Ahmed,43,
AFCON-M-2022,Egypt,Kenya,2022-01-22,Goal,Penalty Corner,Kenya,WAKHURA Constant,51,
AFCON-M-2022,Egypt,Kenya,2022-01-22,Card,,Egypt,NASR Mohamed,33,Y  (5')
AFCON-M-2022,Egypt,Kenya,2022-01-22,Card,,Egypt,SAID Ashraf,41,G
AFCON-M-2022,Nigeria,Kenya,2022-01-23,Goal,Penalty Corner,Nigeria,GODWIN Sunday,7,
AFCON-M-2022,Nigeria,Kenya,2022-01-23,Goal,Field Goal,Nigeria,SUNDAY Emmanuel,18,
AFCON-M-2022,Nigeria,Kenya,2022-01-23,Goal,Penalty Corner,Kenya,KIPYEGO Titus,18,
AFCON-M-2022,Nigeria,Kenya,2022-01-23,Goal,Penalty Corner,Nigeria,IBRAHIM Benjamin,31,
AFCON-M-2022,Nigeria,Kenya,2022-01-23,Goal,Penalty Corner,Nigeria,SAMAILA James,44,
AFCON-M-2022,Nigeria,Kenya,2022-01-23,Goal,Field Goal,Kenya,ININGU Allan,52,
AFCON-M-2022,Nigeria,Kenya,2022-01-23,Card,,Kenya,AWINO Emmanuel,23,G
AFCON-M-2022,Nigeria,Kenya,2022-01-23,Card,,Nigeria,MU'AZU Shanwilu,29,G
AFCON-M-2022,Nigeria,Kenya,2022-01-23,Card,,Kenya,WANGANGA Richard,31,G
AFCON-M-2022,Nigeria,Kenya,2022-01-23,Card,,Kenya,KIPYEGO Titus,33,Y  (5')
AFCON-M-2022,Nigeria,Kenya,2022-01-23,Card,,Nigeria,AJIBUA Olawale,44,Y  (5')
AFCON-M-2022,Nigeria,Kenya,2022-01-23,Card,,Kenya,WANGANGA Richard,50,G
AFCON-M-2022,Nigeria,Kenya,2022-01-23,Card,,Nigeria,VICTOR Kish,54,Y  (5')
AFCON-W-2022,Kenya,Zambia,2022-01-19,Goal,Field Goal,Kenya,OPONDO Aurelia,11,
AFCON-W-2022,Kenya,Zambia,2022-01-19,Goal,Field Goal,Kenya,MUTIVA Flavia,45,
AFCON-W-2022,Kenya,Zambia,2022-01-19,Goal,Field Goal,Kenya,BWIRE Grace,57,
AFCON-W-2022,Kenya,Zambia,2022-01-19,Card,,Zambia,NANKALA Martha,45,Y  (5')
AFCON-W-2022,Kenya,Zambia,2022-01-19,Card,,Kenya,KIPSANG Lynne,60,G
