CompetitionKey,Competition,Round,Date,Venue,HomeTeam,AwayTeam,HomeGoals,AwayGoals,URL
AFCON-M-2017,Africa Cup of Nations (Men) 2017,RR,2017-10-22,Pitch 1,Ghana,Kenya,3,0,https://tms.fih.ch/matches/10697
AFCON-M-2017,Africa Cup of Nations (Men) 2017,RR,2017-10-23,Pitch 1,Egypt,Kenya,4,1,https://tms.fih.ch/matches/10700
AFCON-M-2017,Africa Cup of Nations (Men) 2017,RR,2017-10-25,Pitch 1,Kenya,Nigeria,2,1,https://tms.fih.ch/matches/10702
AFCON-M-2017,Africa Cup of Nations (Men) 2017,RR,2017-10-28,Pitch 1,South Africa,Kenya,6,1,https://tms.fih.ch/matches/10708
AFCON-M-2017,Africa Cup of Nations (Men) 2017,,2017-10-29,Pitch 1,Ghana,Kenya,5,3,https://tms.fih.ch/matches/10712
AFCON-M-2022,Africa Cup of Nations (Men) 2022,Pool A,2022-01-18,Weather at Pushback,Namibia,Kenya,1,4,https://tms.fih.ch/matches/16226
AFCON-M-2022,Africa Cup of Nations (Men) 2022,Pool A,2022-01-19,Weather at Pushback,Kenya,South Africa,1,2,https://tms.fih.ch/matches/16227
AFCON-M-2022,Africa Cup of Nations (Men) 2022,Semi-final,2022-01-22,Weather at Pushback,Egypt,Kenya,5,1,https://tms.fih.ch/matches/16233
AFCON-M-2022,Africa Cup of Nations (Men) 2022,3rd - 4th,2022-01-23,Weather at Pushback,Nigeria,Kenya,4,2,https://tms.fih.ch/matches/16234
AFCON-W-2022,Africa Cup of Nations (Women) 2022,Pool B,2022-01-19,Weather at Pushback,Kenya,Zambia,3,0,https://tms.fih.ch/matches/16203
AFCON-W-2022,Africa Cup of Nations (Women) 2022,Pool B,2022-01-18,Weather at Pushback,No goals scored,No cards issued,0,5,https://tms.fih.ch/matches/16206
AFCON-W-2022,Africa Cup of Nations (Women) 2022,Pool B,2022-01-20,Weather at Pushback,Nigeria,Kenya,1,2,https://tms.fih.ch/matches/16211
AFCON-W-2022,Africa Cup of Nations (Women) 2022,Semi-final,2022-01-21,Weather at Pushback,South Africa,Kenya,4,0,https://tms.fih.ch/matches/16215
AFCON-W-2022,Africa Cup of Nations (Women) 2022,3rd - 4th,2022-01-23,Weather at Pushback,Kenya,Zimbabwe,0,0,https://tms.fih.ch/matches/16219
AFCON-M-2025,Africa Cup of Nations (Men) 2025,RR,2025-10-11,Ismailia - Pitch 1,Egypt,Kenya,2,1,https://tms.fih.ch/matches/21780
AFCON-M-2025,Africa Cup of Nations (Men) 2025,RR,2025-10-12,Ismailia - Pitch 1,South Africa,Kenya,3,1,https://tms.fih.ch/matches/21782
AFCON-M-2025,Africa Cup of Nations (Men) 2025,RR,2025-10-14,Ismailia - Pitch 1,Kenya,Ghana,2,4,https://tms.fih.ch/matches/21786
AFCON-M-2025,Africa Cup of Nations (Men) 2025,RR,2025-10-15,Ismailia - Pitch 1,Nigeria,Kenya,1,2,https://tms.fih.ch/matches/21787
AFCON-M-2025,Africa Cup of Nations (Men) 2025,RR,2025-10-17,Ismailia - Pitch 1,Kenya,Zambia,3,2,https://tms.fih.ch/matches/21790
AFCON-M-2025,Africa Cup of Nations (Men) 2025,,2025-10-18,Ismailia - Pitch 1,Kenya,Nigeria,1,3,https://tms.fih.ch/matches/21793
AFCON-W-2025,Africa Cup of Nations (Women) 2025,RR,2025-10-11,Ismailia - Pitch 1,Kenya,Nigeria,1,0,https://tms.fih.ch/matches/21766
AFCON-W-2025,Africa Cup of Nations (Women) 2025,RR,2025-10-14,Ismailia - Pitch 1,Egypt,Kenya,0,4,https://tms.fih.ch/matches/21771
AFCON-W-2025,Africa Cup of Nations (Women) 2025,RR,2025-10-15,Ismailia - Pitch 1,No goals scored,South Africa,0,0,https://tms.fih.ch/matches/21772
AFCON-W-2025,Africa Cup of Nations (Women) 2025,RR,2025-10-17,Ismailia - Pitch 1,Kenya,Ghana,2,5,https://tms.fih.ch/matches/21775
AFCON-W-2025,Africa Cup of Nations (Women) 2025,,2025-10-18,Ismailia - Pitch 1,Kenya,Nigeria,1,0,https://tms.fih.ch/matches/21776
JAC-W-2024,Junior Africa Cup (Women) 2024,One Pool,2025-04-18,Windhoek (NAM) - Pitch 1,Kenya,Namibia,0,3,https://tms.fih.ch/matches/20969
JAC-W-2024,Junior Africa Cup (Women) 2024,One Pool,2025-04-19,Windhoek (NAM) - Pitch 1,Uganda,Kenya,0,0,https://tms.fih.ch/matches/20972
JAC-W-2024,Junior Africa Cup (Women) 2024,One Pool,2025-04-21,Windhoek (NAM) - Pitch 1,Kenya,South Africa,0,4,https://tms.fih.ch/matches/20974
JAC-W-2024,Junior Africa Cup (Women) 2024,One Pool,2025-04-22,Windhoek (NAM) - Pitch 1,Zambia,Kenya,1,1,https://tms.fih.ch/matches/20977
JAC-W-2024,Junior Africa Cup (Women) 2024,One Pool,2025-04-24,Windhoek (NAM) - Pitch 1,Kenya,Zimbabwe,1,4,https://tms.fih.ch/matches/20980
