Team,Player,Goals,URL
Blazers Hockey Club,Alice Wanjiru,0,https://www.kenyahockeyunion.org/joomsport_team/blazers-hockey-club/
Blazers Hockey Club,Amanda Ijai,1,https://www.kenyahockeyunion.org/joomsport_team/blazers-hockey-club/
Blazers Hockey Club,Angeline Oketch,0,https://www.kenyahockeyunion.org/joomsport_team/blazers-hockey-club/
Blazers Hockey Club,Audrey Omaido,3,https://www.kenyahockeyunion.org/joomsport_team/blazers-hockey-club/
Blazers Hockey Club,Aurelia Omaido,1,https://www.kenyahockeyunion.org/joomsport_team/blazers-hockey-club/
Blazers Hockey Club,Aurelia Opondo,1,https://www.kenyahockeyunion.org/joomsport_team/blazers-hockey-club/
Blazers Hockey Club,Beryl Achieng,0,https://www.kenyahockeyunion.org/joomsport_team/blazers-hockey-club/
Blazers Hockey Club,Beverly Akoth,0,https://www.kenyahockeyunion.org/joomsport_team/blazers-hockey-club/
Blazers Hockey Club,Beverlyne Akoth,0,https://www.kenyahockeyunion.org/joomsport_team/blazers-hockey-club/
Blazers Hockey Club,Carol Guchu,6,https://www.kenyahockeyunion.org/joomsport_team/blazers-hockey-club/
Blazers Hockey Club,Charlene Sydney,1,https://www.kenyahockeyunion.org/joomsport_team/blazers-hockey-club/
Blazers Hockey Club,Chebet Namureng,0,https://www.kenyahockeyunion.org/joomsport_team/blazers-hockey-club/
Blazers Hockey Club,Georgina Lumumba,1,https://www.kenyahockeyunion.org/joomsport_team/blazers-hockey-club/
Blazers Hockey Club,Joan Anjao,2,https://www.kenyahockeyunion.org/joomsport_team/blazers-hockey-club/
Blazers Hockey Club,Lucy Wangeci,0,https://www.kenyahockeyunion.org/joomsport_team/blazers-hockey-club/
Blazers Hockey Club,Margaret Nyawera,0,https://www.kenyahockeyunion.org/joomsport_team/blazers-hockey-club/
Blazers Hockey Club,Marina Merae,1,https://www.kenyahockeyunion.org/joomsport_team/blazers-hockey-club/
Blazers Hockey Club,Maureen Okumu,1,https://www.kenyahockeyunion.org/joomsport_team/blazers-hockey-club/
Blazers Hockey Club,Miriam Mwangi,0,https://www.kenyahockeyunion.org/joomsport_team/blazers-hockey-club/
Blazers Hockey Club,Pauline Ochieng,0,https://www.kenyahockeyunion.org/joomsport_team/blazers-hockey-club/
Blazers Hockey Club,Purity Odinga,1,https://www.kenyahockeyunion.org/joomsport_team/blazers-hockey-club/
Blazers Hockey Club,Rachel Ousa,0,https://www.kenyahockeyunion.org/joomsport_team/blazers-hockey-club/
Blazers Hockey Club,Teresa Juma,1,https://www.kenyahockeyunion.org/joomsport_team/blazers-hockey-club/
Blazers Hockey Club,Terry Juma,1,https://www.kenyahockeyunion.org/joomsport_team/blazers-hockey-club/
Blazers Hockey Club,Tracy Karanja,0,https://www.kenyahockeyunion.org/joomsport_team/blazers-hockey-club/
Blazers Hockey Club,Vivian Onyango,1,https://www.kenyahockeyunion.org/joomsport_team/blazers-hockey-club/
USIU – A Ladies,Agriphinnah M,0,https://www.kenyahockeyunion.org/joomsport_team/usiu-a-women/
USIU – A Ladies,Beatrice Mbugua,0,https://www.kenyahockeyunion.org/joomsport_team/usiu-a-women/
USIU – A Ladies,Brandy Wakhisi,1,https://www.kenyahockeyunion.org/joomsport_team/usiu-a-women/
USIU – A Ladies,Caroline Mutheki,0,https://www.kenyahockeyunion.org/joomsport_team/usiu-a-women/
USIU – A Ladies,Faith Atieno,0,https://www.kenyahockeyunion.org/joomsport_team/usiu-a-women/
USIU – A Ladies,Faith Kimwate,0,https://www.kenyahockeyunion.org/joomsport_team/usiu-a-women/
USIU – A Ladies,Faith Osio,0,https://www.kenyahockeyunion.org/joomsport_team/usiu-a-women/
USIU – A Ladies,Grace Akumu,0,https://www.kenyahockeyunion.org/joomsport_team/usiu-a-women/
USIU – A Ladies,Grace Makoha,1,https://www.kenyahockeyunion.org/joomsport_team/usiu-a-women/
USIU – A Ladies,Harriet Omindi,0,https://www.kenyahockeyunion.org/joomsport_team/usiu-a-women/
USIU – A Ladies,Harriet Omondi,0,https://www.kenyahockeyunion.org/joomsport_team/usiu-a-women/
USIU – A Ladies,Irene Sendi,0,https://www.kenyahockeyunion.org/joomsport_team/usiu-a-women/
USIU – A Ladies,Irene Senoi,0,https://www.kenyahockeyunion.org/joomsport_team/usiu-a-women/
USIU – A Ladies,Janeth Velma,0,https://www.kenyahockeyunion.org/joomsport_team/usiu-a-women/
USIU – A Ladies,Jasmine Mutakha,0,https://www.kenyahockeyunion.org/joomsport_team/usiu-a-women/
USIU – A Ladies,Joy jojo,0,https://www.kenyahockeyunion.org/joomsport_team/usiu-a-women/
USIU – A Ladies,Judy Abayo,0,https://www.kenyahockeyunion.org/joomsport_team/usiu-a-women/
USIU – A Ladies,Linda Mahazi,0,https://www.kenyahockeyunion.org/joomsport_team/usiu-a-women/
USIU – A Ladies,Lucy Daisy,0,https://www.kenyahockeyunion.org/joomsport_team/usiu-a-women/
USIU – A Ladies,Lynn Mwangi,5,https://www.kenyahockeyunion.org/joomsport_team/usiu-a-women/
USIU – A Ladies,Makena Fiona,0,https://www.kenyahockeyunion.org/joomsport_team/usiu-a-women/
USIU – A Ladies,Mary Adhiambo,0,https://www.kenyahockeyunion.org/joomsport_team/usiu-a-women/
USIU – A Ladies,Naom Kemunto,3,https://www.kenyahockeyunion.org/joomsport_team/usiu-a-women/
USIU – A Ladies,Natasha Nyokabi,1,https://www.kenyahockeyunion.org/joomsport_team/usiu-a-women/
USIU – A Ladies,Phyna Misoi,0,https://www.kenyahockeyunion.org/joomsport_team/usiu-a-women/
USIU – A Ladies,Rayana Wairimu,0,https://www.kenyahockeyunion.org/joomsport_team/usiu-a-women/
USIU – A Ladies,Redempta Wambalaba,0,https://www.kenyahockeyunion.org/joomsport_team/usiu-a-women/
USIU – A Ladies,Rendy Wangui,1,https://www.kenyahockeyunion.org/joomsport_team/usiu-a-women/
USIU – A Ladies,Rutendo Lauryn,0,https://www.kenyahockeyunion.org/joomsport_team/usiu-a-women/
USIU – A Ladies,Sheila Ndalu,1,https://www.kenyahockeyunion.org/joomsport_team/usiu-a-women/
Lakers Hockey Club,Alice Owiti,3,https://www.kenyahockeyunion.org/joomsport_team/lakers-hockey-club/
Lakers Hockey Club,Becky Quincy,0,https://www.kenyahockeyunion.org/joomsport_team/lakers-hockey-club/
Lakers Hockey Club,Cindy Osiga,0,https://www.kenyahockeyunion.org/joomsport_team/lakers-hockey-club/
Lakers Hockey Club,Dalphine Wambaya,0,https://www.kenyahockeyunion.org/joomsport_team/lakers-hockey-club/
Lakers Hockey Club,Debra Otieno,0,https://www.kenyahockeyunion.org/joomsport_team/lakers-hockey-club/
Lakers Hockey Club,Diana Namarome,0,https://www.kenyahockeyunion.org/joomsport_team/lakers-hockey-club/
Lakers Hockey Club,Dulo Peris,0,https://www.kenyahockeyunion.org/joomsport_team/lakers-hockey-club/
Lakers Hockey Club,Faith Amondi,0,https://www.kenyahockeyunion.org/joomsport_team/lakers-hockey-club/
Lakers Hockey Club,Jane Andala,0,https://www.kenyahockeyunion.org/joomsport_team/lakers-hockey-club/
Lakers Hockey Club,Joan Ngiye,1,https://www.kenyahockeyunion.org/joomsport_team/lakers-hockey-club/
Lakers Hockey Club,Joan Ngiye,0,https://www.kenyahockeyunion.org/joomsport_team/lakers-hockey-club/
Lakers Hockey Club,Martha Masibo,0,https://www.kenyahockeyunion.org/joomsport_team/lakers-hockey-club/
Lakers Hockey Club,Mary Ann,0,https://www.kenyahockeyunion.org/joomsport_team/lakers-hockey-club/
Lakers Hockey Club,Maryanne Lunyasi,1,https://www.kenyahockeyunion.org/joomsport_team/lakers-hockey-club/
Lakers Hockey Club,Maureen Achieng,1,https://www.kenyahockeyunion.org/joomsport_team/lakers-hockey-club/
Lakers Hockey Club,Maurine Korir,0,https://www.kenyahockeyunion.org/joomsport_team/lakers-hockey-club/
Lakers Hockey Club,Maurine Owiti,1,https://www.kenyahockeyunion.org/joomsport_team/lakers-hockey-club/
Lakers Hockey Club,Melisa Otengo,0,https://www.kenyahockeyunion.org/joomsport_team/lakers-hockey-club/
Lakers Hockey Club,Millicent Odhiambo,0,https://www.kenyahockeyunion.org/joomsport_team/lakers-hockey-club/
Lakers Hockey Club,Odiwuor Maurine,0,https://www.kenyahockeyunion.org/joomsport_team/lakers-hockey-club/
Lakers Hockey Club,Owiti Alice,0,https://www.kenyahockeyunion.org/joomsport_team/lakers-hockey-club/
Lakers Hockey Club,Owiti Maurine,0,https://www.kenyahockeyunion.org/joomsport_team/lakers-hockey-club/
Lakers Hockey Club,Sarah auma,0,https://www.kenyahockeyunion.org/joomsport_team/lakers-hockey-club/
Lakers Hockey Club,Vivian Juma,0,https://www.kenyahockeyunion.org/joomsport_team/lakers-hockey-club/
Lakers Hockey Club,Winnie Wanga,0,https://www.kenyahockeyunion.org/joomsport_team/lakers-hockey-club/
Strathmore University Ladies,Angela Wema,1,https://www.kenyahockeyunion.org/joomsport_team/strathmore-university-women/
Strathmore University Ladies,Barbra Atigo,0,https://www.kenyahockeyunion.org/joomsport_team/strathmore-university-women/
Strathmore University Ladies,Diana Awino,2,https://www.kenyahockeyunion.org/joomsport_team/strathmore-university-women/
Strathmore University Ladies,Diana Awino,0,https://www.kenyahockeyunion.org/joomsport_team/strathmore-university-women/
Strathmore University Ladies,Elsie Jemutai,0,https://www.kenyahockeyunion.org/joomsport_team/strathmore-university-women/
Strathmore University Ladies,Esther Kadenyi,0,https://www.kenyahockeyunion.org/joomsport_team/strathmore-university-women/
Strathmore University Ladies,Grace Bwire,4,https://www.kenyahockeyunion.org/joomsport_team/strathmore-university-women/
Strathmore University Ladies,Grace Bwire,3,https://www.kenyahockeyunion.org/joomsport_team/strathmore-university-women/
Strathmore University Ladies,Jacinta Opondo,0,https://www.kenyahockeyunion.org/joomsport_team/strathmore-university-women/
Strathmore University Ladies,Jeriah Onsare,0,https://www.kenyahockeyunion.org/joomsport_team/strathmore-university-women/
Strathmore University Ladies,Lillian Wesonga,1,https://www.kenyahockeyunion.org/joomsport_team/strathmore-university-women/
Strathmore University Ladies,Maureen Ongoche,3,https://www.kenyahockeyunion.org/joomsport_team/strathmore-university-women/
Strathmore University Ladies,Maureen Ongoche,0,https://www.kenyahockeyunion.org/joomsport_team/strathmore-university-women/
Strathmore University Ladies,Melvin Achieng,0,https://www.kenyahockeyunion.org/joomsport_team/strathmore-university-women/
Strathmore University Ladies,Molvine Maloba,0,https://www.kenyahockeyunion.org/joomsport_team/strathmore-university-women/
Strathmore University Ladies,Nancy Oduori,0,https://www.kenyahockeyunion.org/joomsport_team/strathmore-university-women/
Strathmore University Ladies,Naomi Achieng,0,https://www.kenyahockeyunion.org/joomsport_team/strathmore-university-women/
Strathmore University Ladies,Nichole Joy,2,https://www.kenyahockeyunion.org/joomsport_team/strathmore-university-women/
Strathmore University Ladies,Nicole Joy,0,https://www.kenyahockeyunion.org/joomsport_team/strathmore-university-women/
